source_slide,release_asset,source_media,poster,bytes,sha256
14,welcome-compartment-fire-dynamics.mp4,media1.mp4,figs/image21.png,512862548,0e8ec6bc7ae1f424025569f323419b649831940fa061421ed1a80a1c6596a708
23,welcome-sandia-methane-pool-fire.mp4,media2.mp4,figs/image37.png,2678089,57b9d59681a0dbb246ac8925d9bc6920c65e364af040e299a5a3e381b6efab6f
31,welcome-sprinkler-vent-draft-curtain.mp4,media3.mp4,figs/image52.png,7512514,16195bfc40d78e7ab0367d338a84df4acb262274ea7541a79ad48b9c22cb0c97
33,welcome-cherry-road-reconstruction.mp4,media4.mpg,figs/image59.png,17109850,aac2998b99db77da4d793bbc4b92f96933d5b64fd76097215047a9de5ceeb22d
41,welcome-nist-workstation-simulation.mp4,media5.mp4,figs/image82.png,49778314,3c7c9b73bf5c33c12dfa9e20bb01f7c31aa97dd3f40aad54ec22e5aac9d9cbc0
42,welcome-nist-workstation-test-1.mp4,media6.mp4,figs/image85.png,774275,ebb88fc1b6b6daf9cea9c61ddbebf8e89673938076bc3305e5f5578590e3d669
42,welcome-nist-workstation-test-2.mp4,media7.mp4,figs/image86.png,1217853,6fb2532ac2f231885cfb5112e8c1115de7bb3f93506de801cd8b96c5435a8685
45,welcome-wtc-floor-97-temperatures.mp4,media8.mp4,figs/image90.png,18736947,dde5e7a5585daffca012a26ed9fcad7259f437a143140d7d7a27524d7d9e1e5a
48,welcome-nist-full-scale-simulation.mp4,media9.mp4,figs/image95.png,21964655,26812b607e2e07219e41e0c381b80a6c48687179006832a20eb718051f6d561e
48,welcome-nist-full-scale-experiment.mp4,media10.mp4,figs/image96.png,18162486,59d1c8a36276444050f6d67ab22a99e88ddb268bbb8c9c71c6683139b9904f9f
51,welcome-umd-line-burner-history.mp4,media11.mp4,figs/image107.png,10132582,128d61326e78b27a098e3f9199352111a0efc29bab529cb7d1760273a9d88237
52,welcome-fm-propylene-wall-fire.mp4,media12.mp4,figs/image111.png,3787760,755a07c8ed57b67fcf5e61880673c7ca7d3c8f9f5331898299861af2bba3a5fa
54,welcome-csiro-grassland-fire.mp4,media13.mp4,figs/image115.png,4175611,ddac2b8479d410a554a8ad02eb20dc78efcbb509acfac6b624f65261d2aba8d2
56,welcome-large-outdoor-fire-modeling.mp4,media14.mp4,figs/image116.png,149385316,5c50ea10faa50972079fe63dae57f8e4c153f975bbb59f9ad65ef3edb96c754b
59,welcome-national-fire-research-laboratory.mp4,media15.mp4,figs/image123.png,89988976,a38ef0e4d40196b38b3f91c30d99d9f58960a6749b758833a8d95195a30855b8
60,welcome-fire-structure-modeling.mp4,media16.mov,figs/image126.png,7383585,a5f37b23fe1abac099f990c4e8aa184f29548010e83bc6db4a6d6a54becf9c0a
63,welcome-frontera-fire-simulation.mp4,media17.mp4,figs/image132.png,79499183,6e86fce1c11d7c27dbf2f79a830f482ce8973db097be4339a22154b915cf10f2
