s,m3/s,m3/s
Time,VDOT_IN,VDOT_OUT
 0.00000000000000E+000, 0.00000000000000E+000, 0.00000000000000E+000
 5.89890218520720E-002,-3.77092451160782E-001, 3.28487851447245E-001
 1.07758747404128E-001,-6.86998907843133E-001, 6.37540122678105E-001
 1.44555600587817E-001,-9.18765137321913E-001, 8.62447798095882E-001
 1.75762356512193E-001,-1.11343704266809E+000, 1.05310884711402E+000
 1.98254279147843E-001,-1.25246099762891E+000, 1.19686809697396E+000
 2.16696731804411E-001,-1.36555141634095E+000, 1.32072962683923E+000
 2.32942472339570E-001,-1.46443925357506E+000, 1.43103064002208E+000
 2.49188212874729E-001,-1.56259468076849E+000, 1.53413945530480E+000
 2.65433953409888E-001,-1.65997458810106E+000, 1.63589871957915E+000
 2.81679693945047E-001,-1.75653735602526E+000, 1.72948191662363E+000
 2.97925434480206E-001,-1.85224291544198E+000, 1.82271503170276E+000
 3.14171175015365E-001,-1.94705280188891E+000, 1.90897064559349E+000
 3.30416915550524E-001,-2.04093020365390E+000, 1.99131576066991E+000
 3.46662656085683E-001,-2.13384000376214E+000, 2.07191973340512E+000
 3.62908396620842E-001,-2.22574881582311E+000, 2.16267154588296E+000
 3.77265968134746E-001,-2.30611689598549E+000, 2.25228295285640E+000
 3.91623539648650E-001,-2.38565774816852E+000, 2.34182748211674E+000
 4.05981111162555E-001,-2.46435179889250E+000, 2.42903750098790E+000
 4.20338682676459E-001,-2.54218057975800E+000, 2.50738374514004E+000
 4.34696254190363E-001,-2.61912673161991E+000, 2.57978162500668E+000
 4.49053825704268E-001,-2.69517400608913E+000, 2.65535803748528E+000
 4.63411397218172E-001,-2.77030726443915E+000, 2.73027561751374E+000
 4.77768968732076E-001,-2.84451247400489E+000, 2.79850639934464E+000
 4.89736102850772E-001,-2.90564451665352E+000, 2.86273410471797E+000
 5.01703236969467E-001,-2.96611589971259E+000, 2.92885386408299E+000
 5.13670371088163E-001,-3.02592023715145E+000, 2.99463494866487E+000
 5.25637505206858E-001,-3.08505166086737E+000, 3.06006034685516E+000
 5.37604639325553E-001,-3.14350481512983E+000, 3.11746007914781E+000
 5.49571773444249E-001,-3.20127485038028E+000, 3.17484764472191E+000
 5.61538907562944E-001,-3.25835741642127E+000, 3.23023149659081E+000
 5.73506041681640E-001,-3.31474865502926E+000, 3.28431549889423E+000
 5.84222454477568E-001,-3.36465677688306E+000, 3.32972523558349E+000
 5.94938867273496E-001,-3.41400571438545E+000, 3.37908294898881E+000
 6.05655280069425E-001,-3.46279366930071E+000, 3.42948024592983E+000
 6.16371692865353E-001,-3.51101913877589E+000, 3.47998643435271E+000
 6.26006553875866E-001,-3.55389625883461E+000, 3.52686220054727E+000
 6.35641414886378E-001,-3.59631703200600E+000, 3.56903987131765E+000
 6.45276275896891E-001,-3.63828095509964E+000, 3.60833105550818E+000
 6.54911136907404E-001,-3.67978770350012E+000, 3.64574035063599E+000
 6.64545997917917E-001,-3.72083712751987E+000, 3.68747981221042E+000
 6.74180858928430E-001,-3.76142924867956E+000, 3.72986084283478E+000
 6.83815719938943E-001,-3.80156425592281E+000, 3.76799980247939E+000
 6.93450580949455E-001,-3.84124250177198E+000, 3.80896849372150E+000
 7.03085441959968E-001,-3.88046449843236E+000, 3.85024361117240E+000
 7.11699739390493E-001,-3.91514616724839E+000, 3.88856704168314E+000
 7.20314036821018E-001,-3.94946423548815E+000, 3.92594028877806E+000
 7.28928334251543E-001,-3.98341937808084E+000, 3.95796378013474E+000
 7.37542631682068E-001,-4.01701236233544E+000, 3.98602284958465E+000
 7.46156929112593E-001,-4.05024404562494E+000, 4.01669528177668E+000
 7.54771226543118E-001,-4.08311537306249E+000, 4.04884039454113E+000
 7.63385523973643E-001,-4.11562737517202E+000, 4.08092276288315E+000
 7.71999821404168E-001,-4.14778116555565E+000, 4.11223711822013E+000
 7.80614118834693E-001,-4.17957793856081E+000, 4.14724108032446E+000
 7.89228416265218E-001,-4.21101896694921E+000, 4.17740092024521E+000
 7.96882171025420E-001,-4.23865677662185E+000, 4.20582493145540E+000
 8.04535925785622E-001,-4.26601581238922E+000, 4.23241839225543E+000
 8.12189680545824E-001,-4.29309711395968E+000, 4.25775806682824E+000
 8.19843435306026E-001,-4.31990176445552E+000, 4.28229894729000E+000
 8.27497190066228E-001,-4.34643088914299E+000, 4.30791203963361E+000
 8.35150944826430E-001,-4.37268565416943E+000, 4.33153450871392E+000
 8.42804699586632E-001,-4.39866726530772E+000, 4.36030734999317E+000
 8.50458454346833E-001,-4.42437696670925E+000, 4.38155809174629E+000
 8.58112209107035E-001,-4.44981603966550E+000, 4.40600670676435E+000
 8.65765963867237E-001,-4.47498580137974E+000, 4.42952884252115E+000
 8.73419718627439E-001,-4.49988760374890E+000, 4.45349455916897E+000
 8.81073473387641E-001,-4.52452283215635E+000, 4.47705647164493E+000
 8.88727228147843E-001,-4.54889290427652E+000, 4.49913811393659E+000
 8.96380982908045E-001,-4.57299926889154E+000, 4.52390557148013E+000
 9.04034737668247E-001,-4.59684340472051E+000, 4.54882309854862E+000
 9.10893671255853E-001,-4.61798983398770E+000, 4.57267544198634E+000
 9.17752604843460E-001,-4.63892798411430E+000, 4.59209049775689E+000
 9.24611538431066E-001,-4.65965897610082E+000, 4.60808484436979E+000
 9.31470472018672E-001,-4.68018394747226E+000, 4.62551850729157E+000
 9.38329405606279E-001,-4.70050405163997E+000, 4.64509624636267E+000
 9.45188339193885E-001,-4.72062045727154E+000, 4.66754193885719E+000
 9.52047272781491E-001,-4.74053434766857E+000, 4.68998615934693E+000
 9.58906206369098E-001,-4.76024692015272E+000, 4.71391942117324E+000
 9.65765139956704E-001,-4.77975938546004E+000, 4.73288874291625E+000
 9.72624073544310E-001,-4.79907296714391E+000, 4.74880098228110E+000
 9.79483007131917E-001,-4.81818890098612E+000, 4.76155112886308E+000
 9.86341940719523E-001,-4.83710843441736E+000, 4.77401932403547E+000
 9.93200874307130E-001,-4.85583282594574E+000, 4.79000883930080E+000
 1.00005980789474E+000,-4.87436334459458E+000, 4.81956192090394E+000
 1.00691874148234E+000,-4.89270126934926E+000, 4.84733460690862E+000
 1.01377767506995E+000,-4.91084788861259E+000, 4.87089209003859E+000
 1.02063660865756E+000,-4.92880449966992E+000, 4.89209552402315E+000
 1.02668772497305E+000,-4.94448953704425E+000, 4.91087361339561E+000
 1.03273884128855E+000,-4.96002860506231E+000, 4.92612456615338E+000
 1.03806184374788E+000,-4.97357793961018E+000, 4.94177916263098E+000
 1.04338484620722E+000,-4.98701564010521E+000, 4.95689015515133E+000
 1.04870784866656E+000,-5.00034232841501E+000, 4.97014203486347E+000
 1.05346176923674E+000,-5.01215092583826E+000, 4.99976904334166E+000
 1.05821568980692E+000,-5.02387192262677E+000, 5.00711702044840E+000
 1.06296961037710E+000,-5.03550576605530E+000, 5.01466111031260E+000
 1.06772353094728E+000,-5.04705290459172E+000, 5.02420918998401E+000
 1.07247745151746E+000,-5.05851378782366E+000, 5.03362794703489E+000
 1.07723137208765E+000,-5.06988886638646E+000, 5.05072973345452E+000
 1.08198529265783E+000,-5.08117859189149E+000, 5.06564007790475E+000
 1.08673921322801E+000,-5.09238341685628E+000, 5.07628296646544E+000
 1.09149313379819E+000,-5.10350379463509E+000, 5.08958435334709E+000
 1.09624705436837E+000,-5.11454017935071E+000, 5.09873500423810E+000
 1.10100097493855E+000,-5.12549302582739E+000, 5.10336004923038E+000
 1.10575489550874E+000,-5.13636278952459E+000, 5.12054610452900E+000
 1.11050881607892E+000,-5.14714992647184E+000, 5.13380877282728E+000
 1.11526273664910E+000,-5.15785489320448E+000, 5.15050929441516E+000
 1.12001665721928E+000,-5.16847814670071E+000, 5.16193614514160E+000
 1.12477057778946E+000,-5.17902014431933E+000, 5.17439857436160E+000
 1.12902149265577E+000,-5.18837826743068E+000, 5.18742844656403E+000
 1.13327240752208E+000,-5.19767211346237E+000, 5.19513713594025E+000
 1.13752332238840E+000,-5.20690200995294E+000, 5.20196015961739E+000
 1.14177423725471E+000,-5.21606828453948E+000, 5.20756013418783E+000
 1.14602515212102E+000,-5.22517126492496E+000, 5.21549147538205E+000
 1.15027606698733E+000,-5.23421127884556E+000, 5.22586760885873E+000
 1.15452698185364E+000,-5.24318865403893E+000, 5.24181191448788E+000
 1.15877789671995E+000,-5.25210371821299E+000, 5.25690434871308E+000
 1.16302881158626E+000,-5.26095679901480E+000, 5.26633682797955E+000
 1.16727972645257E+000,-5.26974822400036E+000, 5.27174768156058E+000
 1.17153064131888E+000,-5.27847832060471E+000, 5.28686524206538E+000
 1.17578155618519E+000,-5.28714741611232E+000, 5.28846471863599E+000
 1.18003247105151E+000,-5.29575583762842E+000, 5.29469805036389E+000
 1.18428338591782E+000,-5.30430391205034E+000, 5.30037860603027E+000
 1.18853430078413E+000,-5.31279196603964E+000, 5.30417662608595E+000
 1.19278521565044E+000,-5.32122032599450E+000, 5.31183930608395E+000
 1.19703613051675E+000,-5.32958931802273E+000, 5.31145718779145E+000
 1.20128704538306E+000,-5.33789926791527E+000, 5.33120306788008E+000
 1.20553796024937E+000,-5.34615050111990E+000, 5.34034298480629E+000
 1.20978887511568E+000,-5.35434334271562E+000, 5.34989036926043E+000
 1.21403978998199E+000,-5.36247811738758E+000, 5.36079277784478E+000
 1.21829070484831E+000,-5.37055514940214E+000, 5.36797068891604E+000
 1.22254161971462E+000,-5.37857476258264E+000, 5.37723585435309E+000
 1.22679253458093E+000,-5.38653728028551E+000, 5.38825558607061E+000
 1.23104344944724E+000,-5.39444302537694E+000, 5.39652052854159E+000
 1.23529436431355E+000,-5.40229232020974E+000, 5.40274911668159E+000
