s,m3/s,m3/s
Time,VDOT_IN,VDOT_OUT
 0.00000000000000E+000, 0.00000000000000E+000, 0.00000000000000E+000
 4.09091237266948E-002,-2.61672433609013E-001, 2.61410775924842E-001
 8.59091598260591E-002,-5.48469980005892E-001, 5.47340563398523E-001
 1.27040145837165E-001,-8.08710958303504E-001, 8.07576710409311E-001
 1.60149708157200E-001,-1.01628442195698E+000, 1.01527039449237E+000
 1.83692426655890E-001,-1.16258452453889E+000, 1.16158274282825E+000
 2.02928338726485E-001,-1.28120285391180E+000, 1.28009550296736E+000
 2.19844758505427E-001,-1.38476859365320E+000, 1.38364408147822E+000
 2.36761178284368E-001,-1.48757902586624E+000, 1.48651490530053E+000
 2.53677598063309E-001,-1.58958420912968E+000, 1.58848207450698E+000
 2.70594017842250E-001,-1.69073589518036E+000, 1.68953861110008E+000
 2.87510437621192E-001,-1.79098760793347E+000, 1.78985183684343E+000
 3.04426857400133E-001,-1.89029471498321E+000, 1.88910479586717E+000
 3.21343277179074E-001,-1.98861449143140E+000, 1.98749049596465E+000
 3.38259696958016E-001,-2.08590617594461E+000, 2.08486331744031E+000
 3.55176116736957E-001,-2.18213101899027E+000, 2.18117481052827E+000
 3.69569787061182E-001,-2.26313825462553E+000, 2.26221312167090E+000
 3.83963457385408E-001,-2.34332509761869E+000, 2.34235937982004E+000
 3.98357127709633E-001,-2.42267123372339E+000, 2.42155099771619E+000
 4.12750798033858E-001,-2.50115746154858E+000, 2.50012377102029E+000
 4.27144468358083E-001,-2.57876569825520E+000, 2.57774361838177E+000
 4.41538138682309E-001,-2.65547898250123E+000, 2.65444701479691E+000
 4.55931809006534E-001,-2.73128147470978E+000, 2.73023072906509E+000
 4.70325479330759E-001,-2.80615845474339E+000, 2.80508011008674E+000
 4.82337185338741E-001,-2.86792595505718E+000, 2.86712572844056E+000
 4.94348891346722E-001,-2.92903210662501E+000, 2.92834466291300E+000
 5.06360597354704E-001,-2.98947012645314E+000, 2.98867606101195E+000
 5.18372303362685E-001,-3.04923376036089E+000, 3.04826992387315E+000
 5.29172693972542E-001,-3.10239001392910E+000, 3.10142863554338E+000
 5.39973084582400E-001,-3.15499259157357E+000, 3.15401122807367E+000
 5.50773475192257E-001,-3.20703801951666E+000, 3.20604673692048E+000
 5.61573865802114E-001,-3.25852315434483E+000, 3.25749864176107E+000
 5.72374256411971E-001,-3.30944517853493E+000, 3.30851411290436E+000
 5.83174647021829E-001,-3.35980159568973E+000, 3.35907564159334E+000
 5.93975037631686E-001,-3.40959022549896E+000, 3.40887914616553E+000
 6.04775428241543E-001,-3.45880919844384E+000, 3.45806867272411E+000
 6.14456923498431E-001,-3.50244371909563E+000, 3.50155080179889E+000
 6.24138418755320E-001,-3.54561831645628E+000, 3.54466134301372E+000
 6.33819914012208E-001,-3.58833225849392E+000, 3.58736973488392E+000
 6.43501409269096E-001,-3.63058499956538E+000, 3.62962457799331E+000
 6.53182904525984E-001,-3.67237617677847E+000, 3.67140530848607E+000
 6.62864399782872E-001,-3.71370560627090E+000, 3.71283043831586E+000
 6.72545895039761E-001,-3.75457327941285E+000, 3.75370441051939E+000
 6.82227390296649E-001,-3.79497935894029E+000, 3.79408959532282E+000
 6.91908885553537E-001,-3.83492417502691E+000, 3.83400882129326E+000
 7.01590380810425E-001,-3.87440822130136E+000, 3.87355123551611E+000
 7.10126654569326E-001,-3.90883998999573E+000, 3.90792987197369E+000
 7.18662928328226E-001,-3.94291460368628E+000, 3.94204571783813E+000
 7.27199202087127E-001,-3.97663270206125E+000, 3.97572347883641E+000
 7.35735475846027E-001,-4.00999501431398E+000, 4.00900695591832E+000
 7.44271749604928E-001,-4.04300235693179E+000, 4.04203094833296E+000
 7.52808023363829E-001,-4.07565563147694E+000, 4.07473036734137E+000
 7.61344297122729E-001,-4.10795582236165E+000, 4.10695563582452E+000
 7.69880570881630E-001,-4.13990399461988E+000, 4.13892784411831E+000
 7.78416844640530E-001,-4.17150129167795E+000, 4.17047599167743E+000
 7.86953118399431E-001,-4.20274893312656E+000, 4.20178418581290E+000
 7.94581924754615E-001,-4.23037990435966E+000, 4.22935939315269E+000
 8.02210731109798E-001,-4.25773361428097E+000, 4.25678478652787E+000
 8.09839537464982E-001,-4.28481107922725E+000, 4.28385443849878E+000
 8.17468343820166E-001,-4.31161335876762E+000, 4.31062353439274E+000
 8.25097150175350E-001,-4.33814155445255E+000, 4.33708601741952E+000
 8.32725956530534E-001,-4.36439680856926E+000, 4.36337467388108E+000
 8.40354762885717E-001,-4.39038030290418E+000, 4.38936507501324E+000
 8.47983569240901E-001,-4.41609325751322E+000, 4.41507027226188E+000
 8.55612375596085E-001,-4.44153692950077E+000, 4.44051259034070E+000
 8.63241181951269E-001,-4.46671261180805E+000, 4.46559057104594E+000
 8.70869988306453E-001,-4.49162163201126E+000, 4.49057605287220E+000
 8.78498794661636E-001,-4.51626535113034E+000, 4.51522835157999E+000
 8.86127601016820E-001,-4.54064516244914E+000, 4.53950559303586E+000
 8.93756407372004E-001,-4.56476249034702E+000, 4.56361148240831E+000
 9.01385213727188E-001,-4.58861878914301E+000, 4.58751621700510E+000
 9.08225442333961E-001,-4.60978836638018E+000, 4.60863605321118E+000
 9.15065670940734E-001,-4.63075036978219E+000, 4.62960827181974E+000
 9.21905899547507E-001,-4.65150590463214E+000, 4.65044321500381E+000
 9.28746128154280E-001,-4.67205609280745E+000, 4.67088130166360E+000
 9.35586356761053E-001,-4.69240207214737E+000, 4.69130347833920E+000
 9.42426585367826E-001,-4.71254499582821E+000, 4.71143506616910E+000
 9.49266813974599E-001,-4.73248603174649E+000, 4.73128728445308E+000
 9.56107042581372E-001,-4.75222636191014E+000, 4.75108516211572E+000
 9.62947271188145E-001,-4.77176718183741E+000, 4.77061189675565E+000
 9.69787499794918E-001,-4.79110969996468E+000, 4.78994443188559E+000
 9.76627728401691E-001,-4.81025513706229E+000, 4.80915392698408E+000
 9.83467957008464E-001,-4.82920472565875E+000, 4.82798763969199E+000
 9.90308185615237E-001,-4.84795970947401E+000, 4.84671851951579E+000
 9.97148414222010E-001,-4.86652134286089E+000, 4.86533736865332E+000
 1.00398864282878E+000,-4.88489089025574E+000, 4.88358232823395E+000
 1.01082887143556E+000,-4.90306962563750E+000, 4.90177306439698E+000
 1.01766910004233E+000,-4.92105883199618E+000, 4.91982648462227E+000
 1.02365733664350E+000,-4.93665280072901E+000, 4.93535708308911E+000
 1.02964557324467E+000,-4.95210337524220E+000, 4.95091605126029E+000
 1.03493814832749E+000,-4.96564036220578E+000, 4.96440356323736E+000
 1.04023072341032E+000,-4.97906662803038E+000, 4.97790482869352E+000
 1.04552329849314E+000,-4.99238278261621E+000, 4.99125549389380E+000
 1.05024417441699E+000,-5.00416812371220E+000, 5.00536630281745E+000
 1.05496505034084E+000,-5.01586677993859E+000, 5.01468122027419E+000
 1.05968592626469E+000,-5.02747918847142E+000, 5.02636381180263E+000
 1.06440680218853E+000,-5.03900578769633E+000, 5.03794317493131E+000
 1.06912767811238E+000,-5.05044701713721E+000, 5.04934200475422E+000
 1.07384855403623E+000,-5.06180331738545E+000, 5.06066674584434E+000
 1.07856942996008E+000,-5.07307513003071E+000, 5.07363690328644E+000
 1.08329030588392E+000,-5.08426289759220E+000, 5.08327564691125E+000
 1.08801118180777E+000,-5.09536706345102E+000, 5.09649413047857E+000
 1.09273205773162E+000,-5.10638807178391E+000, 5.10517803840769E+000
 1.09745293365547E+000,-5.11732636749734E+000, 5.11619141896063E+000
 1.10217380957931E+000,-5.12818239616308E+000, 5.12927185074619E+000
 1.10689468550316E+000,-5.13895660395433E+000, 5.13986555925758E+000
 1.11161556142701E+000,-5.14964943758335E+000, 5.14995082223021E+000
 1.11633643735086E+000,-5.16026134423950E+000, 5.15908751530339E+000
 1.12105731327470E+000,-5.17079277152855E+000, 5.17163953412176E+000
 1.12577818919855E+000,-5.18124416741284E+000, 5.18090042405101E+000
 1.13049906512240E+000,-5.19161598015261E+000, 5.19036814896183E+000
 1.13521994104625E+000,-5.20190865824793E+000, 5.20121542099121E+000
 1.13994081697009E+000,-5.21212265038184E+000, 5.21134127427308E+000
 1.14466169289394E+000,-5.22225840536431E+000, 5.22123786810702E+000
 1.14938256881779E+000,-5.23231637207732E+000, 5.23288404134630E+000
 1.15410344474164E+000,-5.24229699942049E+000, 5.24150484819549E+000
 1.15882432066548E+000,-5.25220073625808E+000, 5.25260869578697E+000
 1.16354519658933E+000,-5.26202803136659E+000, 5.26323583496867E+000
 1.16826607251318E+000,-5.27177933338350E+000, 5.27094916829254E+000
 1.17298694843703E+000,-5.28145509075673E+000, 5.28198818373547E+000
 1.17770782436087E+000,-5.29105575169521E+000, 5.29034494177242E+000
 1.18242870028472E+000,-5.30058176411992E+000, 5.29930741397092E+000
 1.18714957620857E+000,-5.31003357561668E+000, 5.30888567010749E+000
 1.19187045213242E+000,-5.31941163338872E+000, 5.31977818675358E+000
 1.19659132805626E+000,-5.32871638421102E+000, 5.32908869022011E+000
 1.20131220398011E+000,-5.33794827438508E+000, 5.33841553592163E+000
 1.20603307990396E+000,-5.34710774969465E+000, 5.34687857183278E+000
 1.21075395582781E+000,-5.35619525536250E+000, 5.35534620639297E+000
 1.21547483175165E+000,-5.36521123600757E+000, 5.36634308947859E+000
 1.22019570767550E+000,-5.37415613560370E+000, 5.37508350308675E+000
 1.22491658359935E+000,-5.38303039743825E+000, 5.38307881196202E+000
 1.22963745952320E+000,-5.39183446407264E+000, 5.39082546098914E+000
 1.23435833544704E+000,-5.40056877730262E+000, 5.39959095162765E+000
 1.23907921137089E+000,-5.40923377812031E+000, 5.40808255988363E+000
