s,m3/s,m3/s
Time,VDOT_IN,VDOT_OUT
 0.00000000000000E+000, 0.00000000000000E+000, 0.00000000000000E+000
 4.07115339550296E-002,-2.60409962865488E-001, 2.60409962865489E-001
 8.54942213055622E-002,-5.45833783246945E-001, 5.45833783246946E-001
 1.26813944348721E-001,-8.07286343520615E-001, 8.07286343520618E-001
 1.59899255778765E-001,-1.01472188270890E+000, 1.01472188270891E+000
 1.83457093064189E-001,-1.16112802692971E+000, 1.16112802692978E+000
 2.02694366978249E-001,-1.27976537681428E+000, 1.27976537681428E+000
 2.19609030320158E-001,-1.38333048941462E+000, 1.38333048941465E+000
 2.36523693662067E-001,-1.48614115863910E+000, 1.48614115863917E+000
 2.53438357003976E-001,-1.58814743553974E+000, 1.58814743553982E+000
 2.70353020345885E-001,-1.68930106246229E+000, 1.68930106246238E+000
 2.87267683687794E-001,-1.78955555213014E+000, 1.78955555213023E+000
 3.04182347029703E-001,-1.88886625921561E+000, 1.88886625921570E+000
 3.21097010371612E-001,-1.98719044424614E+000, 1.98719044424623E+000
 3.38011673713520E-001,-2.08448732974438E+000, 2.08448732974450E+000
 3.54926337055429E-001,-2.18071814855296E+000, 2.18071814855293E+000
 3.69318879282355E-001,-2.26173311678531E+000, 2.26173311678533E+000
 3.83711421509281E-001,-2.34192818483103E+000, 2.34192818483106E+000
 3.98103963736206E-001,-2.42128302384882E+000, 2.42128302384887E+000
 4.12496505963132E-001,-2.49977841737928E+000, 2.49977841737933E+000
 4.26889048190057E-001,-2.57739626708830E+000, 2.57739626708832E+000
 4.41281590416983E-001,-2.65411959575878E+000, 2.65411959575877E+000
 4.55674132643909E-001,-2.72993254760516E+000, 2.72993254760520E+000
 4.70066674870834E-001,-2.80482038599428E+000, 2.80482038599440E+000
 4.82081130416271E-001,-2.86661612384511E+000, 2.86661612384522E+000
 4.94095585961709E-001,-2.92775036061765E+000, 2.92775036061778E+000
 5.06110041507146E-001,-2.98821629738723E+000, 2.98821629738737E+000
 5.18124497052583E-001,-3.04800766462971E+000, 3.04800766462983E+000
 5.28920421867425E-001,-3.10115470806898E+000, 3.10115470806908E+000
 5.39716346682267E-001,-3.15374861839143E+000, 3.15374861839148E+000
 5.50512271497108E-001,-3.20578591830038E+000, 3.20578591830042E+000
 5.61308196311950E-001,-3.25726346041991E+000, 3.25726346041996E+000
 5.72104121126791E-001,-3.30817842283738E+000, 3.30817842283744E+000
 5.82900045941633E-001,-3.35852830435556E+000, 3.35852830435562E+000
 5.93695970756475E-001,-3.40831091947087E+000, 3.40831091947095E+000
 6.04491895571316E-001,-3.45752439309500E+000, 3.45752439309503E+000
 6.14172895363274E-001,-3.50117014812860E+000, 3.50117014812862E+000
 6.23853895155232E-001,-3.54435605126673E+000, 3.54435605126673E+000
 6.33534894947190E-001,-3.58708136506391E+000, 3.58708136506392E+000
 6.43215894739148E-001,-3.62934553853064E+000, 3.62934553853065E+000
 6.52896894531106E-001,-3.67114820349934E+000, 3.67114820349937E+000
 6.62577894323064E-001,-3.71248917090658E+000, 3.71248917090663E+000
 6.72258894115021E-001,-3.75336842699860E+000, 3.75336842699864E+000
 6.81939893906979E-001,-3.79378612946777E+000, 3.79378612946779E+000
 6.91620893698937E-001,-3.83374260352707E+000, 3.83374260352711E+000
 7.01301893490895E-001,-3.87323833793007E+000, 3.87323833793012E+000
 7.09837215529985E-001,-3.90767836666984E+000, 3.90767836666986E+000
 7.18372537569074E-001,-3.94176129994855E+000, 3.94176129994860E+000
 7.26907859608163E-001,-3.97548777416318E+000, 3.97548777416324E+000
 7.35443181647253E-001,-4.00885851525072E+000, 4.00885851525077E+000
 7.43978503686342E-001,-4.04187433647885E+000, 4.04187433647893E+000
 7.52513825725431E-001,-4.07453613622840E+000, 4.07453613622844E+000
 7.61049147764521E-001,-4.10684489576955E+000, 4.10684489576959E+000
 7.69584469803610E-001,-4.13880167703519E+000, 4.13880167703519E+000
 7.78119791842699E-001,-4.17040762039256E+000, 4.17040762039256E+000
 7.86655113881789E-001,-4.20166394241654E+000, 4.20166394241653E+000
 7.94281365035888E-001,-4.22929655243752E+000, 4.22929655243749E+000
 8.01907616189987E-001,-4.25665204773280E+000, 4.25665204773276E+000
 8.09533867344086E-001,-4.28373144188374E+000, 4.28373144188370E+000
 8.17160118498186E-001,-4.31053579169598E+000, 4.31053579169591E+000
 8.24786369652285E-001,-4.33706619595023E+000, 4.33706619595014E+000
 8.32412620806384E-001,-4.36332379415953E+000, 4.36332379415942E+000
 8.40038871960483E-001,-4.38930976533328E+000, 4.38930976533321E+000
 8.47665123114582E-001,-4.41502532674952E+000, 4.41502532674949E+000
 8.55291374268682E-001,-4.44047173273544E+000, 4.44047173273547E+000
 8.62917625422781E-001,-4.46565027345741E+000, 4.46565027345745E+000
 8.70543876576880E-001,-4.49056227372057E+000, 4.49056227372061E+000
 8.78170127730979E-001,-4.51520909177940E+000, 4.51520909177945E+000
 8.85796378885078E-001,-4.53959211815915E+000, 4.53959211815920E+000
 8.93422630039178E-001,-4.56371277448898E+000, 4.56371277448901E+000
 9.01048881193277E-001,-4.58757251234745E+000, 4.58757251234748E+000
 9.07896455746816E-001,-4.60877495804516E+000, 4.60877495804524E+000
 9.14744030300354E-001,-4.62976933098707E+000, 4.62976933098714E+000
 9.21591604853893E-001,-4.65055673921317E+000, 4.65055673921326E+000
 9.28439179407432E-001,-4.67113830745938E+000, 4.67113830745943E+000
 9.35286753960970E-001,-4.69151517652100E+000, 4.69151517652103E+000
 9.42134328514509E-001,-4.71168850262452E+000, 4.71168850262453E+000
 9.48981903068048E-001,-4.73165945680686E+000, 4.73165945680687E+000
 9.55829477621586E-001,-4.75142922430293E+000, 4.75142922430300E+000
 9.62677052175125E-001,-4.77099900394136E+000, 4.77099900394141E+000
 9.69524626728664E-001,-4.79037000754814E+000, 4.79037000754822E+000
 9.76372201282202E-001,-4.80954345935948E+000, 4.80954345935957E+000
 9.83219775835741E-001,-4.82852059544243E+000, 4.82852059544252E+000
 9.90067350389280E-001,-4.84730266312468E+000, 4.84730266312473E+000
 9.96914924942818E-001,-4.86589092043278E+000, 4.86589092043281E+000
 1.00376249949636E+000,-4.88428663553941E+000, 4.88428663553942E+000
 1.01061007404990E+000,-4.90249108621945E+000, 4.90249108621946E+000
 1.01745764860343E+000,-4.92050555931490E+000, 4.92050555931495E+000
 1.02344738972524E+000,-4.93610850855849E+000, 4.93610850855853E+000
 1.02943713084704E+000,-4.95156796087120E+000, 4.95156796087121E+000
 1.03473112131616E+000,-4.96511292742684E+000, 4.96511292742682E+000
 1.04002511178528E+000,-4.97854708979381E+000, 4.97854708979380E+000
 1.04531910225441E+000,-4.99187105827036E+000, 4.99187105827033E+000
 1.05004007369086E+000,-5.00366039630646E+000, 5.00366039630635E+000
 1.05476104512731E+000,-5.01536302709215E+000, 5.01536302709218E+000
 1.05948201656376E+000,-5.02697938777616E+000, 5.02697938777619E+000
 1.06420298800021E+000,-5.03850991671999E+000, 5.03850991672002E+000
 1.06892395943666E+000,-5.04995505342646E+000, 5.04995505342649E+000
 1.07364493087311E+000,-5.06131523846914E+000, 5.06131523846917E+000
 1.07836590230956E+000,-5.07259091342280E+000, 5.07259091342273E+000
 1.08308687374601E+000,-5.08378252079478E+000, 5.08378252079473E+000
 1.08780784518246E+000,-5.09489050395743E+000, 5.09489050395736E+000
 1.09252881661891E+000,-5.10591530708142E+000, 5.10591530708133E+000
 1.09724978805536E+000,-5.11685737507016E+000, 5.11685737507018E+000
 1.10197075949181E+000,-5.12771715349519E+000, 5.12771715349510E+000
 1.10669173092826E+000,-5.13849508853219E+000, 5.13849508853218E+000
 1.11141270236471E+000,-5.14919162689867E+000, 5.14919162689857E+000
 1.11613367380116E+000,-5.15980721579178E+000, 5.15980721579178E+000
 1.12085464523761E+000,-5.17034230282783E+000, 5.17034230282779E+000
 1.12557561667406E+000,-5.18079733598235E+000, 5.18079733598232E+000
 1.13029658811051E+000,-5.19117276353113E+000, 5.19117276353111E+000
 1.13501755954696E+000,-5.20146903399237E+000, 5.20146903399231E+000
 1.13973853098342E+000,-5.21168659606959E+000, 5.21168659606956E+000
 1.14445950241987E+000,-5.22182589859583E+000, 5.22182589859578E+000
 1.14918047385632E+000,-5.23188739047819E+000, 5.23188739047818E+000
 1.15390144529277E+000,-5.24187152064394E+000, 5.24187152064396E+000
 1.15862241672922E+000,-5.25177873798719E+000, 5.25177873798712E+000
 1.16334338816567E+000,-5.26160949131649E+000, 5.26160949131642E+000
 1.16806435960212E+000,-5.27136422930357E+000, 5.27136422930348E+000
 1.17278533103857E+000,-5.28104340043263E+000, 5.28104340043255E+000
 1.17750630247502E+000,-5.29064745295098E+000, 5.29064745295089E+000
 1.18222727391147E+000,-5.30017683482022E+000, 5.30017683482014E+000
 1.18694824534792E+000,-5.30963199366845E+000, 5.30963199366845E+000
 1.19166921678437E+000,-5.31901337674337E+000, 5.31901337674327E+000
 1.19639018822082E+000,-5.32832143086625E+000, 5.32832143086616E+000
 1.20111115965727E+000,-5.33755660238676E+000, 5.33755660238668E+000
 1.20583213109372E+000,-5.34671933713873E+000, 5.34671933713868E+000
 1.21055310253017E+000,-5.35581008039662E+000, 5.35581008039666E+000
 1.21527407396662E+000,-5.36482927683301E+000, 5.36482927683293E+000
 1.21999504540307E+000,-5.37377737047684E+000, 5.37377737047676E+000
 1.22471601683952E+000,-5.38265480467249E+000, 5.38265480467244E+000
 1.22943698827597E+000,-5.39146202203983E+000, 5.39146202203973E+000
 1.23415795971242E+000,-5.40019946443476E+000, 5.40019946443469E+000
 1.23887893114887E+000,-5.40886757291105E+000, 5.40886757291104E+000
