s,m3/s,m3/s
Time,VDOT_IN,VDOT_OUT
 0.00000000000000E+000, 0.00000000000000E+000, 0.00000000000000E+000
 4.07115339550286E-002,-2.60409962865481E-001, 2.60409962865481E-001
 8.54942213055601E-002,-5.45833783246933E-001, 5.45833783246932E-001
 1.26813944348720E-001,-8.07286343520611E-001, 8.07286343520611E-001
 1.59899255778766E-001,-1.01472188270890E+000, 1.01472188270891E+000
 1.83457093064189E-001,-1.16112802692971E+000, 1.16112802692972E+000
 2.02694366978249E-001,-1.27976537681428E+000, 1.27976537681428E+000
 2.19609030320158E-001,-1.38333048941462E+000, 1.38333048941462E+000
 2.36523693662067E-001,-1.48614115863910E+000, 1.48614115863910E+000
 2.53438357003977E-001,-1.58814743553975E+000, 1.58814743553975E+000
 2.70353020345886E-001,-1.68930106246230E+000, 1.68930106246231E+000
 2.87267683687796E-001,-1.78955555213014E+000, 1.78955555213014E+000
 3.04182347029705E-001,-1.88886625921562E+000, 1.88886625921562E+000
 3.21097010371614E-001,-1.98719044424615E+000, 1.98719044424615E+000
 3.38011673713524E-001,-2.08448732974439E+000, 2.08448732974440E+000
 3.54926337055433E-001,-2.18071814855300E+000, 2.18071814855299E+000
 3.69318879282359E-001,-2.26173311678532E+000, 2.26173311678533E+000
 3.83711421509284E-001,-2.34192818483105E+000, 2.34192818483105E+000
 3.98103963736210E-001,-2.42128302384885E+000, 2.42128302384885E+000
 4.12496505963135E-001,-2.49977841737931E+000, 2.49977841737931E+000
 4.26889048190061E-001,-2.57739626708833E+000, 2.57739626708833E+000
 4.41281590416986E-001,-2.65411959575880E+000, 2.65411959575880E+000
 4.55674132643912E-001,-2.72993254760519E+000, 2.72993254760519E+000
 4.70066674870837E-001,-2.80482038599429E+000, 2.80482038599430E+000
 4.82081130416276E-001,-2.86661612384512E+000, 2.86661612384512E+000
 4.94095585961714E-001,-2.92775036061767E+000, 2.92775036061767E+000
 5.06110041507152E-001,-2.98821629738726E+000, 2.98821629738726E+000
 5.18124497052591E-001,-3.04800766462973E+000, 3.04800766462974E+000
 5.28920421867433E-001,-3.10115470806905E+000, 3.10115470806904E+000
 5.39716346682276E-001,-3.15374861839145E+000, 3.15374861839146E+000
 5.50512271497118E-001,-3.20578591830042E+000, 3.20578591830042E+000
 5.61308196311961E-001,-3.25726346041995E+000, 3.25726346041995E+000
 5.72104121126803E-001,-3.30817842283741E+000, 3.30817842283743E+000
 5.82900045941646E-001,-3.35852830435562E+000, 3.35852830435562E+000
 5.93695970756488E-001,-3.40831091947096E+000, 3.40831091947095E+000
 6.04491895571331E-001,-3.45752439309504E+000, 3.45752439309505E+000
 6.14172895363287E-001,-3.50117014812864E+000, 3.50117014812865E+000
 6.23853895155244E-001,-3.54435605126676E+000, 3.54435605126678E+000
 6.33534894947201E-001,-3.58708136506399E+000, 3.58708136506398E+000
 6.43215894739158E-001,-3.62934553853071E+000, 3.62934553853070E+000
 6.52896894531115E-001,-3.67114820349937E+000, 3.67114820349940E+000
 6.62577894323072E-001,-3.71248917090665E+000, 3.71248917090663E+000
 6.72258894115029E-001,-3.75336842699866E+000, 3.75336842699864E+000
 6.81939893906986E-001,-3.79378612946778E+000, 3.79378612946779E+000
 6.91620893698943E-001,-3.83374260352709E+000, 3.83374260352709E+000
 7.01301893490900E-001,-3.87323833793011E+000, 3.87323833793011E+000
 7.09837215529990E-001,-3.90767836666986E+000, 3.90767836666985E+000
 7.18372537569080E-001,-3.94176129994856E+000, 3.94176129994857E+000
 7.26907859608170E-001,-3.97548777416319E+000, 3.97548777416320E+000
 7.35443181647261E-001,-4.00885851525073E+000, 4.00885851525075E+000
 7.43978503686351E-001,-4.04187433647892E+000, 4.04187433647891E+000
 7.52513825725441E-001,-4.07453613622843E+000, 4.07453613622844E+000
 7.61049147764531E-001,-4.10684489576963E+000, 4.10684489576961E+000
 7.69584469803622E-001,-4.13880167703521E+000, 4.13880167703523E+000
 7.78119791842712E-001,-4.17040762039261E+000, 4.17040762039262E+000
 7.86655113881802E-001,-4.20166394241662E+000, 4.20166394241660E+000
 7.94281365035901E-001,-4.22929655243754E+000, 4.22929655243756E+000
 8.01907616190000E-001,-4.25665204773282E+000, 4.25665204773284E+000
 8.09533867344099E-001,-4.28373144188378E+000, 4.28373144188378E+000
 8.17160118498198E-001,-4.31053579169601E+000, 4.31053579169602E+000
 8.24786369652298E-001,-4.33706619595030E+000, 4.33706619595029E+000
 8.32412620806397E-001,-4.36332379415957E+000, 4.36332379415957E+000
 8.40038871960496E-001,-4.38930976533333E+000, 4.38930976533332E+000
 8.47665123114595E-001,-4.41502532674955E+000, 4.41502532674955E+000
 8.55291374268694E-001,-4.44047173273548E+000, 4.44047173273549E+000
 8.62917625422793E-001,-4.46565027345742E+000, 4.46565027345744E+000
 8.70543876576892E-001,-4.49056227372058E+000, 4.49056227372060E+000
 8.78170127730991E-001,-4.51520909177944E+000, 4.51520909177944E+000
 8.85796378885090E-001,-4.53959211815921E+000, 4.53959211815920E+000
 8.93422630039189E-001,-4.56371277448903E+000, 4.56371277448904E+000
 9.01048881193289E-001,-4.58757251234748E+000, 4.58757251234748E+000
 9.07896455746828E-001,-4.60877495804518E+000, 4.60877495804521E+000
 9.14744030300367E-001,-4.62976933098708E+000, 4.62976933098710E+000
 9.21591604853906E-001,-4.65055673921323E+000, 4.65055673921322E+000
 9.28439179407445E-001,-4.67113830745939E+000, 4.67113830745940E+000
 9.35286753960984E-001,-4.69151517652106E+000, 4.69151517652103E+000
 9.42134328514523E-001,-4.71168850262454E+000, 4.71168850262454E+000
 9.48981903068062E-001,-4.73165945680692E+000, 4.73165945680690E+000
 9.55829477621601E-001,-4.75142922430300E+000, 4.75142922430300E+000
 9.62677052175140E-001,-4.77099900394137E+000, 4.77099900394138E+000
 9.69524626728679E-001,-4.79037000754820E+000, 4.79037000754819E+000
 9.76372201282218E-001,-4.80954345935950E+000, 4.80954345935952E+000
 9.83219775835757E-001,-4.82852059544249E+000, 4.82852059544249E+000
 9.90067350389296E-001,-4.84730266312475E+000, 4.84730266312473E+000
 9.96914924942835E-001,-4.86589092043280E+000, 4.86589092043283E+000
 1.00376249949637E+000,-4.88428663553944E+000, 4.88428663553947E+000
 1.01061007404991E+000,-4.90249108621947E+000, 4.90249108621949E+000
 1.01745764860345E+000,-4.92050555931496E+000, 4.92050555931495E+000
 1.02344738972525E+000,-4.93610850855854E+000, 4.93610850855854E+000
 1.02943713084705E+000,-4.95156796087122E+000, 4.95156796087122E+000
 1.03473112131617E+000,-4.96511292742684E+000, 4.96511292742685E+000
 1.04002511178529E+000,-4.97854708979385E+000, 4.97854708979384E+000
 1.04531910225442E+000,-4.99187105827038E+000, 4.99187105827040E+000
 1.05004007369087E+000,-5.00366039630647E+000, 5.00366039630646E+000
 1.05476104512732E+000,-5.01536302709216E+000, 5.01536302709217E+000
 1.05948201656377E+000,-5.02697938777619E+000, 5.02697938777618E+000
 1.06420298800022E+000,-5.03850991672001E+000, 5.03850991672001E+000
 1.06892395943667E+000,-5.04995505342648E+000, 5.04995505342648E+000
 1.07364493087312E+000,-5.06131523846919E+000, 5.06131523846916E+000
 1.07836590230957E+000,-5.07259091342280E+000, 5.07259091342282E+000
 1.08308687374602E+000,-5.08378252079478E+000, 5.08378252079479E+000
 1.08780784518247E+000,-5.09489050395744E+000, 5.09489050395742E+000
 1.09252881661892E+000,-5.10591530708143E+000, 5.10591530708142E+000
 1.09724978805537E+000,-5.11685737507017E+000, 5.11685737507019E+000
 1.10197075949182E+000,-5.12771715349520E+000, 5.12771715349519E+000
 1.10669173092827E+000,-5.13849508853220E+000, 5.13849508853222E+000
 1.11141270236472E+000,-5.14919162689867E+000, 5.14919162689867E+000
 1.11613367380117E+000,-5.15980721579179E+000, 5.15980721579178E+000
 1.12085464523762E+000,-5.17034230282785E+000, 5.17034230282786E+000
 1.12557561667407E+000,-5.18079733598235E+000, 5.18079733598238E+000
 1.13029658811052E+000,-5.19117276353114E+000, 5.19117276353114E+000
 1.13501755954697E+000,-5.20146903399237E+000, 5.20146903399236E+000
 1.13973853098342E+000,-5.21168659606959E+000, 5.21168659606960E+000
 1.14445950241987E+000,-5.22182589859584E+000, 5.22182589859581E+000
 1.14918047385632E+000,-5.23188739047819E+000, 5.23188739047818E+000
 1.15390144529277E+000,-5.24187152064394E+000, 5.24187152064394E+000
 1.15862241672922E+000,-5.25177873798719E+000, 5.25177873798719E+000
 1.16334338816567E+000,-5.26160949131648E+000, 5.26160949131650E+000
 1.16806435960212E+000,-5.27136422930357E+000, 5.27136422930355E+000
 1.17278533103857E+000,-5.28104340043262E+000, 5.28104340043262E+000
 1.17750630247502E+000,-5.29064745295097E+000, 5.29064745295098E+000
 1.18222727391147E+000,-5.30017683482021E+000, 5.30017683482021E+000
 1.18694824534792E+000,-5.30963199366844E+000, 5.30963199366843E+000
 1.19166921678437E+000,-5.31901337674336E+000, 5.31901337674335E+000
 1.19639018822082E+000,-5.32832143086625E+000, 5.32832143086623E+000
 1.20111115965727E+000,-5.33755660238673E+000, 5.33755660238676E+000
 1.20583213109372E+000,-5.34671933713873E+000, 5.34671933713873E+000
 1.21055310253017E+000,-5.35581008039662E+000, 5.35581008039662E+000
 1.21527407396662E+000,-5.36482927683301E+000, 5.36482927683301E+000
 1.21999504540307E+000,-5.37377737047682E+000, 5.37377737047683E+000
 1.22471601683952E+000,-5.38265480467249E+000, 5.38265480467249E+000
 1.22943698827597E+000,-5.39146202203983E+000, 5.39146202203981E+000
 1.23415795971242E+000,-5.40019946443476E+000, 5.40019946443475E+000
 1.23887893114887E+000,-5.40886757291103E+000, 5.40886757291102E+000
