s,kg/s,,kg/s,,kg
Time,MF IN TRACER,MASS IN TRACER,MF OUT TRACER,MASS OUT TRACER,MASS VOL TRACER
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1957414E-003, 1.2551090E+002, 2.7558949E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3914828E-003, 1.2551111E+002, 5.5117943E-001, 0.0000000E+000, 0.0000000E+000, 2.7559110E-001
 6.5872241E-003, 1.2551221E+002, 8.2677179E-001, 0.0000000E+000, 0.0000000E+000, 5.5118264E-001
 8.7829655E-003, 1.2551224E+002, 1.1023642E+000,-9.1742565E-005,-2.0144295E-007, 8.2677516E-001
 1.0978707E-002, 1.2551226E+002, 1.3779567E+000,-5.6793930E-004,-1.4484908E-006, 1.1023672E+000
 1.3174448E-002, 1.2551227E+002, 1.6535492E+000,-1.9865787E-003,-5.8105039E-006, 1.3779575E+000
 1.5370190E-002, 1.2551228E+002, 1.9291417E+000,-5.2388650E-003,-1.7313696E-005, 1.6535431E+000
 1.7565931E-002, 1.2551228E+002, 2.2047342E+000,-1.1617338E-002,-4.2822367E-005, 1.9291189E+000
 1.9761672E-002, 1.2551228E+002, 2.4803267E+000,-2.2878427E-002,-9.3057475E-005, 2.2046762E+000
 2.1957414E-002, 1.2551228E+002, 2.7559192E+000,-4.1294221E-002,-1.8372891E-004, 2.4802022E+000
 2.4153155E-002, 1.2551228E+002, 3.0315117E+000,-6.9690785E-002,-3.3675184E-004, 2.7556784E+000
 2.6348897E-002, 1.2551228E+002, 3.3071042E+000,-1.1147117E-001,-5.8151370E-004, 3.0310793E+000
 2.8544638E-002, 1.2551228E+002, 3.5826967E+000,-1.7061976E-001,-9.5615056E-004, 3.3063716E+000
 3.0740379E-002, 1.2551228E+002, 3.8582892E+000,-2.5168217E-001,-1.5087795E-003, 3.5815125E+000
 3.2936121E-002, 1.2551228E+002, 4.1338817E+000,-3.5971276E-001,-2.2986157E-003, 3.8564485E+000
 3.5131862E-002, 1.2551228E+002, 4.4094742E+000,-5.0017771E-001,-3.3968766E-003, 4.1311148E+000
 3.7327603E-002, 1.2551228E+002, 4.6850667E+000,-6.7879471E-001,-4.8873343E-003, 4.4054340E+000
 3.9523345E-002, 1.2551228E+002, 4.9606592E+000,-9.0128227E-001,-6.8663170E-003, 4.6793161E+000
 4.1719086E-002, 1.2551228E+002, 5.2362517E+000,-1.1729982E+000,-9.4419178E-003, 4.9526589E+000
 4.3914828E-002, 1.2551228E+002, 5.5118442E+000,-1.4984763E+000,-1.2732184E-002, 5.2253488E+000
 4.6110569E-002, 1.2551228E+002, 5.7874367E+000,-1.8809181E+000,-1.6862194E-002, 5.4972636E+000
 4.8306310E-002, 1.2551228E+002, 6.0630292E+000,-2.3217329E+000,-2.1960119E-002, 5.7682758E+000
 5.0502052E-002, 1.2551228E+002, 6.3386217E+000,-2.8202247E+000,-2.8152603E-002, 6.0382569E+000
 5.2697793E-002, 1.2551228E+002, 6.6142142E+000,-3.3734843E+000,-3.5559902E-002, 6.3070822E+000
 5.4893534E-002, 1.2551228E+002, 6.8898067E+000,-3.9765256E+000,-4.4291324E-002, 6.5746359E+000
 5.7089276E-002, 1.2551228E+002, 7.1653992E+000,-4.6226308E+000,-5.4441425E-002, 6.8408150E+000
 5.9504591E-002, 1.2551228E+002, 7.4685510E+000,-5.3741118E+000,-6.7421601E-002, 7.1319256E+000
 6.1919907E-002, 1.2551228E+002, 7.7717028E+000,-6.1566235E+000,-8.2291789E-002, 7.4211774E+000
 6.4335222E-002, 1.2551228E+002, 8.0748545E+000,-6.9587781E+000,-9.9099434E-002, 7.7085093E+000
 6.6750538E-002, 1.2551228E+002, 8.3780063E+000,-7.7699743E+000,-1.1786637E-001, 7.9938869E+000
 6.9165853E-002, 1.2551228E+002, 8.6811580E+000,-8.5808959E+000,-1.3859194E-001, 8.2773004E+000
 7.1581169E-002, 1.2551228E+002, 8.9843098E+000,-9.3837565E+000,-1.6125668E-001, 8.5587606E+000
 7.3996484E-002, 1.2551228E+002, 9.2874615E+000,-1.0172355E+001,-1.8582612E-001, 8.8382954E+000
