s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 0.00000000000000E+000, 2.08963955007493E-003, 2.13885546028614E-003,-3.99721129238605E-004, 3.03432062268257E-004, 0.00000000000000E+000, 0.00000000000000E+000
 1.26226248568910E-001, 1.57810513678406E-004, 2.20250719996207E-003,-1.36115959335024E-004, 4.49000589334081E-004, 3.94950321720363E-003, 1.00000000000000E+000
 2.52452497137819E-001, 7.17074299277064E-002, 2.24140132162550E-003, 7.17074299277064E-002, 5.25408491471775E-004, 6.74029591416100E-002, 1.00000000000000E+000
 3.78678745706729E-001, 1.94092967581223E-001, 2.23488330392478E-003, 1.94092967581223E-001, 5.01007736586069E-004, 8.82643872098661E-002, 1.00000000000000E+000
 5.04904994275638E-001, 3.33376674114674E-001, 2.21637546645930E-003, 3.33376674114674E-001, 4.64310650618608E-004, 9.14993230553709E-002, 3.00000000000000E+000
 6.31131242844548E-001, 4.50631637029431E-001, 2.21915425124945E-003, 4.50631637029431E-001, 4.59590594254870E-004, 9.95390857697113E-002, 1.00000000000000E+000
 7.57357491413457E-001, 5.41179869918711E-001, 2.26107146329587E-003, 5.41179869918711E-001, 5.09135893234591E-004, 9.27780914735735E-002, 2.00000000000000E+000
 8.83583739982367E-001, 6.20980061982704E-001, 2.37558294382357E-003, 6.20980061982704E-001, 6.68989535507187E-004, 9.00502307214319E-002, 4.00000000000000E+000
 1.00980998855128E+000, 6.91540774216962E-001, 2.60731719693743E-003, 6.91540774216962E-001, 9.70049300050078E-004, 9.85871425582704E-002, 4.00000000000000E+000
 1.13603623712019E+000, 7.52512764843614E-001, 2.88706927159805E-003, 7.52512764843614E-001, 1.23913386899076E-003, 9.65433546061285E-002, 4.00000000000000E+000
 1.26226248568909E+000, 8.03857235632225E-001, 3.21709717575139E-003, 8.03857235632225E-001, 1.41870679232107E-003, 8.66802027132996E-002, 4.00000000000000E+000
 1.36760479873790E+000, 8.43599789098250E-001, 3.49413749043418E-003, 8.43599789098250E-001, 1.48964796289134E-003, 9.28021676088804E-002, 2.00000000000000E+000
 1.47294711178670E+000, 8.74266179729384E-001, 3.77508758679492E-003, 8.74266179729384E-001, 1.53600764980605E-003, 8.64303772715976E-002, 2.00000000000000E+000
 1.56265399335273E+000, 8.96490699179567E-001, 4.02710931433626E-003, 8.96490699179567E-001, 1.51927593410999E-003, 8.26417808840871E-002, 2.00000000000000E+000
