,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-09-18T14:04:16.982-04:00, 0.126E+00,   0.12623, 0.32548E+00
       2,2026-09-18T14:04:17.024-04:00, 0.126E+00,   0.25245, 0.36100E+00
       3,2026-09-18T14:04:17.063-04:00, 0.126E+00,   0.37868, 0.39150E+00
       4,2026-09-18T14:04:17.111-04:00, 0.126E+00,   0.50490, 0.43221E+00
       5,2026-09-18T14:04:17.150-04:00, 0.126E+00,   0.63113, 0.46582E+00
       6,2026-09-18T14:04:17.290-04:00, 0.126E+00,   0.75736, 0.54483E+00
       7,2026-09-18T14:04:17.338-04:00, 0.126E+00,   0.88358, 0.58345E+00
       8,2026-09-18T14:04:17.401-04:00, 0.126E+00,   1.00981, 0.63401E+00
       9,2026-09-18T14:04:17.456-04:00, 0.126E+00,   1.13604, 0.67984E+00
      10,2026-09-18T14:04:17.504-04:00, 0.126E+00,   1.26226, 0.71854E+00
      20,2026-09-18T14:04:18.182-04:00, 0.785E-01,   2.12341, 0.11434E+01
      30,2026-09-18T14:04:18.539-04:00, 0.785E-01,   2.90848, 0.14706E+01
      40,2026-09-18T14:04:18.914-04:00, 0.785E-01,   3.69356, 0.18001E+01
      50,2026-09-18T14:04:19.444-04:00, 0.647E-01,   4.45108, 0.21718E+01
      60,2026-09-18T14:04:19.888-04:00, 0.647E-01,   5.09842, 0.24946E+01
      70,2026-09-18T14:04:20.347-04:00, 0.628E-01,   5.68851, 0.28192E+01
      80,2026-09-18T14:04:20.816-04:00, 0.528E-01,   6.23648, 0.31444E+01
      90,2026-09-18T14:04:21.173-04:00, 0.614E-01,   6.83171, 0.34646E+01
     100,2026-09-18T14:04:21.533-04:00, 0.614E-01,   7.44570, 0.37856E+01
     200,2026-09-18T14:04:24.751-04:00, 0.468E-01,  13.03777, 0.67560E+01
     300,2026-09-18T14:04:27.511-04:00, 0.479E-01,  17.66474, 0.94178E+01
     400,2026-09-18T14:04:30.227-04:00, 0.355E-01,  21.91773, 0.12074E+02
     500,2026-09-18T14:04:32.896-04:00, 0.404E-01,  25.80356, 0.14680E+02
     600,2026-09-18T14:04:35.589-04:00, 0.677E-01,  30.46866, 0.17288E+02
     700,2026-09-18T14:04:38.379-04:00, 0.704E-01,  36.53211, 0.19981E+02
     800,2026-09-18T14:04:41.355-04:00, 0.624E-01,  43.03326, 0.22822E+02
     900,2026-09-18T14:04:44.266-04:00, 0.489E-01,  49.49288, 0.25580E+02
    1000,2026-09-18T14:04:47.052-04:00, 0.407E-01,  54.27250, 0.28252E+02
    1100,2026-09-18T14:04:49.872-04:00, 0.433E-01,  58.26504, 0.30952E+02
    1150,2026-09-18T14:04:51.258-04:00, 0.108E-01,  60.00000, 0.32274E+02
