s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 0.00000000000000E+000, 2.08963955007493E-003, 2.13885546028614E-003,-3.99721129238605E-004, 3.03432062268257E-004, 0.00000000000000E+000, 0.00000000000000E+000
 1.26226248568910E-001, 1.51490793206726E-005, 2.21566722414083E-003,-1.14871146756328E-005, 4.66424643126148E-004, 9.77159569407856E-004, 3.00000000000000E+000
 2.52452497137819E-001, 1.24877809042892E-001, 1.67417524441434E-002, 1.24877809042892E-001, 1.67417524441434E-002, 3.61729773231786E-003, 1.00000000000000E+003
 3.78678745706729E-001, 2.46366732376160E-001, 9.37218387871605E-002, 2.46366732376160E-001, 9.37218387871605E-002, 4.56720388987000E-003, 1.00000000000000E+003
 5.04904994275638E-001, 3.60852937689839E-001, 2.32604157425220E-001, 3.60852937689839E-001, 2.32604157425220E-001, 3.77423396831411E-003, 1.00000000000000E+003
 6.31131242844548E-001, 4.65630748694986E-001, 4.04822413606652E-001, 4.65630748694986E-001, 4.04822413606652E-001, 1.79165404776283E-003, 1.00000000000000E+003
 7.57357491413457E-001, 5.59052769650121E-001, 5.75624393666898E-001, 5.59052769650121E-001, 5.75624393666898E-001, 9.97973130410723E-004, 9.90000000000000E+001
 8.69486491588450E-001, 6.39862988963978E-001, 7.02353800008427E-001, 6.39862988963978E-001, 7.02353800008427E-001, 1.83361390068060E-003, 1.00000000000000E+003
 9.58372701729840E-001, 7.01468110149778E-001, 7.66256800302453E-001, 7.01468110149778E-001, 7.66256800302453E-001, 1.88278728011371E-003, 1.00000000000000E+003
 1.03517052665784E+000, 7.43841696903475E-001, 7.95731786503476E-001, 7.43841696903475E-001, 7.95731786503476E-001, 1.53837312247174E-003, 1.00000000000000E+003
 1.11196835158584E+000, 7.76189044303072E-001, 8.13671340780723E-001, 7.76189044303072E-001, 8.13671340780723E-001, 1.12451307188699E-003, 1.00000000000000E+003
 1.18876617651384E+000, 8.05109478913614E-001, 8.30565821167975E-001, 8.05109478913614E-001, 8.30565821167975E-001, 9.74601295744702E-004, 1.20000000000000E+001
 1.26556400144185E+000, 8.30425488607770E-001, 8.47035364926085E-001, 8.30425488607770E-001, 8.47035364926085E-001, 9.97713420580304E-004, 8.50000000000000E+001
 1.34236182636985E+000, 8.52808375357146E-001, 8.63196917061953E-001, 8.52808375357146E-001, 8.63196917061953E-001, 9.98942317941176E-004, 6.50000000000000E+001
