,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-09-18T14:05:33.056-04:00, 0.126E+00,   0.12623, 0.28195E+00
       2,2026-09-18T14:05:34.901-04:00, 0.126E+00,   0.25245, 0.18798E+01
       3,2026-09-18T14:05:36.786-04:00, 0.126E+00,   0.37868, 0.35039E+01
       4,2026-09-18T14:05:38.157-04:00, 0.126E+00,   0.50490, 0.47636E+01
       5,2026-09-18T14:05:39.368-04:00, 0.126E+00,   0.63113, 0.59119E+01
       6,2026-09-18T14:05:39.499-04:00, 0.126E+00,   0.75736, 0.60259E+01
       7,2026-09-18T14:05:40.714-04:00, 0.112E+00,   0.86949, 0.72016E+01
       8,2026-09-18T14:05:42.367-04:00, 0.889E-01,   0.95837, 0.88060E+01
       9,2026-09-18T14:05:43.994-04:00, 0.768E-01,   1.03517, 0.10383E+02
      10,2026-09-18T14:05:44.946-04:00, 0.768E-01,   1.11197, 0.11294E+02
      20,2026-09-18T14:05:46.410-04:00, 0.768E-01,   1.87995, 0.12616E+02
      30,2026-09-18T14:05:48.144-04:00, 0.658E-01,   2.60376, 0.14217E+02
      40,2026-09-18T14:05:48.676-04:00, 0.613E-01,   3.28075, 0.14694E+02
      50,2026-09-18T14:05:49.274-04:00, 0.613E-01,   3.89344, 0.15239E+02
      60,2026-09-18T14:05:49.755-04:00, 0.550E-01,   4.46871, 0.15667E+02
      70,2026-09-18T14:05:50.467-04:00, 0.605E-01,   5.04104, 0.16192E+02
      80,2026-09-18T14:05:51.070-04:00, 0.538E-01,   5.60615, 0.16634E+02
      90,2026-09-18T14:05:52.017-04:00, 0.592E-01,   6.18211, 0.17473E+02
     100,2026-09-18T14:05:52.483-04:00, 0.592E-01,   6.77422, 0.17903E+02
     200,2026-09-18T14:05:58.098-04:00, 0.562E-01,  12.64614, 0.22981E+02
     300,2026-09-18T14:06:02.389-04:00, 0.512E-01,  17.83339, 0.27018E+02
     400,2026-09-18T14:06:06.749-04:00, 0.450E-01,  22.78914, 0.31185E+02
     500,2026-09-18T14:06:10.708-04:00, 0.571E-01,  27.87922, 0.35036E+02
     600,2026-09-18T14:06:15.158-04:00, 0.466E-01,  32.60023, 0.39373E+02
     700,2026-09-18T14:06:21.120-04:00, 0.527E-01,  37.77439, 0.45003E+02
     800,2026-09-18T14:06:25.323-04:00, 0.455E-01,  42.80877, 0.49030E+02
     900,2026-09-18T14:06:30.065-04:00, 0.541E-01,  48.00099, 0.53530E+02
    1000,2026-09-18T14:06:34.050-04:00, 0.437E-01,  53.03082, 0.57371E+02
    1100,2026-09-18T14:06:39.115-04:00, 0.513E-01,  58.22544, 0.62155E+02
    1133,2026-09-18T14:06:40.446-04:00, 0.472E-01,  60.00000, 0.63416E+02
