s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 0.00000000000000E+000, 2.08963955007493E-003, 2.13885546028614E-003,-3.99721129238605E-004, 3.03432062268257E-004, 0.00000000000000E+000, 0.00000000000000E+000
 1.26226248568910E-001, 1.58519593804605E-004, 2.20157527221841E-003,-1.35011973196859E-004, 4.47284383376272E-004, 3.82663241756588E-003, 1.00000000000000E+000
 2.52452497137819E-001, 7.15202314492358E-002, 2.28542466899655E-003, 7.15202314492358E-002, 6.16206543413375E-004, 6.76173597772595E-002, 1.00000000000000E+000
 3.78678745706729E-001, 1.93773833924842E-001, 2.35631558925173E-003, 1.93773833924842E-001, 7.36950245507461E-004, 8.87089704566289E-002, 1.00000000000000E+000
 5.04904994275638E-001, 3.33160568654280E-001, 2.40493806725267E-003, 3.33160568654280E-001, 7.78540990643510E-004, 9.22942916420208E-002, 3.00000000000000E+000
 6.31131242844548E-001, 4.45600099504647E-001, 2.48819034682210E-003, 4.45600099504647E-001, 8.76621383037012E-004, 8.75264901029121E-002, 2.00000000000000E+000
 7.57357491413457E-001, 5.41062679109282E-001, 2.61395289949304E-003, 5.41062679109282E-001, 1.04994595409642E-003, 9.99303933513307E-002, 1.00000000000000E+000
 8.83583739982367E-001, 6.21746200629002E-001, 2.81031900405671E-003, 6.21746200629002E-001, 1.31466633623402E-003, 9.28915821593432E-002, 2.00000000000000E+000
 1.00980998855128E+000, 6.92078068475100E-001, 3.10458923393046E-003, 6.92078068475100E-001, 1.67911614132802E-003, 9.87609874398365E-002, 1.00000000000000E+000
 1.13603623712019E+000, 7.51458292124447E-001, 3.52614041633415E-003, 7.51458292124447E-001, 2.10671745406054E-003, 9.17186646687811E-002, 2.00000000000000E+000
 1.26226248568909E+000, 8.00889897609857E-001, 4.07327540707597E-003, 8.00889897609857E-001, 2.65819427692760E-003, 9.29390491333969E-002, 1.00000000000000E+000
 1.36927987882304E+000, 8.38393047366810E-001, 4.65636584156291E-003, 8.38393047366810E-001, 3.14297699065718E-003, 8.75276013048112E-002, 1.00000000000000E+000
 1.47629727195698E+000, 8.69665238106160E-001, 5.39900006887060E-003, 8.69665238106160E-001, 3.63992613458356E-003, 9.80224502278769E-002, 1.00000000000000E+000
 1.56597550692396E+000, 8.91582781892685E-001, 6.05896042177394E-003, 8.91582781892685E-001, 3.95945084991194E-003, 8.85126183064984E-002, 1.00000000000000E+000
