,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-09-18T14:06:41.425-04:00, 0.126E+00,   0.12623, 0.41312E+00
       2,2026-09-18T14:06:41.526-04:00, 0.126E+00,   0.25245, 0.50361E+00
       3,2026-09-18T14:06:41.596-04:00, 0.126E+00,   0.37868, 0.56723E+00
       4,2026-09-18T14:06:41.839-04:00, 0.126E+00,   0.50490, 0.75836E+00
       5,2026-09-18T14:06:42.052-04:00, 0.126E+00,   0.63113, 0.91825E+00
       6,2026-09-18T14:06:42.189-04:00, 0.126E+00,   0.75736, 0.10268E+01
       7,2026-09-18T14:06:42.360-04:00, 0.126E+00,   0.88358, 0.11679E+01
       8,2026-09-18T14:06:42.474-04:00, 0.126E+00,   1.00981, 0.12598E+01
       9,2026-09-18T14:06:42.597-04:00, 0.126E+00,   1.13604, 0.13626E+01
      10,2026-09-18T14:06:42.737-04:00, 0.126E+00,   1.26226, 0.14787E+01
      20,2026-09-18T14:06:43.883-04:00, 0.784E-01,   2.12623, 0.24052E+01
      30,2026-09-18T14:06:44.598-04:00, 0.701E-01,   2.84429, 0.30455E+01
      40,2026-09-18T14:06:45.334-04:00, 0.610E-01,   3.50015, 0.37155E+01
      50,2026-09-18T14:06:46.282-04:00, 0.610E-01,   4.11037, 0.45357E+01
      60,2026-09-18T14:06:47.341-04:00, 0.541E-01,   4.67223, 0.54217E+01
      70,2026-09-18T14:06:48.325-04:00, 0.482E-01,   5.20161, 0.62443E+01
      80,2026-09-18T14:06:49.284-04:00, 0.531E-01,   5.71773, 0.70563E+01
      90,2026-09-18T14:06:50.400-04:00, 0.459E-01,   6.18367, 0.79163E+01
     100,2026-09-18T14:06:50.948-04:00, 0.555E-01,   6.71904, 0.84261E+01
     200,2026-09-18T14:06:56.800-04:00, 0.620E-01,  12.54747, 0.14070E+02
     300,2026-09-18T14:07:02.778-04:00, 0.308E-01,  17.61882, 0.19844E+02
     400,2026-09-18T14:07:08.130-04:00, 0.402E-01,  21.50513, 0.24995E+02
     500,2026-09-18T14:07:13.954-04:00, 0.385E-01,  25.02466, 0.30573E+02
     600,2026-09-18T14:07:20.868-04:00, 0.454E-01,  28.95038, 0.36913E+02
     700,2026-09-18T14:07:27.839-04:00, 0.670E-01,  34.09130, 0.43241E+02
     800,2026-09-18T14:07:34.401-04:00, 0.512E-01,  40.11931, 0.49234E+02
     900,2026-09-18T14:07:39.705-04:00, 0.475E-01,  45.44789, 0.54204E+02
    1000,2026-09-18T14:07:45.958-04:00, 0.514E-01,  50.73521, 0.60234E+02
    1100,2026-09-18T14:07:51.991-04:00, 0.326E-01,  54.97766, 0.66067E+02
    1200,2026-09-18T14:07:57.892-04:00, 0.371E-01,  58.15477, 0.71636E+02
    1251,2026-09-18T14:08:01.538-04:00, 0.154E-01,  60.00000, 0.75016E+02
