s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 0.00000000000000E+000, 2.08963955007493E-003, 2.13885546028614E-003,-3.99721129238605E-004, 3.03432062268257E-004, 0.00000000000000E+000, 0.00000000000000E+000
 1.26226248568910E-001, 7.15573433840433E-020, 1.97753776034694E-003, 4.11996825544491E-020,-5.47522097105180E-017, 8.67361737988404E-019, 1.00000000000000E+000
 2.52452497137819E-001, 1.25560103365296E-001, 1.25560103365300E-001, 1.25560103365296E-001, 1.25560103365300E-001, 2.77555756156289E-017, 1.00000000000000E+000
 3.78678745706729E-001, 2.47222657587515E-001, 2.47222657587513E-001, 2.47222657587515E-001, 2.47222657587513E-001, 5.55111512312578E-017, 1.00000000000000E+000
 5.04904994275638E-001, 3.61559483669828E-001, 3.61559483669821E-001, 3.61559483669828E-001, 3.61559483669821E-001, 1.11022302462516E-016, 1.00000000000000E+000
 6.31131242844548E-001, 4.65965924092016E-001, 4.65965924092041E-001, 4.65965924092016E-001, 4.65965924092041E-001, 1.11022302462516E-016, 1.00000000000000E+000
 7.57357491413457E-001, 5.58830672417510E-001, 5.58830672417561E-001, 5.58830672417510E-001, 5.58830672417561E-001, 1.11022302462516E-016, 1.00000000000000E+000
 8.67239046770133E-001, 6.39517832290728E-001, 6.39517832290761E-001, 6.39517832290728E-001, 6.39517832290761E-001, 1.11022302462516E-016, 1.00000000000000E+000
 9.58782066987880E-001, 6.99968643379364E-001, 6.99968643379380E-001, 6.99968643379364E-001, 6.99968643379380E-001, 1.11022302462516E-016, 1.00000000000000E+000
 1.05032508720563E+000, 7.43733113340294E-001, 7.43733113340323E-001, 7.43733113340294E-001, 7.43733113340323E-001, 1.11022302462516E-016, 1.00000000000000E+000
 1.13105905937905E+000, 7.81932712510505E-001, 7.81932712510500E-001, 7.81932712510505E-001, 7.81932712510500E-001, 1.11022302462516E-016, 1.00000000000000E+000
 1.21179303155248E+000, 8.11381411604195E-001, 8.11381411604182E-001, 8.11381411604195E-001, 8.11381411604182E-001, 1.11022302462516E-016, 1.00000000000000E+000
 1.29252700372590E+000, 8.37216533901835E-001, 8.37216533901811E-001, 8.37216533901835E-001, 8.37216533901811E-001, 1.11022302462516E-016, 1.00000000000000E+000
 1.37326097589933E+000, 8.59786929386017E-001, 8.59786929386012E-001, 8.59786929386017E-001, 8.59786929386012E-001, 1.11022302462516E-016, 1.00000000000000E+000
