,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-09-18T14:08:02.444-04:00, 0.126E+00,   0.12623, 0.40029E+00
       2,2026-09-18T14:08:02.520-04:00, 0.126E+00,   0.25245, 0.47062E+00
       3,2026-09-18T14:08:02.582-04:00, 0.126E+00,   0.37868, 0.52849E+00
       4,2026-09-18T14:08:02.648-04:00, 0.126E+00,   0.50490, 0.58960E+00
       5,2026-09-18T14:08:02.787-04:00, 0.126E+00,   0.63113, 0.68893E+00
       6,2026-09-18T14:08:02.862-04:00, 0.126E+00,   0.75736, 0.75490E+00
       7,2026-09-18T14:08:02.957-04:00, 0.110E+00,   0.86724, 0.84195E+00
       8,2026-09-18T14:08:03.087-04:00, 0.915E-01,   0.95878, 0.95551E+00
       9,2026-09-18T14:08:03.162-04:00, 0.915E-01,   1.05033, 0.10225E+01
      10,2026-09-18T14:08:03.259-04:00, 0.807E-01,   1.13106, 0.11107E+01
      20,2026-09-18T14:08:03.883-04:00, 0.888E-01,   1.97877, 0.16864E+01
      30,2026-09-18T14:08:04.880-04:00, 0.688E-01,   2.72484, 0.24629E+01
      40,2026-09-18T14:08:05.659-04:00, 0.640E-01,   3.42352, 0.31202E+01
      50,2026-09-18T14:08:06.498-04:00, 0.567E-01,   4.05658, 0.38259E+01
      60,2026-09-18T14:08:07.124-04:00, 0.567E-01,   4.62331, 0.43962E+01
      70,2026-09-18T14:08:07.730-04:00, 0.567E-01,   5.19004, 0.49590E+01
      80,2026-09-18T14:08:08.433-04:00, 0.616E-01,   5.73141, 0.55898E+01
      90,2026-09-18T14:08:09.195-04:00, 0.616E-01,   6.34746, 0.62474E+01
     100,2026-09-18T14:08:09.809-04:00, 0.616E-01,   6.96351, 0.68106E+01
     200,2026-09-18T14:08:15.319-04:00, 0.532E-01,  12.52043, 0.11984E+02
     300,2026-09-18T14:08:20.463-04:00, 0.488E-01,  17.56104, 0.16912E+02
     400,2026-09-18T14:08:25.337-04:00, 0.528E-01,  22.36624, 0.21620E+02
     500,2026-09-18T14:08:30.454-04:00, 0.490E-01,  27.36572, 0.26497E+02
     600,2026-09-18T14:08:35.456-04:00, 0.582E-01,  33.05980, 0.31327E+02
     700,2026-09-18T14:08:40.367-04:00, 0.541E-01,  38.46603, 0.36102E+02
     800,2026-09-18T14:08:45.490-04:00, 0.561E-01,  43.66314, 0.40986E+02
     900,2026-09-18T14:08:50.576-04:00, 0.475E-01,  49.01625, 0.45868E+02
    1000,2026-09-18T14:08:55.441-04:00, 0.380E-01,  53.97855, 0.50570E+02
    1100,2026-09-18T14:09:00.289-04:00, 0.512E-01,  58.89916, 0.55270E+02
    1122,2026-09-18T14:09:01.363-04:00, 0.372E-01,  60.00000, 0.56316E+02
