s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 0.00000000000000E+000, 2.08963955007493E-003, 2.13885546028614E-003,-3.99721129238605E-004, 3.03432062268257E-004, 0.00000000000000E+000, 0.00000000000000E+000
 1.26226248568910E-001, 7.15573433840433E-020, 2.08008689887589E-003, 4.11996825544491E-020, 1.96083761920761E-004, 4.78149979943901E-003, 1.00000000000000E+000
 2.52452497137819E-001, 1.25560103365296E-001, 2.06977192669198E-003, 1.25560103365296E-001, 2.32659907468090E-004, 9.78894808143699E-002, 5.00000000000000E+000
 3.78678745706729E-001, 2.47222657587515E-001, 2.05172835706906E-003, 2.47222657587515E-001, 2.86422776677402E-004, 1.39128818119527E-001, 1.00000000000000E+001
 5.04904994275638E-001, 3.61559483669828E-001, 2.12242678016116E-003, 3.61559483669828E-001, 4.23213288751722E-004, 1.48653813561848E-001, 1.00000000000000E+001
 6.31131242844548E-001, 4.65965924092016E-001, 2.67692401966271E-003, 4.65965924092016E-001, 1.40781056197132E-003, 1.43919384068447E-001, 1.00000000000000E+001
 7.57357491413457E-001, 5.58830672417515E-001, 6.09585589684182E-003, 5.58830672417515E-001, 5.77075124846138E-003, 1.36314054285645E-001, 1.00000000000000E+001
 8.83583739982367E-001, 6.39517832290709E-001, 1.87162525156930E-002, 6.39517832290709E-001, 1.87162525156930E-002, 1.29563835892622E-001, 1.00000000000000E+001
 1.00980998855128E+000, 7.08210131539878E-001, 4.76285562893775E-002, 7.08210131539878E-001, 4.76285562893775E-002, 1.26503543325400E-001, 1.00000000000000E+001
 1.10857346963663E+000, 7.65683416456287E-001, 9.79133898350996E-002, 7.65683416456287E-001, 9.79133898350996E-002, 1.17398099457989E-001, 1.00000000000000E+001
 1.19672609950294E+000, 8.03557557503802E-001, 1.74110148682039E-001, 8.03557557503802E-001, 1.74110148682039E-001, 1.07036516163728E-001, 1.00000000000000E+001
 1.28487872936924E+000, 8.32653272528089E-001, 2.55553513920815E-001, 8.32653272528089E-001, 2.55553513920815E-001, 9.74402235310341E-002, 1.00000000000000E+000
 1.37303135923554E+000, 8.57779353695481E-001, 3.38126914073173E-001, 8.57779353695481E-001, 3.38126914073173E-001, 9.34166743335259E-002, 1.00000000000000E+000
 1.46118398910184E+000, 8.79381202849375E-001, 4.21762050051680E-001, 8.79381202849375E-001, 4.21762050051680E-001, 9.07922678231470E-002, 1.00000000000000E+000
