,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-09-18T14:04:51.944-04:00, 0.126E+00,   0.12623, 0.29140E+00
       2,2026-09-18T14:04:52.021-04:00, 0.126E+00,   0.25245, 0.35888E+00
       3,2026-09-18T14:04:52.134-04:00, 0.126E+00,   0.37868, 0.45278E+00
       4,2026-09-18T14:04:52.422-04:00, 0.126E+00,   0.50490, 0.57579E+00
       5,2026-09-18T14:04:52.577-04:00, 0.126E+00,   0.63113, 0.68718E+00
       6,2026-09-18T14:04:52.723-04:00, 0.126E+00,   0.75736, 0.79328E+00
       7,2026-09-18T14:04:52.834-04:00, 0.126E+00,   0.88358, 0.88602E+00
       8,2026-09-18T14:04:52.929-04:00, 0.126E+00,   1.00981, 0.97222E+00
       9,2026-09-18T14:04:53.075-04:00, 0.988E-01,   1.10857, 0.11048E+01
      10,2026-09-18T14:04:53.218-04:00, 0.882E-01,   1.19673, 0.12307E+01
      20,2026-09-18T14:04:53.668-04:00, 0.782E-01,   2.03839, 0.16372E+01
      30,2026-09-18T14:04:54.269-04:00, 0.597E-01,   2.71514, 0.21006E+01
      40,2026-09-18T14:04:54.744-04:00, 0.517E-01,   3.25580, 0.25376E+01
      50,2026-09-18T14:04:55.178-04:00, 0.500E-01,   3.76218, 0.28992E+01
      60,2026-09-18T14:04:55.749-04:00, 0.442E-01,   4.24451, 0.32668E+01
      70,2026-09-18T14:04:56.259-04:00, 0.432E-01,   4.64113, 0.36192E+01
      80,2026-09-18T14:04:56.719-04:00, 0.523E-01,   5.14522, 0.39699E+01
      90,2026-09-18T14:04:57.113-04:00, 0.523E-01,   5.66789, 0.43148E+01
     100,2026-09-18T14:04:57.578-04:00, 0.632E-01,   6.23917, 0.46847E+01
     200,2026-09-18T14:05:01.494-04:00, 0.467E-01,  11.92028, 0.82896E+01
     300,2026-09-18T14:05:04.787-04:00, 0.426E-01,  16.81737, 0.11483E+02
     400,2026-09-18T14:05:08.210-04:00, 0.567E-01,  22.36728, 0.14831E+02
     500,2026-09-18T14:05:11.561-04:00, 0.524E-01,  27.32217, 0.18053E+02
     600,2026-09-18T14:05:14.913-04:00, 0.518E-01,  32.46994, 0.21285E+02
     700,2026-09-18T14:05:18.661-04:00, 0.625E-01,  37.98020, 0.24750E+02
     800,2026-09-18T14:05:22.078-04:00, 0.655E-01,  43.56268, 0.28024E+02
     900,2026-09-18T14:05:25.390-04:00, 0.558E-01,  48.70334, 0.31243E+02
    1000,2026-09-18T14:05:28.808-04:00, 0.568E-01,  54.36934, 0.34543E+02
    1100,2026-09-18T14:05:32.138-04:00, 0.552E-01,  59.56509, 0.37767E+02
    1108,2026-09-18T14:05:32.428-04:00, 0.489E-01,  60.00000, 0.38046E+02
