m,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
x,Wp3,Wp5,Wp9,Up3,Up5,Up9,Wp3_rms,Wp5_rms,Wp9_rms,Up3_rms,Up5_rms,Up9_rms
-4.844E-01, 8.975E-02, 2.274E-01, 4.908E-01, 2.763E-01, 2.276E-01, 2.068E-01, 2.317E-01, 2.611E-01, 5.523E-01, 2.547E-01, 3.682E-01, 5.711E-01
-4.531E-01, 1.620E-01, 3.123E-01, 6.696E-01, 2.856E-01, 2.217E-01, 2.077E-01, 3.276E-01, 3.951E-01, 6.733E-01, 3.017E-01, 4.215E-01, 6.336E-01
-4.219E-01, 2.687E-01, 4.863E-01, 9.338E-01, 2.962E-01, 2.198E-01, 1.754E-01, 2.955E-01, 4.720E-01, 7.996E-01, 3.237E-01, 4.680E-01, 7.106E-01
-3.906E-01, 4.904E-01, 7.246E-01, 1.266E+00, 2.965E-01, 1.939E-01, 1.215E-01, 4.738E-01, 5.566E-01, 9.429E-01, 3.547E-01, 4.958E-01, 7.641E-01
-3.594E-01, 7.711E-01, 1.094E+00, 1.653E+00, 3.000E-01, 1.669E-01, 7.945E-02, 5.852E-01, 7.199E-01, 1.096E+00, 4.105E-01, 5.513E-01, 7.889E-01
-3.281E-01, 1.188E+00, 1.465E+00, 2.157E+00, 3.229E-01, 1.484E-01, 4.036E-02, 6.902E-01, 8.678E-01, 1.244E+00, 4.561E-01, 5.843E-01, 8.070E-01
-2.969E-01, 1.736E+00, 2.008E+00, 2.707E+00, 3.777E-01, 1.358E-01, 1.046E-02, 8.191E-01, 1.047E+00, 1.315E+00, 4.939E-01, 6.079E-01, 8.237E-01
-2.656E-01, 2.148E+00, 2.628E+00, 3.315E+00, 4.418E-01, 1.244E-01,-2.026E-02, 1.018E+00, 1.222E+00, 1.448E+00, 5.181E-01, 6.250E-01, 8.313E-01
-2.344E-01, 2.534E+00, 3.243E+00, 3.987E+00, 5.112E-01, 1.164E-01,-3.087E-02, 1.131E+00, 1.333E+00, 1.537E+00, 5.323E-01, 6.132E-01, 8.242E-01
-2.031E-01, 2.820E+00, 3.719E+00, 4.613E+00, 5.845E-01, 1.551E-01,-2.205E-02, 1.139E+00, 1.463E+00, 1.657E+00, 5.310E-01, 6.130E-01, 8.216E-01
-1.719E-01, 2.987E+00, 4.173E+00, 5.114E+00, 6.063E-01, 2.378E-01,-8.102E-03, 1.005E+00, 1.421E+00, 1.761E+00, 5.416E-01, 6.056E-01, 8.000E-01
-1.406E-01, 3.039E+00, 4.479E+00, 5.584E+00, 5.458E-01, 2.911E-01, 2.411E-02, 8.039E-01, 1.356E+00, 1.721E+00, 5.077E-01, 6.032E-01, 7.687E-01
