s,m/s,,s
Time,error,iter,cputime
 0.000E+00, 0.000E+00, 0.000E+00, 5.447E+00
 2.495E-02, 9.928E-05, 9.400E+01, 6.939E+00
 4.990E-02, 9.943E-05, 2.820E+02, 9.303E+00
 7.484E-02, 9.868E-05, 2.350E+02, 1.124E+01
 9.979E-02, 9.989E-05, 2.170E+02, 1.316E+01
 1.247E-01, 9.870E-05, 1.990E+02, 1.527E+01
 1.497E-01, 9.820E-05, 9.900E+01, 1.725E+01
 1.746E-01, 9.921E-05, 2.720E+02, 2.020E+01
 1.996E-01, 9.974E-05, 3.290E+02, 2.347E+01
 2.245E-01, 9.967E-05, 3.590E+02, 2.659E+01
 2.495E-01, 9.899E-05, 3.240E+02, 2.979E+01
 2.744E-01, 9.932E-05, 3.050E+02, 3.278E+01
 2.994E-01, 9.853E-05, 2.950E+02, 3.557E+01
 3.243E-01, 9.963E-05, 2.230E+02, 3.749E+01
 3.460E-01, 9.821E-05, 2.310E+02, 3.968E+01
 3.678E-01, 9.935E-05, 1.870E+02, 4.171E+01
 3.857E-01, 9.966E-05, 2.590E+02, 4.457E+01
 4.036E-01, 9.872E-05, 2.100E+02, 4.644E+01
 4.177E-01, 9.948E-05, 2.510E+02, 4.890E+01
 4.319E-01, 9.924E-05, 1.800E+02, 5.033E+01
 4.443E-01, 9.919E-05, 2.070E+02, 5.217E+01
 4.568E-01, 9.736E-05, 1.050E+02, 5.357E+01
 4.678E-01, 9.966E-05, 1.450E+02, 5.529E+01
 4.788E-01, 9.910E-05, 2.070E+02, 5.715E+01
 4.898E-01, 9.990E-05, 1.530E+02, 5.883E+01
 5.008E-01, 9.634E-05, 7.200E+01, 5.999E+01
 5.228E-01, 9.903E-05, 1.160E+02, 6.181E+01
 5.448E-01, 9.922E-05, 1.295E+02, 6.470E+01
 5.669E-01, 9.963E-05, 1.295E+02, 6.783E+01
 5.889E-01, 9.892E-05, 1.610E+02, 7.122E+01
 6.081E-01, 9.933E-05, 8.100E+01, 7.427E+01
 6.261E-01, 9.892E-05, 1.292E+02, 7.733E+01
 6.429E-01, 9.872E-05, 1.325E+02, 8.066E+01
 6.661E-01, 9.799E-05, 9.453E+01, 8.434E+01
 6.809E-01, 9.892E-05, 1.600E+02, 8.821E+01
 7.014E-01, 9.877E-05, 1.032E+02, 9.149E+01
 7.211E-01, 9.765E-05, 9.333E+01, 9.545E+01
 7.408E-01, 9.980E-05, 1.340E+02, 9.940E+01
 7.605E-01, 9.888E-05, 1.067E+02, 1.033E+02
 7.841E-01, 9.857E-05, 9.164E+01, 1.075E+02
 8.011E-01, 9.856E-05, 1.023E+02, 1.118E+02
 8.220E-01, 9.918E-05, 1.219E+02, 1.164E+02
 8.423E-01, 9.818E-05, 9.150E+01, 1.210E+02
 8.608E-01, 9.900E-05, 1.270E+02, 1.262E+02
 8.830E-01, 9.792E-05, 8.580E+01, 1.312E+02
 9.029E-01, 9.849E-05, 1.038E+02, 1.369E+02
 9.227E-01, 9.863E-05, 9.600E+01, 1.428E+02
 9.425E-01, 9.901E-05, 1.262E+02, 1.485E+02
 9.606E-01, 9.900E-05, 1.152E+02, 1.550E+02
 9.809E-01, 9.925E-05, 9.367E+01, 1.616E+02
 1.001E+00, 9.890E-05, 9.983E+01, 1.678E+02
 1.022E+00, 9.830E-05, 1.147E+02, 1.748E+02
 1.043E+00, 9.926E-05, 1.092E+02, 1.823E+02
 1.060E+00, 9.921E-05, 9.333E+01, 1.891E+02
 1.081E+00, 9.912E-05, 1.247E+02, 1.967E+02
 1.102E+00, 9.960E-05, 1.203E+02, 2.051E+02
 1.121E+00, 9.927E-05, 1.420E+02, 2.137E+02
 1.142E+00, 9.839E-05, 9.937E+01, 2.228E+02
 1.161E+00, 9.887E-05, 1.136E+02, 2.313E+02
 1.182E+00, 9.839E-05, 1.301E+02, 2.405E+02
 1.200E+00, 9.938E-05, 1.288E+02, 2.515E+02
 1.221E+00, 9.855E-05, 9.078E+01, 2.605E+02
 1.242E+00, 9.878E-05, 1.240E+02, 2.712E+02
 1.261E+00, 9.883E-05, 1.189E+02, 2.821E+02
 1.281E+00, 9.906E-05, 1.203E+02, 2.936E+02
 1.301E+00, 9.805E-05, 9.427E+01, 3.053E+02
 1.320E+00, 9.884E-05, 1.030E+02, 3.165E+02
 1.340E+00, 9.893E-05, 1.178E+02, 3.277E+02
 1.361E+00, 9.900E-05, 1.312E+02, 3.399E+02
 1.381E+00, 9.865E-05, 1.079E+02, 3.525E+02
 1.401E+00, 9.892E-05, 1.322E+02, 3.647E+02
 1.421E+00, 9.863E-05, 1.143E+02, 3.775E+02
 1.442E+00, 9.910E-05, 1.226E+02, 3.899E+02
 1.462E+00, 9.905E-05, 1.431E+02, 4.027E+02
 1.481E+00, 9.917E-05, 1.151E+02, 4.170E+02
 1.501E+00, 9.845E-05, 9.855E+01, 4.300E+02
 1.521E+00, 9.931E-05, 9.818E+01, 4.427E+02
 1.540E+00, 9.879E-05, 1.220E+02, 4.564E+02
 1.561E+00, 9.915E-05, 1.368E+02, 4.723E+02
 1.581E+00, 9.886E-05, 1.483E+02, 4.891E+02
 1.602E+00, 9.921E-05, 1.335E+02, 5.055E+02
