m,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
x,Wp3,Wp5,Wp9,Up3,Up5,Up9,Wp3_rms,Wp5_rms,Wp9_rms,Up3_rms,Up5_rms,Up9_rms
-4.844E-01, 6.987E-02, 2.455E-01, 5.295E-01, 2.838E-01, 2.325E-01, 2.274E-01, 2.146E-01, 2.722E-01, 4.783E-01, 2.410E-01, 3.397E-01, 4.574E-01
-4.531E-01, 1.698E-01, 3.502E-01, 7.388E-01, 2.766E-01, 2.109E-01, 2.200E-01, 2.621E-01, 3.184E-01, 6.332E-01, 3.081E-01, 4.118E-01, 5.234E-01
-4.219E-01, 2.932E-01, 6.077E-01, 9.411E-01, 2.745E-01, 1.937E-01, 2.010E-01, 3.773E-01, 4.423E-01, 7.988E-01, 3.637E-01, 4.756E-01, 5.769E-01
-3.906E-01, 4.879E-01, 8.661E-01, 1.250E+00, 2.808E-01, 1.671E-01, 1.675E-01, 4.820E-01, 5.954E-01, 9.338E-01, 4.077E-01, 5.225E-01, 6.223E-01
-3.594E-01, 8.404E-01, 1.113E+00, 1.644E+00, 3.052E-01, 1.574E-01, 1.297E-01, 5.703E-01, 7.586E-01, 1.087E+00, 4.432E-01, 5.583E-01, 6.812E-01
-3.281E-01, 1.129E+00, 1.506E+00, 2.081E+00, 3.478E-01, 1.451E-01, 8.759E-02, 7.426E-01, 8.496E-01, 1.255E+00, 4.549E-01, 5.847E-01, 7.322E-01
-2.969E-01, 1.595E+00, 1.987E+00, 2.691E+00, 4.153E-01, 1.274E-01, 2.426E-02, 8.955E-01, 1.009E+00, 1.397E+00, 4.720E-01, 5.918E-01, 7.662E-01
-2.656E-01, 2.148E+00, 2.604E+00, 3.370E+00, 4.711E-01, 1.231E-01,-2.517E-02, 9.735E-01, 1.146E+00, 1.498E+00, 4.878E-01, 6.023E-01, 7.897E-01
-2.344E-01, 2.649E+00, 3.250E+00, 4.025E+00, 5.346E-01, 1.528E-01,-4.240E-02, 1.105E+00, 1.392E+00, 1.635E+00, 4.942E-01, 5.963E-01, 8.035E-01
-2.031E-01, 2.980E+00, 3.810E+00, 4.701E+00, 5.883E-01, 2.074E-01,-4.806E-02, 1.085E+00, 1.565E+00, 1.804E+00, 4.856E-01, 5.720E-01, 7.969E-01
-1.719E-01, 3.144E+00, 4.320E+00, 5.402E+00, 5.886E-01, 2.575E-01,-3.917E-02, 8.987E-01, 1.434E+00, 1.916E+00, 4.706E-01, 5.496E-01, 7.782E-01
-1.406E-01, 3.086E+00, 4.529E+00, 5.812E+00, 5.242E-01, 2.813E-01,-1.382E-02, 7.133E-01, 1.290E+00, 1.846E+00, 4.439E-01, 5.307E-01, 7.779E-01
-1.094E-01, 2.905E+00, 4.527E+00, 6.030E+00, 4.062E-01, 2.465E-01, 1.246E-02, 5.942E-01, 1.100E+00, 1.798E+00, 4.059E-01, 5.055E-01, 7.668E-01
-7.812E-02, 2.691E+00, 4.305E+00, 6.097E+00, 2.893E-01, 1.804E-01, 2.389E-02, 5.307E-01, 9.713E-01, 1.673E+00, 3.833E-01, 4.665E-01, 7.540E-01
-4.688E-02, 2.536E+00, 4.073E+00, 6.090E+00, 1.659E-01, 1.016E-01, 6.906E-03, 4.734E-01, 8.456E-01, 1.536E+00, 3.668E-01, 4.623E-01, 7.390E-01
-1.562E-02, 2.441E+00, 3.934E+00, 6.082E+00, 8.588E-03,-4.015E-03,-3.254E-02, 4.720E-01, 8.318E-01, 1.508E+00, 3.525E-01, 4.482E-01, 7.259E-01
 1.562E-02, 2.450E+00, 3.956E+00, 6.115E+00,-1.730E-01,-1.465E-01,-6.654E-02, 4.835E-01, 8.628E-01, 1.546E+00, 3.525E-01, 4.392E-01, 7.391E-01
