s,m/s,,s
Time,error,iter,cputime
 0.000E+00, 0.000E+00, 0.000E+00, 6.311E+00
 2.495E-02, 6.920E-19, 1.000E+00, 7.937E+00
 4.990E-02, 1.214E-17, 1.000E+00, 8.968E+00
 7.484E-02, 1.214E-17, 1.000E+00, 1.022E+01
 9.979E-02, 1.214E-17, 1.000E+00, 1.132E+01
 1.247E-01, 4.432E-17, 1.000E+00, 1.240E+01
 1.497E-01, 4.432E-17, 1.000E+00, 1.367E+01
 1.746E-01, 8.858E-17, 1.000E+00, 1.472E+01
 1.996E-01, 8.869E-17, 1.000E+00, 1.576E+01
 2.245E-01, 3.548E-16, 1.000E+00, 1.698E+01
 2.495E-01, 3.548E-16, 1.000E+00, 1.800E+01
 2.744E-01, 3.545E-16, 1.000E+00, 1.902E+01
 2.994E-01, 2.233E-17, 1.000E+00, 2.024E+01
 3.243E-01, 4.434E-17, 1.000E+00, 2.125E+01
 3.460E-01, 3.860E-17, 1.000E+00, 2.264E+01
 3.677E-01, 9.649E-18, 1.000E+00, 2.385E+01
 3.856E-01, 3.296E-17, 1.000E+00, 2.527E+01
 4.035E-01, 6.592E-17, 1.000E+00, 2.627E+01
 4.177E-01, 4.857E-17, 1.000E+00, 2.792E+01
 4.318E-01, 2.602E-17, 1.000E+00, 2.909E+01
 4.442E-01, 4.510E-17, 1.000E+00, 3.073E+01
 4.567E-01, 4.510E-17, 1.000E+00, 3.210E+01
 4.677E-01, 3.990E-17, 1.000E+00, 3.364E+01
 4.787E-01, 4.163E-17, 1.000E+00, 3.476E+01
 4.897E-01, 3.990E-17, 1.000E+00, 3.606E+01
 5.007E-01, 2.082E-17, 1.000E+00, 3.723E+01
 5.227E-01, 3.003E-17, 1.000E+00, 3.900E+01
 5.447E-01, 4.163E-17, 1.000E+00, 4.129E+01
 5.668E-01, 3.990E-17, 1.000E+00, 4.380E+01
 5.888E-01, 4.163E-17, 1.000E+00, 4.626E+01
 6.080E-01, 5.551E-17, 1.000E+00, 4.903E+01
 6.260E-01, 6.430E-17, 1.000E+00, 5.157E+01
 6.428E-01, 9.714E-17, 1.000E+00, 5.399E+01
 6.661E-01, 9.135E-17, 1.000E+00, 5.698E+01
 6.809E-01, 1.076E-16, 1.000E+00, 6.002E+01
 7.015E-01, 5.551E-17, 1.000E+00, 6.308E+01
 7.211E-01, 5.551E-17, 1.000E+00, 6.649E+01
 7.407E-01, 6.708E-17, 1.000E+00, 6.991E+01
 7.604E-01, 5.551E-17, 1.000E+00, 7.323E+01
 7.840E-01, 5.551E-17, 1.000E+00, 7.732E+01
 8.010E-01, 9.252E-17, 1.000E+00, 8.133E+01
 8.220E-01, 9.299E-17, 1.000E+00, 8.564E+01
 8.423E-01, 1.110E-16, 1.000E+00, 9.027E+01
 8.607E-01, 1.110E-16, 1.000E+00, 9.493E+01
 8.829E-01, 1.110E-16, 1.000E+00, 1.000E+02
 9.028E-01, 9.992E-17, 1.000E+00, 1.061E+02
 9.227E-01, 9.992E-17, 1.000E+00, 1.117E+02
 9.426E-01, 1.332E-16, 1.000E+00, 1.172E+02
 9.607E-01, 1.110E-16, 1.000E+00, 1.228E+02
 9.809E-01, 1.480E-16, 1.000E+00, 1.292E+02
 1.001E+00, 1.665E-16, 1.000E+00, 1.361E+02
 1.021E+00, 1.480E-16, 1.000E+00, 1.426E+02
 1.043E+00, 1.287E-16, 1.000E+00, 1.500E+02
 1.060E+00, 2.035E-16, 1.000E+00, 1.573E+02
 1.081E+00, 2.062E-16, 1.000E+00, 1.647E+02
 1.102E+00, 1.903E-16, 1.000E+00, 1.726E+02
 1.121E+00, 2.220E-16, 1.000E+00, 1.804E+02
 1.140E+00, 2.220E-16, 1.000E+00, 1.883E+02
 1.161E+00, 2.082E-16, 1.000E+00, 1.963E+02
 1.181E+00, 2.220E-16, 1.000E+00, 2.052E+02
 1.201E+00, 2.483E-16, 1.000E+00, 2.147E+02
 1.222E+00, 2.220E-16, 1.000E+00, 2.250E+02
 1.241E+00, 3.454E-16, 1.000E+00, 2.350E+02
 1.260E+00, 3.947E-16, 1.000E+00, 2.447E+02
 1.282E+00, 5.770E-16, 1.000E+00, 2.560E+02
 1.301E+00, 4.219E-16, 1.000E+00, 2.681E+02
 1.322E+00, 5.670E-16, 1.000E+00, 2.797E+02
 1.340E+00, 4.441E-16, 1.000E+00, 2.904E+02
 1.361E+00, 5.329E-16, 1.000E+00, 3.007E+02
 1.382E+00, 5.773E-16, 1.000E+00, 3.117E+02
 1.400E+00, 4.934E-16, 1.000E+00, 3.227E+02
 1.421E+00, 6.661E-16, 1.000E+00, 3.333E+02
 1.442E+00, 7.105E-16, 1.000E+00, 3.444E+02
 1.462E+00, 7.574E-16, 1.000E+00, 3.555E+02
 1.480E+00, 8.882E-16, 1.000E+00, 3.670E+02
 1.501E+00, 8.074E-16, 1.000E+00, 3.786E+02
