m,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
x,Wp3,Wp5,Wp9,Up3,Up5,Up9,Wp3_rms,Wp5_rms,Wp9_rms,Up3_rms,Up5_rms,Up9_rms
-4.844E-01, 5.688E-02, 1.318E-01, 3.463E-01, 2.976E-01, 2.436E-01, 2.330E-01, 2.004E-01, 2.649E-01, 3.489E-01, 2.171E-01, 2.947E-01, 3.732E-01
-4.531E-01, 8.878E-02, 1.880E-01, 4.813E-01, 2.992E-01, 2.339E-01, 2.188E-01, 2.270E-01, 3.030E-01, 4.228E-01, 2.588E-01, 3.528E-01, 4.222E-01
-4.219E-01, 2.282E-01, 3.177E-01, 6.797E-01, 2.999E-01, 2.282E-01, 1.881E-01, 3.251E-01, 4.110E-01, 6.013E-01, 3.112E-01, 4.158E-01, 4.935E-01
-3.906E-01, 4.783E-01, 5.843E-01, 1.039E+00, 3.256E-01, 2.060E-01, 1.234E-01, 4.466E-01, 5.675E-01, 7.401E-01, 3.599E-01, 4.958E-01, 5.758E-01
-3.594E-01, 7.097E-01, 9.959E-01, 1.478E+00, 3.428E-01, 1.838E-01, 6.608E-02, 6.047E-01, 6.981E-01, 9.416E-01, 4.020E-01, 5.640E-01, 6.682E-01
-3.281E-01, 9.888E-01, 1.306E+00, 1.871E+00, 3.692E-01, 1.717E-01, 4.291E-02, 6.785E-01, 8.682E-01, 1.129E+00, 4.452E-01, 6.003E-01, 7.399E-01
-2.969E-01, 1.476E+00, 1.751E+00, 2.449E+00, 4.280E-01, 1.600E-01, 1.020E-02, 8.520E-01, 1.044E+00, 1.277E+00, 4.822E-01, 6.025E-01, 7.492E-01
-2.656E-01, 2.025E+00, 2.376E+00, 3.156E+00, 4.897E-01, 1.652E-01,-1.395E-02, 1.067E+00, 1.295E+00, 1.423E+00, 5.010E-01, 6.064E-01, 7.543E-01
-2.344E-01, 2.546E+00, 3.095E+00, 3.933E+00, 5.578E-01, 1.678E-01,-3.704E-02, 1.157E+00, 1.475E+00, 1.615E+00, 5.011E-01, 5.871E-01, 7.811E-01
