s,m/s,,s
Time,error,iter,cputime
 0.000E+00, 0.000E+00, 0.000E+00, 6.643E+01
 2.495E-02, 6.929E-19, 1.000E+00, 7.002E+01
 4.990E-02, 1.214E-17, 1.000E+00, 7.257E+01
 7.484E-02, 1.214E-17, 1.000E+00, 7.526E+01
 9.979E-02, 2.216E-17, 1.000E+00, 7.779E+01
 1.247E-01, 4.432E-17, 1.000E+00, 8.036E+01
 1.497E-01, 4.432E-17, 1.000E+00, 8.307E+01
 1.746E-01, 4.432E-17, 1.000E+00, 8.577E+01
 1.996E-01, 8.869E-17, 1.000E+00, 8.837E+01
 2.245E-01, 3.543E-16, 1.000E+00, 9.106E+01
 2.495E-01, 1.774E-16, 1.000E+00, 9.357E+01
 2.744E-01, 3.545E-16, 1.000E+00, 9.609E+01
 2.994E-01, 2.233E-17, 1.000E+00, 9.876E+01
 3.243E-01, 4.424E-17, 1.000E+00, 1.013E+02
 3.460E-01, 3.903E-17, 1.000E+00, 1.050E+02
 3.677E-01, 1.952E-17, 1.000E+00, 1.079E+02
 3.856E-01, 3.296E-17, 1.000E+00, 1.116E+02
 4.035E-01, 6.592E-17, 1.000E+00, 1.141E+02
 4.177E-01, 5.031E-17, 1.000E+00, 1.179E+02
 4.318E-01, 2.515E-17, 1.000E+00, 1.204E+02
 4.442E-01, 4.510E-17, 1.000E+00, 1.241E+02
 4.567E-01, 4.510E-17, 1.000E+00, 1.267E+02
 4.677E-01, 3.990E-17, 1.000E+00, 1.305E+02
 4.787E-01, 4.163E-17, 1.000E+00, 1.332E+02
 4.897E-01, 3.990E-17, 1.000E+00, 1.360E+02
 5.007E-01, 2.082E-17, 1.000E+00, 1.385E+02
 5.227E-01, 3.123E-17, 1.000E+00, 1.423E+02
 5.447E-01, 4.163E-17, 1.000E+00, 1.473E+02
 5.668E-01, 4.163E-17, 1.000E+00, 1.524E+02
 5.888E-01, 4.163E-17, 1.000E+00, 1.575E+02
 6.080E-01, 6.765E-17, 1.000E+00, 1.640E+02
 6.260E-01, 6.615E-17, 1.000E+00, 1.698E+02
 6.428E-01, 9.454E-17, 1.000E+00, 1.756E+02
 6.661E-01, 9.578E-17, 1.000E+00, 1.826E+02
