m,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
x,Wp3,Wp5,Wp9,Up3,Up5,Up9,Wp3_rms,Wp5_rms,Wp9_rms,Up3_rms,Up5_rms,Up9_rms
-4.844E-01, 4.232E-02, 1.701E-01, 4.251E-01, 2.952E-01, 2.381E-01, 2.110E-01, 1.714E-01, 2.458E-01, 4.953E-01, 2.022E-01, 2.805E-01, 4.056E-01
-4.531E-01, 7.006E-02, 2.468E-01, 4.771E-01, 3.085E-01, 2.315E-01, 2.126E-01, 2.098E-01, 3.531E-01, 5.955E-01, 2.412E-01, 3.218E-01, 4.668E-01
-4.219E-01, 2.557E-01, 3.397E-01, 6.173E-01, 3.042E-01, 2.269E-01, 2.005E-01, 3.622E-01, 5.002E-01, 6.552E-01, 3.082E-01, 3.592E-01, 5.205E-01
-3.906E-01, 4.133E-01, 6.027E-01, 8.375E-01, 3.105E-01, 2.164E-01, 2.051E-01, 4.739E-01, 6.306E-01, 6.995E-01, 3.789E-01, 4.054E-01, 5.834E-01
-3.594E-01, 6.698E-01, 9.079E-01, 1.124E+00, 3.369E-01, 1.953E-01, 1.796E-01, 6.232E-01, 7.920E-01, 7.730E-01, 4.304E-01, 4.701E-01, 6.483E-01
-3.281E-01, 9.761E-01, 1.159E+00, 1.687E+00, 3.838E-01, 1.844E-01, 9.371E-02, 7.321E-01, 8.226E-01, 9.643E-01, 4.403E-01, 5.241E-01, 7.099E-01
-2.969E-01, 1.393E+00, 1.552E+00, 2.333E+00, 4.416E-01, 1.879E-01, 2.244E-02, 9.127E-01, 1.016E+00, 1.264E+00, 4.494E-01, 5.506E-01, 7.699E-01
-2.656E-01, 1.704E+00, 2.172E+00, 3.102E+00, 4.994E-01, 1.928E-01,-5.260E-02, 1.082E+00, 1.203E+00, 1.472E+00, 4.725E-01, 5.527E-01, 8.083E-01
-2.344E-01, 2.280E+00, 2.885E+00, 3.902E+00, 5.859E-01, 1.935E-01,-1.135E-01, 1.160E+00, 1.394E+00, 1.725E+00, 4.840E-01, 5.814E-01, 8.211E-01
-2.031E-01, 2.797E+00, 3.555E+00, 4.708E+00, 6.495E-01, 1.890E-01,-1.338E-01, 1.132E+00, 1.575E+00, 1.783E+00, 4.996E-01, 5.995E-01, 8.367E-01
-1.719E-01, 3.112E+00, 4.218E+00, 5.473E+00, 6.414E-01, 2.030E-01,-1.303E-01, 1.060E+00, 1.581E+00, 1.905E+00, 4.811E-01, 5.809E-01, 8.164E-01
-1.406E-01, 3.157E+00, 4.605E+00, 5.940E+00, 5.513E-01, 2.290E-01,-1.089E-01, 8.491E-01, 1.469E+00, 2.006E+00, 4.578E-01, 5.547E-01, 7.722E-01
