s,m/s,,s
Time,error,iter,cputime
 0.000E+00, 0.000E+00, 0.000E+00, 7.249E+00
 2.495E-02, 6.451E-03, 1.000E+00, 8.432E+00
 4.990E-02, 5.658E-02, 1.000E+01, 9.574E+00
 7.484E-02, 7.475E-02, 1.000E+01, 1.149E+01
 9.979E-02, 6.756E-02, 1.000E+01, 1.323E+01
 1.247E-01, 4.897E-02, 1.000E+01, 1.498E+01
 1.497E-01, 1.892E-02, 1.000E+01, 1.637E+01
 1.719E-01, 2.806E-02, 1.000E+01, 1.889E+01
 1.941E-01, 1.331E-01, 1.000E+01, 2.069E+01
 2.163E-01, 2.249E-01, 1.000E+01, 2.256E+01
 2.407E-01, 2.348E-01, 1.000E+01, 2.436E+01
 2.657E-01, 5.229E-02, 1.000E+01, 2.609E+01
 2.906E-01, 1.062E-01, 1.000E+01, 2.826E+01
 3.156E-01, 1.755E-01, 1.000E+01, 3.050E+01
 3.364E-01, 1.486E-01, 1.000E+01, 3.359E+01
 3.572E-01, 8.553E-02, 1.000E+01, 3.575E+01
 3.781E-01, 3.118E-02, 1.000E+01, 3.783E+01
 3.955E-01, 5.652E-02, 1.000E+01, 4.076E+01
 4.129E-01, 5.133E-02, 1.000E+01, 4.291E+01
 4.262E-01, 1.010E-02, 6.000E+00, 4.583E+01
 4.395E-01, 2.501E-02, 1.000E+01, 4.755E+01
 4.529E-01, 3.138E-02, 1.000E+01, 4.971E+01
 4.642E-01, 2.392E-02, 1.000E+01, 5.219E+01
 4.756E-01, 1.305E-02, 8.000E+00, 5.335E+01
 4.869E-01, 1.448E-02, 4.000E+00, 5.441E+01
 5.085E-01, 1.506E-02, 8.108E+00, 5.736E+01
 5.289E-01, 1.498E-02, 6.500E+00, 6.073E+01
 5.493E-01, 1.300E-02, 6.000E+00, 6.303E+01
 5.696E-01, 1.328E-02, 6.500E+00, 6.539E+01
 5.900E-01, 1.238E-02, 6.000E+00, 6.816E+01
 6.002E-01, 1.368E-02, 6.000E+00, 7.011E+01
 6.277E-01, 1.473E-02, 5.429E+00, 7.259E+01
 6.449E-01, 1.365E-02, 6.000E+00, 7.556E+01
 6.611E-01, 1.357E-02, 5.534E+00, 7.800E+01
 6.836E-01, 1.365E-02, 5.000E+00, 8.098E+01
 7.043E-01, 1.356E-02, 5.682E+00, 8.532E+01
 7.241E-01, 1.411E-02, 7.667E+00, 8.995E+01
 7.439E-01, 1.122E-02, 6.000E+00, 9.359E+01
 7.637E-01, 1.401E-02, 4.667E+00, 9.693E+01
 7.814E-01, 1.280E-02, 4.741E+00, 1.003E+02
 8.038E-01, 1.344E-02, 4.750E+00, 1.042E+02
 8.200E-01, 1.491E-02, 5.000E+00, 1.085E+02
 8.401E-01, 1.330E-02, 5.250E+00, 1.126E+02
 8.635E-01, 1.161E-02, 5.764E+00, 1.179E+02
 8.815E-01, 1.206E-02, 5.000E+00, 1.229E+02
 9.039E-01, 1.357E-02, 4.800E+00, 1.279E+02
 9.207E-01, 1.245E-02, 6.233E+00, 1.334E+02
 9.403E-01, 1.332E-02, 4.600E+00, 1.386E+02
 9.638E-01, 1.236E-02, 5.167E+00, 1.445E+02
 9.817E-01, 1.277E-02, 4.414E+00, 1.506E+02
