m,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
x,Wp3,Wp5,Wp9,Up3,Up5,Up9,Wp3_rms,Wp5_rms,Wp9_rms,Up3_rms,Up5_rms,Up9_rms
-4.844E-01, 5.929E-02, 2.404E-01, 5.359E-01, 3.132E-01, 2.500E-01, 2.216E-01, 2.004E-01, 3.687E-01, 5.515E-01, 2.022E-01, 3.500E-01, 5.465E-01
-4.531E-01, 1.625E-01, 3.224E-01, 7.260E-01, 3.162E-01, 2.512E-01, 2.016E-01, 3.271E-01, 4.351E-01, 6.038E-01, 2.611E-01, 4.115E-01, 5.750E-01
-4.219E-01, 2.353E-01, 4.747E-01, 9.642E-01, 3.278E-01, 2.496E-01, 1.582E-01, 3.948E-01, 5.243E-01, 7.314E-01, 3.115E-01, 4.688E-01, 6.342E-01
-3.906E-01, 4.756E-01, 6.566E-01, 1.340E+00, 3.480E-01, 2.375E-01, 1.072E-01, 4.943E-01, 5.803E-01, 8.878E-01, 3.461E-01, 5.209E-01, 7.149E-01
-3.594E-01, 7.265E-01, 1.007E+00, 1.734E+00, 3.717E-01, 1.993E-01, 5.444E-02, 6.762E-01, 6.863E-01, 1.065E+00, 3.895E-01, 5.770E-01, 7.811E-01
-3.281E-01, 1.108E+00, 1.394E+00, 2.255E+00, 4.375E-01, 1.596E-01, 4.854E-03, 7.822E-01, 8.225E-01, 1.237E+00, 4.120E-01, 6.250E-01, 8.241E-01
-2.969E-01, 1.528E+00, 1.909E+00, 2.765E+00, 4.852E-01, 1.458E-01,-3.478E-02, 9.406E-01, 1.048E+00, 1.421E+00, 4.518E-01, 6.345E-01, 8.461E-01
-2.656E-01, 1.969E+00, 2.498E+00, 3.234E+00, 5.277E-01, 1.370E-01,-5.343E-02, 1.127E+00, 1.248E+00, 1.486E+00, 4.811E-01, 6.266E-01, 8.588E-01
-2.344E-01, 2.449E+00, 3.031E+00, 3.709E+00, 6.011E-01, 1.510E-01,-4.315E-02, 1.139E+00, 1.397E+00, 1.644E+00, 4.763E-01, 6.266E-01, 8.583E-01
-2.031E-01, 2.843E+00, 3.638E+00, 4.315E+00, 6.418E-01, 2.001E-01,-1.868E-02, 1.114E+00, 1.456E+00, 1.711E+00, 4.752E-01, 6.227E-01, 8.492E-01
-1.719E-01, 3.052E+00, 4.233E+00, 5.123E+00, 6.180E-01, 2.594E-01, 3.262E-03, 9.562E-01, 1.442E+00, 1.758E+00, 4.718E-01, 6.203E-01, 8.386E-01
-1.406E-01, 3.037E+00, 4.496E+00, 5.818E+00, 5.252E-01, 2.787E-01, 3.489E-02, 7.455E-01, 1.339E+00, 1.800E+00, 4.755E-01, 5.906E-01, 8.279E-01
-1.094E-01, 2.944E+00, 4.559E+00, 6.172E+00, 4.075E-01, 2.634E-01, 8.174E-02, 5.984E-01, 1.207E+00, 1.832E+00, 4.551E-01, 5.507E-01, 8.078E-01
-7.812E-02, 2.759E+00, 4.423E+00, 6.289E+00, 2.928E-01, 2.257E-01, 9.431E-02, 5.156E-01, 1.038E+00, 1.726E+00, 4.334E-01, 5.010E-01, 7.513E-01
