s,m/s,,s
Time,error,iter,cputime
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9790842E+000
 1.5973058E-001, 9.9584678E-004, 1.7000000E+001, 4.5165689E+000
 2.7420284E-001, 8.4292866E-004, 1.1000000E+001, 4.8159420E+000
 3.3722820E-001, 8.9622396E-004, 4.0000000E+000, 5.1385128E+000
 3.9046925E-001, 6.9853920E-004, 4.0000000E+000, 5.3849108E+000
 4.3719711E-001, 7.8027881E-004, 5.0000000E+000, 5.6442549E+000
 4.7914738E-001, 9.2708987E-004, 5.0000000E+000, 5.9649770E+000
 5.2109764E-001, 8.3934854E-004, 7.0000000E+000, 6.1719458E+000
 5.6304791E-001, 7.8286542E-004, 6.0000000E+000, 6.3759219E+000
 5.9908275E-001, 8.4760080E-004, 5.0000000E+000, 6.7010128E+000
 6.3511760E-001, 4.5240508E-004, 5.0000000E+000, 6.9032452E+000
 6.6566041E-001, 5.5084069E-004, 4.0000000E+000, 7.1461269E+000
 6.9620323E-001, 5.2626600E-004, 6.0000000E+000, 7.4240090E+000
 7.2674604E-001, 4.1513030E-004, 5.0000000E+000, 7.6265289E+000
 7.5377079E-001, 8.9631957E-004, 3.0000000E+000, 7.8720805E+000
 7.8079554E-001, 6.7439148E-004, 5.0000000E+000, 8.1397283E+000
 8.0782029E-001, 3.9607934E-004, 6.0000000E+000, 8.3550784E+000
 8.3213270E-001, 3.6612819E-004, 5.0000000E+000, 8.5961234E+000
 8.5644510E-001, 4.7465967E-004, 6.0000000E+000, 8.8809096E+000
 8.8075751E-001, 4.5970477E-004, 6.0000000E+000, 9.0867717E+000
 9.0506991E-001, 4.9969172E-004, 5.0000000E+000, 9.2930352E+000
 9.2649653E-001, 5.8591495E-004, 6.0000000E+000, 9.6323878E+000
 9.4792315E-001, 5.3122731E-004, 7.0000000E+000, 9.8326060E+000
 9.6934977E-001, 5.3509479E-004, 5.0000000E+000, 1.0039742E+001
 9.9077638E-001, 4.6806928E-004, 6.0000000E+000, 1.0325120E+001
 1.0100405E+000, 8.0442303E-004, 6.0000000E+000, 1.0586224E+001
 1.0293046E+000, 8.9235071E-004, 6.0000000E+000, 1.0782462E+001
 1.0485686E+000, 2.9003372E-004, 6.0000000E+000, 1.1070155E+001
 1.0678327E+000, 7.6743379E-004, 5.0000000E+000, 1.1257567E+001
 1.0870968E+000, 4.0307113E-004, 6.0000000E+000, 1.1471229E+001
 1.1043376E+000, 9.7095416E-004, 5.0000000E+000, 1.1820943E+001
 1.1215783E+000, 8.2900449E-004, 8.0000000E+000, 1.2026885E+001
 1.1388191E+000, 8.7643748E-004, 9.0000000E+000, 1.2243281E+001
