Time,Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
  0.28966095E+02,   2500,      1, 158246,      3,     80,      6,      7,  0.63531562E+01,      3,     63,     11,      2,  0.41779978E+04
  0.28966095E+02,   2500,      2, 158247,      3,     80,     11,      2,  0.35657397E+01,      3,     59,      7,      1,  0.20470707E+04
  0.28966095E+02,   2500,      3, 158248,      4,      0,      5,      7,  0.15659681E+01,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,      4, 158249,      3,     80,     11,      2,  0.65793216E+00,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,      5, 158250,      3,     80,     11,      3,  0.40879201E+00,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,      6, 158251,      3,     80,     11,      2,  0.22390542E+00,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,      7, 158252,      3,     80,     11,      3,  0.15737323E+00,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,      8, 158253,      3,     80,     11,      2,  0.10008961E+00,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,      9, 158254,      3,     80,     11,      3,  0.72547220E-01,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     10, 158255,      3,     80,     11,      2,  0.52051291E-01,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     11, 158256,      4,      0,     10,      2,  0.38799398E-01,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     12, 158257,      3,     80,      9,      1,  0.30048918E-01,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     13, 158258,      3,     80,      8,      1,  0.24140764E-01,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     14, 158259,      3,     80,      7,      1,  0.19417755E-01,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     15, 158260,      3,     80,      8,      1,  0.16022188E-01,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     16, 158261,      3,     80,      6,      1,  0.13298162E-01,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     17, 158262,      3,     80,      4,      1,  0.11141572E-01,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     18, 158263,      3,     80,      3,      1,  0.94068430E-02,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     19, 158264,      3,     80,      1,      1,  0.79700746E-02,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     20, 158265,      3,     80,      1,      1,  0.67549227E-02,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     21, 158266,      3,     80,      1,      1,  0.57132134E-02,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     22, 158267,      3,     80,      1,      1,  0.48283189E-02,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     23, 158268,      3,     80,      1,      1,  0.40757845E-02,      3,     73,     10,      1,  0.42841802E+03
  0.28966095E+02,   2500,     24, 158269,      3,     80,      1,      1,  0.34390750E-02,      3,     73,     10,      1,  0.42841802E+03
