s,m/s,,s
Time,error,iter,cputime
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6334490E+000
 1.5973058E-001, 9.6443351E-002, 2.0000000E+003, 1.2734809E+001
 2.7452578E-001, 7.7936610E-002, 2.0000000E+003, 2.6295206E+001
 3.3817385E-001, 3.1789356E-002, 2.0000000E+003, 3.9803880E+001
 3.9065521E-001, 4.6351326E-003, 2.0000000E+003, 5.3144697E+001
 4.3640730E-001, 1.7652361E-002, 2.0000000E+003, 6.6547101E+001
 4.8215939E-001, 1.9889206E-002, 2.0000000E+003, 7.5577276E+001
 5.2106894E-001, 1.3994507E-002, 2.0000000E+003, 8.8893445E+001
 5.5997849E-001, 9.3660764E-003, 2.0000000E+003, 9.7842237E+001
 5.9888804E-001, 3.2347569E-003, 2.0000000E+003, 1.0688911E+002
 6.3179585E-001, 3.8514356E-003, 2.0000000E+003, 1.2021080E+002
 6.6470367E-001, 1.3191878E-003, 2.0000000E+003, 1.2917507E+002
 6.9377629E-001, 5.9272089E-003, 2.0000000E+003, 1.4257409E+002
 7.2284891E-001, 2.3715192E-003, 2.0000000E+003, 1.5160453E+002
 7.5192152E-001, 9.9858870E-004, 1.4900000E+002, 1.5460543E+002
 7.7752752E-001, 2.4700718E-003, 2.0000000E+003, 1.6806185E+002
 8.0313351E-001, 2.4455900E-003, 2.0000000E+003, 1.7274726E+002
 8.2873950E-001, 2.9534159E-003, 2.0000000E+003, 1.8178499E+002
 8.5169890E-001, 3.7082367E-003, 2.0000000E+003, 1.9534632E+002
 8.7465830E-001, 9.9987475E-004, 1.6410000E+003, 2.0353597E+002
 8.9761769E-001, 3.4136193E-003, 2.0000000E+003, 2.1253757E+002
 9.2057709E-001, 2.2285772E-003, 2.0000000E+003, 2.2157331E+002
 9.4083113E-001, 1.5200748E-003, 2.0000000E+003, 2.3453528E+002
 9.6108517E-001, 2.7661771E-003, 2.0000000E+003, 2.3921256E+002
 9.8133921E-001, 1.4927983E-003, 2.0000000E+003, 2.4827764E+002
 1.0015933E+000, 9.9751166E-004, 5.1000000E+001, 2.5288996E+002
 1.0218473E+000, 1.7826467E-003, 2.0000000E+003, 2.5768229E+002
 1.0395468E+000, 1.5863285E-003, 2.0000000E+003, 2.6948789E+002
 1.0572463E+000, 9.9947253E-004, 2.5000000E+002, 2.7453742E+002
 1.0749458E+000, 9.9953800E-004, 3.8600000E+002, 2.7559513E+002
 1.0926453E+000, 2.1856776E-003, 2.0000000E+003, 2.8038614E+002
 1.1103448E+000, 1.6980778E-003, 2.0000000E+003, 2.8855790E+002
 1.1259733E+000, 3.3429896E-003, 2.0000000E+003, 2.9329197E+002
 1.1416018E+000, 9.9983947E-004, 1.2290000E+003, 3.0059565E+002
 1.1572303E+000, 1.5096649E-003, 2.0000000E+003, 3.0754404E+002
 1.1728588E+000, 9.9993674E-004, 9.2100000E+002, 3.1252695E+002
 1.1884873E+000, 2.3620554E-003, 2.0000000E+003, 3.1727988E+002
 1.2041158E+000, 9.9997796E-004, 1.3070000E+003, 3.2468348E+002
 1.2173771E+000, 1.2505528E-003, 2.0000000E+003, 3.3620850E+002
 1.2306385E+000, 9.9977171E-004, 1.8050000E+003, 3.4127265E+002
 1.2438998E+000, 1.6962425E-003, 2.0000000E+003, 3.5023777E+002
 1.2571611E+000, 1.3485080E-003, 2.0000000E+003, 3.5918238E+002
 1.2704225E+000, 2.6251063E-003, 2.0000000E+003, 3.6403733E+002
 1.2969452E+000, 1.2005390E-003, 1.4545000E+003, 3.7324264E+002
 1.3234678E+000, 1.6930898E-003, 1.1305000E+003, 3.8341590E+002
