s,m/s,,s
Time,error,iter,cputime
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2896802E+000
 1.5973058E-001, 9.7921671E-014, 2.0000000E+000, 5.2097961E+000
 2.7420276E-001, 7.0166095E-014, 2.0000000E+000, 5.9437401E+000
 3.3722814E-001, 3.8857806E-014, 2.0000000E+000, 6.7281868E+000
 3.9046922E-001, 6.0618177E-014, 2.0000000E+000, 7.4131028E+000
 4.3719712E-001, 2.7533531E-014, 2.0000000E+000, 8.2224476E+000
 4.7914741E-001, 2.4424907E-014, 4.0000000E+000, 9.3005230E+000
 5.2109771E-001, 1.4210855E-014, 5.0000000E+000, 1.0384988E+001
 5.6304800E-001, 6.6613381E-015, 5.0000000E+000, 1.1489162E+001
 5.9908284E-001, 2.2204460E-014, 5.0000000E+000, 1.2817067E+001
 6.3511767E-001, 7.1054274E-015, 5.0000000E+000, 1.3905738E+001
 6.6566049E-001, 9.3258734E-015, 4.0000000E+000, 1.5045061E+001
 6.9620330E-001, 1.7763568E-014, 6.0000000E+000, 1.6319571E+001
 7.2674612E-001, 1.9095836E-014, 5.0000000E+000, 1.7398758E+001
 7.5377087E-001, 1.5099033E-014, 3.0000000E+000, 1.8411543E+001
 7.8079563E-001, 1.7319479E-014, 5.0000000E+000, 1.9573231E+001
 8.0782038E-001, 8.4376950E-015, 6.0000000E+000, 2.0782126E+001
 8.3213283E-001, 1.4654944E-014, 5.0000000E+000, 2.1883980E+001
 8.5644528E-001, 1.4654944E-014, 6.0000000E+000, 2.3157732E+001
 8.8075772E-001, 7.5495166E-015, 6.0000000E+000, 2.4370627E+001
 9.0507017E-001, 1.4210855E-014, 5.0000000E+000, 2.5445259E+001
 9.2649682E-001, 1.2878587E-014, 6.0000000E+000, 2.6865051E+001
 9.4792348E-001, 6.6613381E-015, 7.0000000E+000, 2.8173224E+001
 9.6935013E-001, 7.1054274E-015, 5.0000000E+000, 2.9159704E+001
 9.9077679E-001, 1.3322676E-014, 6.0000000E+000, 3.0321528E+001
 1.0100410E+000, 6.2172489E-015, 6.0000000E+000, 3.1682120E+001
 1.0293052E+000, 4.4408921E-015, 5.0000000E+000, 3.2649113E+001
 1.0485694E+000, 1.1546319E-014, 6.0000000E+000, 3.3825039E+001
 1.0678336E+000, 6.2172489E-015, 5.0000000E+000, 3.4901119E+001
 1.0870978E+000, 1.3322676E-014, 6.0000000E+000, 3.5984253E+001
 1.1043388E+000, 1.1546319E-014, 5.0000000E+000, 3.7288227E+001
 1.1215797E+000, 7.1054274E-015, 5.0000000E+000, 3.8366638E+001
 1.1388207E+000, 5.3290705E-015, 6.0000000E+000, 3.9451470E+001
