Time,Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
  0.29617964E+02,   2500,      1,  27180,      4,     80,      3,      2,  0.71054274E-13,      3,     47,     16,      1,  0.33704763E+04
  0.29617964E+02,   2500,      2,  27181,      4,     80,      3,      2,  0.71054274E-13,      3,     49,     16,      1,  0.13422456E+04
  0.29617964E+02,   2500,      3,  27182,      4,     80,      3,      2,  0.74606987E-13,      3,     48,     16,      1,  0.17769533E+04
  0.29617964E+02,   2500,      4,  27183,      4,     80,      3,      2,  0.71054274E-13,      3,     48,     16,      1,  0.10541496E+04
  0.29617964E+02,   2500,      5,  27184,      4,     80,      3,      2,  0.74606987E-13,      3,     48,     16,      1,  0.44985513E+03
  0.29629346E+02,   2500,      1,  27185,      4,     80,      1,      7,  0.25757174E-13,      3,     48,     16,      1,  0.24160441E+05
  0.29629346E+02,   2500,      2,  27186,      4,     80,     15,      3,  0.48849813E-13,      3,     48,     16,      1,  0.25586765E+05
  0.29629346E+02,   2500,      3,  27187,      4,     80,     15,      3,  0.47961635E-13,      3,     48,     16,      1,  0.15286666E+05
  0.29629346E+02,   2500,      4,  27188,      4,     80,     15,      3,  0.51514348E-13,      3,     48,     16,      1,  0.72325478E+04
  0.29629346E+02,   2500,      5,  27189,      4,     80,     15,      3,  0.55067062E-13,      3,     48,     16,      1,  0.30139963E+04
  0.29629346E+02,   2500,      6,  27190,      4,     80,     15,      3,  0.55067062E-13,      3,     48,     16,      1,  0.11475502E+04
  0.29629346E+02,   2500,      7,  27191,      4,     80,     15,      3,  0.51514348E-13,      3,     48,     16,      1,  0.40599269E+03
