s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9234300E+000
 3.9528471E-003, 5.7310542E-002, 9.9882238E-006, 3.0440000E+003, 2.4401595E+002
 7.9056942E-003, 5.7927894E-002, 9.9941290E-006, 3.1700000E+002, 2.7576989E+002
 1.1858541E-002, 5.7969263E-002, 9.9816331E-006, 4.1000000E+001, 2.8061956E+002
 1.5811388E-002, 5.7978220E-002, 9.9925260E-006, 2.5000000E+001, 2.8401903E+002
 1.9764235E-002, 5.7970135E-002, 9.9507345E-006, 1.9000000E+001, 2.8660088E+002
 2.3717082E-002, 5.7951218E-002, 9.9903126E-006, 1.3000000E+001, 2.8871798E+002
 2.7669930E-002, 5.7924959E-002, 9.9624180E-006, 1.2000000E+001, 2.9056206E+002
 3.1622777E-002, 5.7893007E-002, 9.9538286E-006, 1.0000000E+001, 2.9214800E+002
 3.5575624E-002, 5.7856805E-002, 9.9456142E-006, 9.0000000E+000, 2.9365835E+002
 3.9528471E-002, 5.7817200E-002, 9.9807268E-006, 8.0000000E+000, 2.9508605E+002
 4.3481318E-002, 5.7775162E-002, 9.9838542E-006, 9.0000000E+000, 2.9639284E+002
 4.7434165E-002, 5.7730849E-002, 9.9873818E-006, 9.0000000E+000, 2.9790386E+002
 5.1387012E-002, 5.7686537E-002, 9.9850760E-006, 1.0000000E+001, 2.9930312E+002
 5.5339859E-002, 5.7644023E-002, 9.9532023E-006, 1.2000000E+001, 3.0133626E+002
 5.9292706E-002, 5.7605081E-002, 9.9972105E-006, 1.5000000E+001, 3.0330352E+002
 6.3245553E-002, 5.7584533E-002, 9.9932533E-006, 2.6000000E+001, 3.0635808E+002
 6.7198400E-002, 5.7605015E-002, 9.9885117E-006, 5.4000000E+001, 3.1205349E+002
 7.1151247E-002, 5.7612407E-002, 9.9905492E-006, 5.2000000E+001, 3.1774865E+002
 7.5104094E-002, 5.7577968E-002, 9.9819653E-006, 3.3000000E+001, 3.2098797E+002
 7.9056942E-002, 5.7526759E-002, 9.9825634E-006, 2.4000000E+001, 3.2366845E+002
 8.2485458E-002, 5.7483126E-002, 9.9610193E-006, 1.6000000E+001, 3.2650341E+002
 8.5913974E-002, 5.7432282E-002, 9.9840310E-006, 1.4000000E+001, 3.2872896E+002
 8.9342491E-002, 5.7381431E-002, 9.9869868E-006, 1.5000000E+001, 3.3088244E+002
 9.2352532E-002, 5.7347326E-002, 9.9768480E-006, 1.5000000E+001, 3.3319927E+002
 9.5362572E-002, 5.7305492E-002, 9.9793514E-006, 1.2000000E+001, 3.3515288E+002
 9.8372613E-002, 5.7280754E-002, 9.9892501E-006, 2.1000000E+001, 3.3814623E+002
 1.0138265E-001, 5.7266521E-002, 9.9913793E-006, 2.6000000E+001, 3.4159408E+002
