s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2265719E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 5.7933749E-002, 4.7562192E-004, 5.0000000E+000, 4.6631638E+000, 4.3000000E+001, 9.2148875E-009, 5.5157351E-001
 7.9056942E-003, 5.7927390E-002, 4.3583675E-004, 2.0000000E+000, 6.1019760E+000, 4.3000000E+001, 9.5666830E-009, 5.5319732E-001
 1.1858541E-002, 5.7919221E-002, 3.0072739E-004, 1.0000000E+000, 6.8123242E+000, 4.4000000E+001, 5.9488342E-009, 5.5791127E-001
 1.5811388E-002, 5.7909244E-002, 1.4506274E-004, 1.0000000E+000, 7.8349472E+000, 4.3000000E+001, 7.0180967E-009, 5.5641964E-001
 1.9764235E-002, 5.7897460E-002, 7.5295833E-005, 1.0000000E+000, 8.6566721E+000, 4.4000000E+001, 6.3857193E-009, 5.6325732E-001
 2.3717082E-002, 5.7883871E-002, 7.0010863E-005, 1.0000000E+000, 9.8245703E+000, 4.4000000E+001, 6.2620381E-009, 5.6130399E-001
 2.7669930E-002, 5.7868477E-002, 6.8767491E-005, 1.0000000E+000, 1.0787285E+001, 4.4000000E+001, 4.6475105E-009, 5.5603270E-001
 3.1622777E-002, 5.7851282E-002, 7.0539318E-005, 1.0000000E+000, 1.1679275E+001, 4.4000000E+001, 4.2369009E-009, 5.5355088E-001
 3.5575624E-002, 5.7832286E-002, 1.0073213E-004, 1.0000000E+000, 1.2606266E+001, 4.4000000E+001, 4.9978816E-009, 5.5410702E-001
 3.9528471E-002, 5.7811493E-002, 1.3530967E-004, 1.0000000E+000, 1.3780451E+001, 4.4000000E+001, 5.2580262E-009, 5.5314501E-001
 4.3481318E-002, 5.7788905E-002, 1.7188955E-004, 1.0000000E+000, 1.4523556E+001, 4.4000000E+001, 4.2776793E-009, 5.4914377E-001
 4.7434165E-002, 5.7764525E-002, 1.9873762E-004, 1.0000000E+000, 1.5539482E+001, 4.4000000E+001, 6.3683304E-009, 5.5295513E-001
 5.1387012E-002, 5.7738356E-002, 2.1846169E-004, 1.0000000E+000, 1.6474154E+001, 4.4000000E+001, 5.3675784E-009, 5.4981050E-001
 5.5339859E-002, 5.7710402E-002, 2.3567467E-004, 1.0000000E+000, 1.7486668E+001, 4.3000000E+001, 9.5368582E-009, 5.4856736E-001
 5.9292706E-002, 5.7680664E-002, 2.5473573E-004, 1.0000000E+000, 1.8302279E+001, 4.4000000E+001, 4.0913197E-009, 5.4461459E-001
