s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1969821E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 5.7933749E-002, 8.3893894E-006, 2.0000000E+001, 9.1577322E+000, 3.2000000E+001, 9.4231268E-009, 5.1057533E-001
 7.9056942E-003, 5.7927390E-002, 8.6432871E-006, 6.0000000E+000, 1.2144638E+001, 4.2000000E+001, 9.4914285E-009, 5.9869975E-001
 1.1858541E-002, 5.7919221E-002, 9.5677989E-006, 5.0000000E+000, 1.4888812E+001, 4.3000000E+001, 3.5058514E-009, 5.9039411E-001
 1.5811388E-002, 5.7909244E-002, 9.8499348E-006, 5.0000000E+000, 1.7576986E+001, 4.2000000E+001, 9.1679277E-009, 5.9611172E-001
 1.9764235E-002, 5.7897460E-002, 9.7118674E-006, 5.0000000E+000, 2.0570878E+001, 4.3000000E+001, 3.9826941E-009, 5.9189695E-001
 2.3717082E-002, 5.7883871E-002, 9.9300699E-006, 5.0000000E+000, 2.3383952E+001, 4.3000000E+001, 4.7875092E-009, 5.9408711E-001
 2.7669930E-002, 5.7868477E-002, 9.6021664E-006, 5.0000000E+000, 2.5914727E+001, 4.3000000E+001, 6.2030799E-009, 5.9805237E-001
 3.1622777E-002, 5.7851282E-002, 7.9677362E-006, 6.0000000E+000, 2.8995786E+001, 4.2000000E+001, 8.2926676E-009, 5.9778400E-001
 3.5575624E-002, 5.7832286E-002, 9.1847808E-006, 5.0000000E+000, 3.1807769E+001, 4.3000000E+001, 5.1201315E-009, 5.9576340E-001
 3.9528471E-002, 5.7811493E-002, 8.4149547E-006, 6.0000000E+000, 3.4623542E+001, 4.2000000E+001, 9.7298525E-009, 5.9919236E-001
 4.3481318E-002, 5.7788905E-002, 8.2427803E-006, 6.0000000E+000, 3.7359828E+001, 4.2000000E+001, 9.8052482E-009, 5.9952931E-001
 4.7434165E-002, 5.7764525E-002, 8.7113456E-006, 6.0000000E+000, 4.0170276E+001, 4.2000000E+001, 6.8622331E-009, 5.9363586E-001
 5.1387012E-002, 5.7738356E-002, 9.2904866E-006, 6.0000000E+000, 4.3145183E+001, 4.2000000E+001, 9.1053732E-009, 5.9670110E-001
 5.5339859E-002, 5.7710402E-002, 9.6118787E-006, 6.0000000E+000, 4.5895923E+001, 4.2000000E+001, 9.8406179E-009, 5.9727322E-001
 5.9292706E-002, 5.7680664E-002, 8.0616297E-006, 7.0000000E+000, 4.8636054E+001, 4.0000000E+001, 5.7285765E-009, 5.7710134E-001
 6.3245553E-002, 5.7649149E-002, 7.9752624E-006, 7.0000000E+000, 5.1569675E+001, 3.9000000E+001, 9.8583841E-009, 5.7712686E-001
 6.7198400E-002, 5.7615858E-002, 8.4855128E-006, 7.0000000E+000, 5.5090633E+001, 4.0000000E+001, 6.3565710E-009, 5.7782753E-001
 7.1151247E-002, 5.7580797E-002, 8.9777526E-006, 7.0000000E+000, 5.8482780E+001, 4.0000000E+001, 6.5462335E-009, 5.7743463E-001
 7.5104094E-002, 5.7543970E-002, 9.4207781E-006, 7.0000000E+000, 6.1366969E+001, 3.9000000E+001, 7.6809255E-009, 5.7099007E-001
 7.9056942E-002, 5.7505381E-002, 9.6745794E-006, 7.0000000E+000, 6.4912303E+001, 3.9000000E+001, 7.1508231E-009, 5.6954588E-001
 8.2484780E-002, 5.7480026E-002, 7.9222096E-006, 7.0000000E+000, 6.8391338E+001, 4.0000000E+001, 7.3675896E-009, 5.7889786E-001
 8.5912619E-002, 5.7444230E-002, 8.0053673E-006, 7.0000000E+000, 7.1887736E+001, 4.0000000E+001, 6.9717943E-009, 5.7793946E-001
 8.9340457E-002, 5.7407119E-002, 8.3576846E-006, 7.0000000E+000, 7.5069308E+001, 3.9000000E+001, 9.4509142E-009, 5.7370697E-001
 9.2350075E-002, 5.7382031E-002, 8.7561937E-006, 6.0000000E+000, 7.8586848E+001, 4.2000000E+001, 8.1453956E-009, 5.9192320E-001
 9.5359692E-002, 5.7347641E-002, 9.5868441E-006, 6.0000000E+000, 8.1351520E+001, 4.2000000E+001, 9.4049393E-009, 5.9273416E-001
 9.8369309E-002, 5.7312244E-002, 9.6298971E-006, 6.0000000E+000, 8.4391345E+001, 4.2000000E+001, 9.5957355E-009, 5.9294159E-001
 1.0137893E-001, 5.7275842E-002, 7.8112247E-006, 7.0000000E+000, 8.7581332E+001, 4.0000000E+001, 8.0843218E-009, 5.7860803E-001
 1.0400592E-001, 5.7252136E-002, 9.5793007E-006, 5.0000000E+000, 9.0674518E+001, 4.3000000E+001, 7.3538259E-009, 5.9366826E-001
 1.0663292E-001, 5.7219006E-002, 9.0489844E-006, 6.0000000E+000, 9.3332401E+001, 4.2000000E+001, 6.5631969E-009, 5.8670364E-001
 1.0925992E-001, 5.7185115E-002, 8.5609860E-006, 6.0000000E+000, 9.5846934E+001, 4.3000000E+001, 7.2877187E-009, 5.9620096E-001
 1.1188691E-001, 5.7150466E-002, 8.7321093E-006, 6.0000000E+000, 9.9023662E+001, 4.3000000E+001, 5.8328007E-009, 5.9285358E-001
 1.1451391E-001, 5.7115061E-002, 9.0797990E-006, 6.0000000E+000, 1.0173492E+002, 4.3000000E+001, 6.3798705E-009, 5.9357472E-001
 1.1682229E-001, 5.7091662E-002, 9.5146229E-006, 5.0000000E+000, 1.0512594E+002, 4.3000000E+001, 5.6930369E-009, 5.8887135E-001
 1.1913066E-001, 5.7059508E-002, 8.0369411E-006, 6.0000000E+000, 1.0811624E+002, 4.2000000E+001, 9.7674300E-009, 5.9220026E-001
 1.2143904E-001, 5.7026775E-002, 9.6432910E-006, 5.0000000E+000, 1.1174082E+002, 4.3000000E+001, 9.3144218E-009, 5.9546985E-001
 1.2374741E-001, 5.6993462E-002, 8.5741679E-006, 6.0000000E+000, 1.1457875E+002, 4.3000000E+001, 3.9686257E-009, 5.8618244E-001
 1.2605579E-001, 5.6959571E-002, 8.0793352E-006, 6.0000000E+000, 1.1776703E+002, 4.1000000E+001, 8.9870822E-009, 5.8341784E-001
 1.2836416E-001, 5.6925104E-002, 8.2795998E-006, 6.0000000E+000, 1.2079274E+002, 4.3000000E+001, 4.3601150E-009, 5.8792088E-001
 1.3041656E-001, 5.6901455E-002, 8.8491237E-006, 5.0000000E+000, 1.2379825E+002, 4.2000000E+001, 7.9004870E-009, 5.8562992E-001
 1.3246896E-001, 5.6869988E-002, 9.8709088E-006, 5.0000000E+000, 1.2642561E+002, 4.3000000E+001, 7.5819441E-009, 5.9102390E-001
 1.3452135E-001, 5.6838069E-002, 9.7759985E-006, 5.0000000E+000, 1.2907324E+002, 4.3000000E+001, 7.5404760E-009, 5.9106848E-001
 1.3657375E-001, 5.6805698E-002, 8.0345017E-006, 6.0000000E+000, 1.3184736E+002, 4.2000000E+001, 8.4599709E-009, 5.8863962E-001
