s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4660810E+000
 3.9528471E-003, 5.7933749E-002, 0.0000000E+000, 1.0000000E+000, 4.4692720E+000
 7.9056942E-003, 5.7927390E-002, 0.0000000E+000, 1.0000000E+000, 5.7979468E+000
 1.1858541E-002, 5.7919221E-002, 0.0000000E+000, 1.0000000E+000, 7.3673390E+000
 1.5811388E-002, 5.7909244E-002, 0.0000000E+000, 1.0000000E+000, 9.6053509E+000
 1.9764235E-002, 5.7897460E-002, 0.0000000E+000, 1.0000000E+000, 1.1498689E+001
 2.3717082E-002, 5.7883871E-002, 0.0000000E+000, 1.0000000E+000, 1.3283029E+001
 2.7669930E-002, 5.7868477E-002, 0.0000000E+000, 1.0000000E+000, 1.5080865E+001
 3.1622777E-002, 5.7851282E-002, 0.0000000E+000, 1.0000000E+000, 1.6796531E+001
 3.5575624E-002, 5.7832286E-002, 0.0000000E+000, 1.0000000E+000, 1.8355483E+001
 3.9528471E-002, 5.7811493E-002, 0.0000000E+000, 1.0000000E+000, 2.0459224E+001
 4.3481318E-002, 5.7788905E-002, 0.0000000E+000, 1.0000000E+000, 2.1440030E+001
 4.7434165E-002, 5.7764525E-002, 0.0000000E+000, 1.0000000E+000, 2.3495530E+001
 5.1387012E-002, 5.7738356E-002, 0.0000000E+000, 1.0000000E+000, 2.4859586E+001
 5.5339859E-002, 5.7710402E-002, 0.0000000E+000, 1.0000000E+000, 2.6473956E+001
 5.9292706E-002, 5.7680664E-002, 3.4694470E-018, 1.0000000E+000, 2.8274440E+001
 6.3245553E-002, 5.7649149E-002, 0.0000000E+000, 1.0000000E+000, 3.0057559E+001
 6.7198400E-002, 5.7615858E-002, 0.0000000E+000, 1.0000000E+000, 3.2082105E+001
 7.1151247E-002, 5.7580797E-002, 0.0000000E+000, 1.0000000E+000, 3.4276445E+001
 7.5104094E-002, 5.7543970E-002, 0.0000000E+000, 1.0000000E+000, 3.5888029E+001
 7.9056942E-002, 5.7505381E-002, 0.0000000E+000, 1.0000000E+000, 3.7136999E+001
 8.2484486E-002, 5.7480034E-002, 0.0000000E+000, 1.0000000E+000, 4.0211275E+001
 8.5912031E-002, 5.7444242E-002, 0.0000000E+000, 1.0000000E+000, 4.1810514E+001
 8.9339576E-002, 5.7407135E-002, 0.0000000E+000, 1.0000000E+000, 4.3219709E+001
 9.2349007E-002, 5.7382047E-002, 0.0000000E+000, 1.0000000E+000, 4.7339448E+001
 9.5358437E-002, 5.7347660E-002, 0.0000000E+000, 1.0000000E+000, 4.8832586E+001
 9.8367868E-002, 5.7312265E-002, 0.0000000E+000, 1.0000000E+000, 5.0091627E+001
 1.0137730E-001, 5.7275867E-002, 0.0000000E+000, 1.0000000E+000, 5.1732164E+001
