s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9890730E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 5.7933749E-002, 0.0000000E+000, 1.0000000E+000, 9.3089113E+000, 3.8000000E+001, 4.0131020E-009, 4.8632005E-001
 7.9056942E-003, 5.7927390E-002, 0.0000000E+000, 1.0000000E+000, 1.6085358E+001, 3.8000000E+001, 8.8987865E-009, 5.3140772E-001
 1.1858541E-002, 5.7919221E-002, 0.0000000E+000, 1.0000000E+000, 2.3322325E+001, 3.9000000E+001, 2.7391184E-009, 5.1902484E-001
 1.5811388E-002, 5.7909244E-002, 0.0000000E+000, 1.0000000E+000, 2.9884376E+001, 3.9000000E+001, 4.4972321E-009, 5.2219292E-001
 1.9764235E-002, 5.7897460E-002, 0.0000000E+000, 1.0000000E+000, 3.7030424E+001, 3.9000000E+001, 3.0236915E-009, 5.1433553E-001
 2.3717082E-002, 5.7883871E-002, 0.0000000E+000, 1.0000000E+000, 4.0300089E+001, 3.9000000E+001, 4.6813581E-009, 5.1805829E-001
 2.7669930E-002, 5.7868477E-002, 0.0000000E+000, 1.0000000E+000, 4.1307081E+001, 3.9000000E+001, 5.4355709E-009, 5.1829776E-001
 3.1622777E-002, 5.7851282E-002, 0.0000000E+000, 1.0000000E+000, 4.2130072E+001, 3.9000000E+001, 5.1479072E-009, 5.1605124E-001
 3.5575624E-002, 5.7832286E-002, 0.0000000E+000, 1.0000000E+000, 4.2929331E+001, 3.9000000E+001, 4.8818135E-009, 5.1398026E-001
 3.9528471E-002, 5.7811493E-002, 0.0000000E+000, 1.0000000E+000, 5.0985933E+001, 3.9000000E+001, 4.3290442E-009, 5.1114338E-001
 4.3481318E-002, 5.7788905E-002, 0.0000000E+000, 1.0000000E+000, 5.7241865E+001, 3.9000000E+001, 5.4972329E-009, 5.1310236E-001
 4.7434165E-002, 5.7764525E-002, 0.0000000E+000, 1.0000000E+000, 6.4123419E+001, 3.9000000E+001, 5.2888999E-009, 5.1147636E-001
 5.1387012E-002, 5.7738356E-002, 0.0000000E+000, 1.0000000E+000, 7.0317846E+001, 3.9000000E+001, 6.4708256E-009, 5.1305447E-001
 5.5339859E-002, 5.7710402E-002, 0.0000000E+000, 1.0000000E+000, 7.7068273E+001, 3.9000000E+001, 6.2918725E-009, 5.1165333E-001
 5.9292706E-002, 5.7680664E-002, 3.4694470E-018, 1.0000000E+000, 8.3206289E+001, 3.9000000E+001, 6.0508515E-009, 5.1014446E-001
 6.3245553E-002, 5.7649149E-002, 0.0000000E+000, 1.0000000E+000, 8.9913588E+001, 3.9000000E+001, 4.3423758E-009, 5.0486526E-001
 6.7198400E-002, 5.7615858E-002, 0.0000000E+000, 1.0000000E+000, 9.1084219E+001, 3.9000000E+001, 5.5246943E-009, 5.0705730E-001
 7.1151247E-002, 5.7580797E-002, 0.0000000E+000, 1.0000000E+000, 9.1776442E+001, 3.9000000E+001, 4.0212284E-009, 5.0204540E-001
