s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 0.0000000E+000, 2.0896396E-003, 2.1388555E-003, 0.0000000E+000, 0.0000000E+000
 1.2500000E-001, 1.5152478E-005, 2.2167460E-003, 9.7691611E-004, 3.0000000E+000
 2.5000000E-001, 1.2367747E-001, 1.6578833E-002, 3.5814494E-003, 1.0000000E+003
 3.7500000E-001, 2.4407189E-001, 9.2857275E-002, 4.5184285E-003, 1.0000000E+003
 5.0000000E-001, 3.5765873E-001, 2.3042441E-001, 3.7321615E-003, 1.0000000E+003
 6.2500000E-001, 4.6178646E-001, 4.0111275E-001, 1.7673165E-003, 1.0000000E+003
 7.5000000E-001, 5.5480842E-001, 5.7071458E-001, 9.9819405E-004, 1.4100000E+002
 8.7500000E-001, 6.3560978E-001, 7.1591536E-001, 2.4556275E-003, 1.0000000E+003
 1.0000000E+000, 7.0452640E-001, 8.1573006E-001, 3.3130671E-003, 1.0000000E+003
 1.1250000E+000, 7.6219754E-001, 8.6980919E-001, 3.2193181E-003, 1.0000000E+003
 1.2500000E+000, 8.0975061E-001, 8.8951007E-001, 2.3978355E-003, 1.0000000E+003
 1.3750000E+000, 8.4852464E-001, 8.9079763E-001, 1.2846537E-003, 1.0000000E+003
 1.5000000E+000, 8.8017064E-001, 8.8945313E-001, 9.6562871E-004, 1.0000000E+001
 1.6250000E+000, 9.0550126E-001, 8.8840937E-001, 9.9480357E-004, 2.4000000E+001
 1.7500000E+000, 9.2534114E-001, 8.9384068E-001, 9.9950568E-004, 2.6900000E+002
 1.8750000E+000, 9.4122343E-001, 9.0170188E-001, 9.9981640E-004, 1.5700000E+002
 2.0000000E+000, 9.5385701E-001, 9.1936901E-001, 1.0058709E-003, 1.0000000E+003
 2.1250000E+000, 9.6385413E-001, 9.3624947E-001, 9.9902540E-004, 7.4000000E+001
 2.2500000E+000, 9.7181027E-001, 9.5176694E-001, 9.8142874E-004, 1.2000000E+001
 2.3750000E+000, 9.7807472E-001, 9.6717564E-001, 9.0065661E-004, 1.4000000E+001
 2.4851842E+000, 9.8295221E-001, 9.8069611E-001, 9.3646338E-004, 1.2000000E+001
 2.5953684E+000, 9.8642628E-001, 9.9407354E-001, 9.5784630E-004, 1.2000000E+001
 2.7055526E+000, 9.8912969E-001, 1.0077725E+000, 9.3075408E-004, 1.2000000E+001
 2.8157367E+000, 9.9129075E-001, 1.0199700E+000, 9.9876454E-004, 2.3000000E+001
 2.9259209E+000, 9.9304532E-001, 1.0276187E+000, 9.9984260E-004, 1.4600000E+002
 3.0361051E+000, 9.9445427E-001, 1.0289629E+000, 9.9982974E-004, 4.1900000E+002
 3.1462893E+000, 9.9558591E-001, 1.0290962E+000, 9.9991633E-004, 1.0200000E+002
 3.2564735E+000, 9.9649651E-001, 1.0289212E+000, 9.9747827E-004, 2.7000000E+001
 3.3550995E+000, 9.9722088E-001, 1.0286417E+000, 9.9854509E-004, 2.7000000E+001
 3.4537255E+000, 9.9774778E-001, 1.0283004E+000, 9.9429399E-004, 2.5000000E+001
 3.5523516E+000, 9.9817521E-001, 1.0278382E+000, 9.9062430E-004, 2.1000000E+001
 3.6509776E+000, 9.9852189E-001, 1.0271982E+000, 9.9082289E-004, 1.7000000E+001
 3.7496036E+000, 9.9880364E-001, 1.0263471E+000, 9.9583003E-004, 1.4000000E+001
 3.8482296E+000, 9.9903307E-001, 1.0252797E+000, 9.9229148E-004, 1.1000000E+001
 3.9468557E+000, 9.9921826E-001, 1.0238330E+000, 9.2308294E-004, 1.1000000E+001
 4.0454817E+000, 9.9936668E-001, 1.0220017E+000, 9.2557538E-004, 9.0000000E+000
 4.1341404E+000, 9.9948180E-001, 1.0199399E+000, 9.2604059E-004, 8.0000000E+000
 4.2227991E+000, 9.9956099E-001, 1.0175492E+000, 9.4619522E-004, 7.0000000E+000
 4.3114578E+000, 9.9961904E-001, 1.0148417E+000, 9.5736380E-004, 7.0000000E+000
 4.4001165E+000, 9.9965969E-001, 1.0118616E+000, 9.7678755E-004, 7.0000000E+000
 4.4887752E+000, 9.9968784E-001, 1.0086359E+000, 9.7141015E-004, 6.0000000E+000
 4.5774338E+000, 9.9970938E-001, 1.0053216E+000, 9.3320800E-004, 6.0000000E+000
 4.6660925E+000, 9.9972837E-001, 1.0021024E+000, 9.8321414E-004, 6.0000000E+000
 4.7547512E+000, 9.9974769E-001, 9.9918713E-001, 5.6032829E-004, 8.0000000E+000
 4.8434099E+000, 9.9976338E-001, 9.9643978E-001, 9.7428237E-004, 6.0000000E+000
 4.9320686E+000, 9.9977634E-001, 9.9393063E-001, 7.4690800E-004, 8.0000000E+000
 5.0207273E+000, 9.9978488E-001, 9.9154611E-001, 8.4617691E-004, 8.0000000E+000
 5.1093860E+000, 9.9979179E-001, 9.8920768E-001, 6.8782636E-004, 1.0000000E+001
 5.1980447E+000, 9.9980077E-001, 9.8691084E-001, 7.7307819E-004, 1.0000000E+001
 5.2867034E+000, 9.9981452E-001, 9.8468207E-001, 8.8938552E-004, 1.0000000E+001
