s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 0.0000000E+000, 2.0896396E-003, 2.1388555E-003, 0.0000000E+000, 0.0000000E+000
 1.2500000E-001, 1.5217147E-005, 2.2160045E-003, 7.1490648E-004, 3.0000000E+000
 2.5000000E-001, 1.2362680E-001, 2.1470395E-002, 1.9578967E-003, 1.0000000E+003
 3.7500000E-001, 2.4404106E-001, 1.0897117E-001, 2.3654748E-003, 1.0000000E+003
 5.0000000E-001, 3.5770202E-001, 2.5559333E-001, 1.7664386E-003, 1.0000000E+003
 6.2500000E-001, 4.6217338E-001, 4.1480535E-001, 9.8962762E-004, 9.0000000E+000
 7.5000000E-001, 5.5496804E-001, 5.7375677E-001, 9.9954566E-004, 1.2600000E+002
 8.7500000E-001, 6.3563165E-001, 7.0750972E-001, 1.3011691E-003, 1.0000000E+003
 1.0000000E+000, 7.0448720E-001, 7.9445164E-001, 1.5676008E-003, 1.0000000E+003
 1.1250000E+000, 7.6210538E-001, 8.4044626E-001, 1.3779495E-003, 1.0000000E+003
 1.2500000E+000, 8.0967196E-001, 8.6506120E-001, 9.9977601E-004, 6.2600000E+002
 1.3750000E+000, 8.4865260E-001, 8.8613884E-001, 9.9959255E-004, 6.6000000E+001
 1.5000000E+000, 8.8019538E-001, 9.0594154E-001, 9.9889400E-004, 8.7000000E+001
 1.6250000E+000, 9.0551671E-001, 9.2527699E-001, 9.9823955E-004, 8.1000000E+001
 1.7370971E+000, 9.2570285E-001, 9.4118639E-001, 9.8362523E-004, 1.3000000E+001
 1.8491943E+000, 9.4025710E-001, 9.5742594E-001, 9.9816737E-004, 6.9000000E+001
 1.9612914E+000, 9.5203755E-001, 9.7211854E-001, 9.9798029E-004, 4.3000000E+001
 2.0733886E+000, 9.6155504E-001, 9.8565194E-001, 9.9732617E-004, 3.6000000E+001
 2.1854857E+000, 9.6922956E-001, 9.9835304E-001, 9.9770582E-004, 3.9000000E+001
 2.2975829E+000, 9.7540646E-001, 1.0104315E+000, 9.9796543E-004, 4.9000000E+001
 2.4096800E+000, 9.8037082E-001, 1.0214223E+000, 9.9927410E-004, 5.6000000E+001
 2.5217772E+000, 9.8435558E-001, 1.0304593E+000, 9.9979768E-004, 5.1000000E+001
 2.6338743E+000, 9.8755051E-001, 1.0374312E+000, 9.9876993E-004, 3.9000000E+001
 2.7459715E+000, 9.9011105E-001, 1.0428532E+000, 9.9974829E-004, 2.9000000E+001
 2.8580686E+000, 9.9216225E-001, 1.0470169E+000, 9.9970087E-004, 2.6000000E+001
 2.9701657E+000, 9.9380603E-001, 1.0497172E+000, 9.9975196E-004, 3.0000000E+001
 3.0705295E+000, 9.9511840E-001, 1.0508227E+000, 9.9745148E-004, 1.9000000E+001
 3.1708932E+000, 9.9607462E-001, 1.0505615E+000, 9.9967313E-004, 5.0000000E+001
 3.2712570E+000, 9.9685338E-001, 1.0498541E+000, 9.9942931E-004, 2.6000000E+001
 3.3716207E+000, 9.9748708E-001, 1.0490712E+000, 9.9953086E-004, 1.6000000E+001
 3.4719844E+000, 9.9799729E-001, 1.0479249E+000, 9.9004737E-004, 1.7000000E+001
 3.5723482E+000, 9.9840831E-001, 1.0465134E+000, 9.9016484E-004, 1.4000000E+001
 3.6727119E+000, 9.9873966E-001, 1.0448183E+000, 9.8422915E-004, 1.2000000E+001
 3.7730757E+000, 9.9900680E-001, 1.0428261E+000, 9.7473435E-004, 1.0000000E+001
 3.8626143E+000, 9.9922163E-001, 1.0407595E+000, 9.9600841E-004, 7.0000000E+000
 3.9521529E+000, 9.9937802E-001, 1.0382360E+000, 9.7192274E-004, 7.0000000E+000
 4.0416915E+000, 9.9950182E-001, 1.0353044E+000, 9.8002120E-004, 6.0000000E+000
 4.1312301E+000, 9.9959738E-001, 1.0319773E+000, 9.3601221E-004, 6.0000000E+000
 4.2207687E+000, 9.9966672E-001, 1.0283496E+000, 9.8419687E-004, 5.0000000E+000
 4.3103073E+000, 9.9971446E-001, 1.0244352E+000, 9.3915106E-004, 5.0000000E+000
 4.3998459E+000, 9.9974381E-001, 1.0203431E+000, 9.9801372E-004, 5.0000000E+000
 4.4893845E+000, 9.9976086E-001, 1.0162482E+000, 8.1376940E-004, 6.0000000E+000
 4.5789232E+000, 9.9977133E-001, 1.0122143E+000, 7.7980377E-004, 6.0000000E+000
 4.6684618E+000, 9.9978015E-001, 1.0083562E+000, 7.8629133E-004, 6.0000000E+000
 4.7580004E+000, 9.9978852E-001, 1.0047449E+000, 8.9960330E-004, 6.0000000E+000
 4.8475390E+000, 9.9979542E-001, 1.0013273E+000, 7.9357307E-004, 7.0000000E+000
 4.9370776E+000, 9.9979824E-001, 9.9801133E-001, 9.0727693E-004, 7.0000000E+000
 5.0266162E+000, 9.9979800E-001, 9.9473365E-001, 8.6017222E-004, 8.0000000E+000
 5.1161548E+000, 9.9979781E-001, 9.9148224E-001, 9.2371404E-004, 8.0000000E+000
 5.2056934E+000, 9.9980172E-001, 9.8826431E-001, 9.8397342E-004, 8.0000000E+000
