s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003,-1.4293129E-008,-3.6234962E-007,-4.7639392E-006, 6.2491864E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000000E-003, 1.8725040E-005,-1.1408527E-005, 2.3307525E-003, 1.2474895E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-003, 1.7237793E-003, 7.5841436E-004, 2.3184551E-001, 1.2139973E-002, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-003, 3.6228675E-003, 1.6918337E-003, 2.6498703E-001, 1.1766699E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-002, 6.6832240E-003, 4.0011006E-003, 6.7095284E-001, 1.2364501E-002, 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 1.0314669E-002, 7.6213923E-003, 1.4457722E+000, 1.2387540E-002, 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 1.4024564E-002, 1.1697160E-002, 2.0099541E+000, 1.2480363E-002, 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6000000E-002, 1.7796296E-002, 1.6006203E-002, 2.4772983E+000, 1.2413692E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8000000E-002, 2.1622595E-002, 2.0472900E-002, 2.7674494E+000, 1.2267314E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 2.5479521E-002, 2.5023554E-002, 2.8884797E+000, 1.2112929E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2000000E-002, 2.9353413E-002, 2.9621548E-002, 2.9276175E+000, 1.2097218E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4000000E-002, 3.3253766E-002, 3.4272166E-002, 2.9657093E+000, 1.2047546E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6000000E-002, 3.7191006E-002, 3.8983829E-002, 3.0026061E+000, 1.1927389E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8000000E-002, 4.1175105E-002, 4.3766402E-002, 3.0381206E+000, 1.1728178E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000000E-002, 4.5214677E-002, 4.8629547E-002, 3.0720306E+000, 1.1445583E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2000000E-002, 4.9316547E-002, 5.3581337E-002, 3.1040922E+000, 1.1079974E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4000000E-002, 5.3485688E-002, 5.8627337E-002, 3.1340573E+000, 1.0635842E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6000000E-002, 5.7725363E-002, 6.3770142E-002, 3.1616918E+000, 1.0120340E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8000000E-002, 6.2037302E-002, 6.9009345E-002, 3.1867912E+000, 9.5412180E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000000E-002, 6.6421816E-002, 7.4341768E-002, 3.2091902E+000, 8.9048687E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2000000E-002, 7.0877811E-002, 7.9761851E-002, 3.2287672E+000, 8.2233126E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4000000E-002, 7.5402717E-002, 8.5262048E-002, 3.2454432E+000, 7.4798506E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6000000E-002, 7.9992381E-002, 9.0833203E-002, 3.2591782E+000, 6.6726088E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8000000E-002, 8.4640987E-002, 9.6464844E-002, 3.2699645E+000, 5.8106409E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000000E-002, 8.9341041E-002, 1.0214545E-001, 3.2778210E+000, 4.8857388E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2000000E-002, 9.4083474E-002, 1.0786268E-001, 3.2827876E+000, 3.2896058E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.4000000E-002, 9.8857239E-002, 1.1360414E-001, 3.2849006E+000, 1.7763734E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.6000000E-002, 1.0364824E-001, 1.1935778E-001, 3.2840265E+000, 6.3017204E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.8000000E-002, 1.0843957E-001, 1.2511045E-001, 3.2800396E+000, 1.7097067E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-002, 1.1321188E-001, 1.3084729E-001, 3.2727941E+000, 3.2727183E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2000000E-002, 1.1794441E-001, 1.3655143E-001, 3.2621476E+000, 4.7572313E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4000000E-002, 1.2261671E-001, 1.4220441E-001, 3.2479891E+000, 6.1587031E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6000000E-002, 1.2721072E-001, 1.4778728E-001, 3.2302663E+000, 7.4654914E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.8000000E-002, 1.3171276E-001, 1.5328238E-001, 3.2090020E+000, 8.6599577E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0000000E-002, 1.3611462E-001, 1.5867507E-001, 3.1842945E+000, 9.7248009E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.2000000E-002, 1.4041362E-001, 1.6395510E-001, 3.1563026E+000, 1.0649409E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.4000000E-002, 1.4461159E-001, 1.6911706E-001, 3.1252205E+000, 1.1433126E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6000000E-002, 1.4871320E-001, 1.7415985E-001, 3.0912509E+000, 1.2084847E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.8000000E-002, 1.5261232E-001, 1.7893570E-001, 2.9160615E+000, 1.2490463E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-002, 1.5605955E-001, 1.8311823E-001, 2.6600191E+000, 1.2394779E-002, 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.2000000E-002, 1.5943900E-001, 1.8720938E-001, 2.6211907E+000, 1.2230061E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.4000000E-002, 1.6276206E-001, 1.9121808E-001, 2.5811647E+000, 1.2007484E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.6000000E-002, 1.6603966E-001, 1.9515054E-001, 2.5401158E+000, 1.1740028E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.8000000E-002, 1.6928136E-001, 1.9901028E-001, 2.4982533E+000, 1.1454720E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.0000000E-002, 1.7249459E-001, 2.0279870E-001, 2.4558338E+000, 1.1197979E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.2000000E-002, 1.7568417E-001, 2.0651599E-001, 2.4131654E+000, 1.0941811E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.4000000E-002, 1.7885251E-001, 2.1016196E-001, 2.3705982E+000, 1.0693853E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.6000000E-002, 1.8200009E-001, 2.1373666E-001, 2.3285061E+000, 1.0469260E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.8000000E-002, 1.8512594E-001, 2.1724042E-001, 2.2872665E+000, 1.0228914E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-001, 1.8822791E-001, 2.2067375E-001, 2.2472415E+000, 9.9680444E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0200000E-001, 1.9130286E-001, 2.2403707E-001, 2.2087663E+000, 1.0828276E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0400000E-001, 1.9434557E-001, 2.2733148E-001, 2.1721049E+000, 1.1670211E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0600000E-001, 1.9728788E-001, 2.3046526E-001, 2.0034968E+000, 1.2394675E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0800000E-001, 1.9991965E-001, 2.3326198E-001, 1.7770665E+000, 1.2416331E-002, 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1000000E-001, 2.0245478E-001, 2.3596825E-001, 1.7445613E+000, 1.2282278E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1200000E-001, 2.0487593E-001, 2.3857152E-001, 1.7132517E+000, 1.1992848E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1400000E-001, 2.0717263E-001, 2.4105920E-001, 1.6832096E+000, 1.1554430E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1600000E-001, 2.0934257E-001, 2.4342157E-001, 1.6545850E+000, 1.0974141E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1800000E-001, 2.1139147E-001, 2.4565480E-001, 1.6275964E+000, 1.0259094E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2000000E-001, 2.1333161E-001, 2.4776282E-001, 1.6024992E+000, 9.4193397E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2200000E-001, 2.1517963E-001, 2.4975767E-001, 1.5795370E+000, 8.4708549E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2400000E-001, 2.1695409E-001, 2.5165794E-001, 1.5588932E+000, 7.4358465E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2600000E-001, 2.1867334E-001, 2.5348603E-001, 1.5406611E+000, 6.3804064E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2800000E-001, 2.2035409E-001, 2.5526486E-001, 1.5248419E+000, 5.3288924E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3000000E-001, 2.2201081E-001, 2.5701533E-001, 1.5113678E+000, 4.2155860E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3200000E-001, 2.2365601E-001, 2.5875475E-001, 1.5001399E+000, 3.0628512E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3400000E-001, 2.2530087E-001, 2.6049658E-001, 1.4910668E+000, 1.8908908E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3600000E-001, 2.2695593E-001, 2.6225107E-001, 1.4840933E+000, 1.4063661E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3800000E-001, 2.2863142E-001, 2.6402622E-001, 1.4792136E+000, 1.3299224E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E-001, 2.3033718E-001, 2.6582886E-001, 1.4764686E+000, 1.5870941E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4200000E-001, 2.3208233E-001, 2.6766526E-001, 1.4759340E+000, 2.6493817E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4400000E-001, 2.3387477E-001, 2.6954152E-001, 1.4777024E+000, 3.6620738E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4600000E-001, 2.3572070E-001, 2.7146347E-001, 1.4818652E+000, 4.6115287E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4800000E-001, 2.3762439E-001, 2.7343645E-001, 1.4884988E+000, 5.4818342E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5000000E-001, 2.3958805E-001, 2.7546500E-001, 1.4976549E+000, 6.2614081E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5200000E-001, 2.4161196E-001, 2.7755265E-001, 1.5093554E+000, 5.5565437E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5400000E-001, 2.4369305E-001, 2.7970301E-001, 1.5235429E+000, 5.6363896E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
