s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 3.7397315E-003, 4.3077195E-003, 2.2659742E+000, 9.9405081E-006, 6.7300000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000000E-003, 7.4892316E-003, 8.6295431E-003, 2.2748056E+000, 9.9560927E-006, 5.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-003, 1.1238865E-002, 1.2951611E-002, 2.2747969E+000, 9.8589428E-006, 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-003, 1.4988586E-002, 1.7273820E-002, 2.2748034E+000, 9.7952177E-006, 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-002, 1.8738285E-002, 2.1596047E-002, 2.2747688E+000, 9.7257868E-006, 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 2.2487866E-002, 2.5918157E-002, 2.2746975E+000, 9.7826457E-006, 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 2.6237152E-002, 3.0239976E-002, 2.2746574E+000, 9.6629437E-006, 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6000000E-002, 2.9986047E-002, 3.4561572E-002, 2.2746665E+000, 9.7238458E-006, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8000000E-002, 3.3734664E-002, 3.8883152E-002, 2.2747230E+000, 9.7057674E-006, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 3.7483075E-002, 4.3204708E-002, 2.2747390E+000, 9.8700535E-006, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2000000E-002, 4.1231299E-002, 4.7526285E-002, 2.2748593E+000, 9.8104796E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4000000E-002, 4.4979621E-002, 5.1848221E-002, 2.2751491E+000, 9.9007029E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6000000E-002, 4.8728070E-002, 5.6170419E-002, 2.2752967E+000, 9.8149850E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8000000E-002, 5.2476449E-002, 6.0492556E-002, 2.2751886E+000, 9.8001091E-006, 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000000E-002, 5.6224497E-002, 6.4814354E-002, 2.2750549E+000, 9.7442502E-006, 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2000000E-002, 5.9972056E-002, 6.9135826E-002, 2.2752137E+000, 9.9625909E-006, 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4000000E-002, 6.3719175E-002, 7.3457116E-002, 2.2755040E+000, 9.9803571E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6000000E-002, 6.7466173E-002, 7.7778677E-002, 2.2761760E+000, 9.9228898E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8000000E-002, 7.1213081E-002, 8.2100227E-002, 2.2761622E+000, 9.9693477E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000000E-002, 7.4959751E-002, 8.6421664E-002, 2.2762003E+000, 9.8752034E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2000000E-002, 7.8706185E-002, 9.0743070E-002, 2.2763699E+000, 9.9132030E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4000000E-002, 8.2452378E-002, 9.5064419E-002, 2.2765771E+000, 9.9514463E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6000000E-002, 8.6198351E-002, 9.9385738E-002, 2.2768899E+000, 9.9612446E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8000000E-002, 8.9944039E-002, 1.0370691E-001, 2.2770077E+000, 9.9306478E-006, 9.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000000E-002, 9.3689501E-002, 1.0802808E-001, 2.2773236E+000, 9.9618947E-006, 9.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2000000E-002, 9.7091328E-002, 1.1195977E-001, 2.0745083E+000, 9.9598939E-006, 3.6000000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.4000000E-002, 1.0047360E-001, 1.1586268E-001, 2.0576512E+000, 9.9888017E-006, 9.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.6000000E-002, 1.0385481E-001, 1.1976370E-001, 2.0563030E+000, 9.9012768E-006, 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.8000000E-002, 1.0723486E-001, 1.2366295E-001, 2.0551383E+000, 9.6598438E-006, 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-002, 1.1061301E-001, 1.2755929E-001, 2.0540992E+000, 9.6072952E-006, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2000000E-002, 1.1398754E-001, 1.3145220E-001, 2.0538553E+000, 9.9068244E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4000000E-002, 1.1736295E-001, 1.3534795E-001, 2.0564770E+000, 9.9811326E-006, 1.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6000000E-002, 1.2074485E-001, 1.3925188E-001, 2.0600401E+000, 9.9506715E-006, 4.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.8000000E-002, 1.2412693E-001, 1.4315538E-001, 2.0592590E+000, 9.9364441E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0000000E-002, 1.2750813E-001, 1.4705746E-001, 2.0588269E+000, 9.8359609E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.2000000E-002, 1.3088868E-001, 1.5095950E-001, 2.0600109E+000, 9.9369247E-006, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.4000000E-002, 1.3426972E-001, 1.5486245E-001, 2.0612296E+000, 9.9817406E-006, 1.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6000000E-002, 1.3765109E-001, 1.5876605E-001, 2.0607532E+000, 9.9981186E-006, 2.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.8000000E-002, 1.4103267E-001, 1.6266958E-001, 2.0606627E+000, 9.9664242E-006, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-002, 1.4441431E-001, 1.6657316E-001, 2.0614773E+000, 9.8828938E-006, 9.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.2000000E-002, 1.4779564E-001, 1.7047631E-001, 2.0615714E+000, 9.9963241E-006, 1.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.4000000E-002, 1.5117728E-001, 1.7438029E-001, 2.0630037E+000, 9.9796281E-006, 1.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.6000000E-002, 1.5455932E-001, 1.7828504E-001, 2.0624425E+000, 9.9770936E-006, 2.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.8000000E-002, 1.5794180E-001, 1.8218994E-001, 2.0627039E+000, 9.9267754E-006, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.0000000E-002, 1.6132421E-001, 1.8609444E-001, 2.0628882E+000, 9.9991945E-006, 9.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.2000000E-002, 1.6470675E-001, 1.8999933E-001, 2.0643594E+000, 9.9826522E-006, 1.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.4000000E-002, 1.6808971E-001, 1.9390536E-001, 2.0646542E+000, 9.9861154E-006, 2.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.6000000E-002, 1.7147329E-001, 1.9781161E-001, 2.0644203E+000, 9.9499394E-006, 1.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.8000000E-002, 1.7485724E-001, 2.0171818E-001, 2.0652813E+000, 9.9123416E-006, 1.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-001, 1.7824137E-001, 2.0562520E-001, 2.0658722E+000, 9.9673323E-006, 1.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0200000E-001, 1.8092017E-001, 2.0872563E-001, 1.6430574E+000, 9.9314914E-006, 4.5300000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0400000E-001, 1.8358008E-001, 2.1179788E-001, 1.6264275E+000, 9.9863069E-006, 8.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0600000E-001, 1.8623903E-001, 2.1486779E-001, 1.6245234E+000, 9.5662240E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0800000E-001, 1.8889685E-001, 2.1793556E-001, 1.6229500E+000, 8.3349935E-006, 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1000000E-001, 1.9155219E-001, 2.2099993E-001, 1.6218648E+000, 9.6471882E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1200000E-001, 1.9420708E-001, 2.2406570E-001, 1.6243625E+000, 9.9694861E-006, 1.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1400000E-001, 1.9687110E-001, 2.2714365E-001, 1.6297693E+000, 9.9445329E-006, 5.8000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1600000E-001, 1.9953606E-001, 2.3022164E-001, 1.6287531E+000, 9.9544826E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1800000E-001, 2.0220087E-001, 2.3329907E-001, 1.6285149E+000, 9.9414493E-006, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2000000E-001, 2.0486658E-001, 2.3637841E-001, 1.6308239E+000, 9.9943472E-006, 1.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2200000E-001, 2.0753378E-001, 2.3946016E-001, 1.6311104E+000, 9.9751897E-006, 2.8000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2400000E-001, 2.1020192E-001, 2.4254237E-001, 1.6304693E+000, 9.9105746E-006, 1.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2600000E-001, 2.1287100E-001, 2.4562597E-001, 1.6319734E+000, 9.9649021E-006, 1.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2800000E-001, 2.1554075E-001, 2.4871088E-001, 1.6322488E+000, 9.9785658E-006, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3000000E-001, 2.1821188E-001, 2.5179757E-001, 1.6331438E+000, 9.9708230E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3200000E-001, 2.2088399E-001, 2.5488578E-001, 1.6332720E+000, 9.9962151E-006, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3400000E-001, 2.2355730E-001, 2.5797559E-001, 1.6341295E+000, 9.9472610E-006, 1.4000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3600000E-001, 2.2623151E-001, 2.6106697E-001, 1.6345196E+000, 9.9979906E-006, 1.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3800000E-001, 2.2890699E-001, 2.6416025E-001, 1.6353247E+000, 9.9769416E-006, 1.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E-001, 2.3158356E-001, 2.6725528E-001, 1.6357193E+000, 9.9969324E-006, 1.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4200000E-001, 2.3426134E-001, 2.7035220E-001, 1.6364669E+000, 9.9795816E-006, 1.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4400000E-001, 2.3694027E-001, 2.7345113E-001, 1.6370326E+000, 9.9650194E-006, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4600000E-001, 2.3962040E-001, 2.7655194E-001, 1.6375659E+000, 9.9671141E-006, 1.8000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4800000E-001, 2.4230173E-001, 2.7965487E-001, 1.6383091E+000, 9.9612854E-006, 1.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5000000E-001, 2.4498427E-001, 2.8275991E-001, 1.6388648E+000, 9.9668067E-006, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5200000E-001, 2.4672007E-001, 2.8478058E-001, 1.0695147E+000, 9.9785098E-006, 4.9100000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5400000E-001, 2.4843760E-001, 2.8677466E-001, 1.0531540E+000, 9.9988812E-006, 8.8000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
