s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 3.7487256E-003, 4.3261707E-003, 2.2742052E+000, 5.7997895E-003, 1.0000000E+000, 4.3000000E+001, 5.4414191E-001, 4.6013808E-009
 4.0000000E-003, 7.4981696E-003, 8.6472165E-003, 2.2748470E+000, 4.8531174E-003, 1.0000000E+000, 4.1000000E+001, 5.3179391E-001, 5.1551525E-009
 6.0000000E-003, 1.1247997E-002, 1.2966202E-002, 2.2747714E+000, 1.1855013E-003, 1.0000000E+000, 4.0000000E+001, 5.3578861E-001, 4.2262948E-009
 8.0000000E-003, 1.4997816E-002, 1.7286133E-002, 2.2747863E+000, 1.3486839E-003, 1.0000000E+000, 4.0000000E+001, 5.4352718E-001, 6.2972617E-009
 1.0000000E-002, 1.8747258E-002, 2.1607684E-002, 2.2748398E+000, 1.7500718E-003, 1.0000000E+000, 4.0000000E+001, 5.4181646E-001, 7.9378606E-009
 1.2000000E-002, 2.2496454E-002, 2.5930289E-002, 2.2748928E+000, 9.2581647E-004, 1.0000000E+000, 4.0000000E+001, 5.4463711E-001, 5.4393086E-009
 1.4000000E-002, 2.6245487E-002, 3.0252968E-002, 2.2749347E+000, 4.3034425E-005, 1.0000000E+000, 3.8000000E+001, 5.7056527E-001, 9.4616903E-009
 1.6000000E-002, 2.9994488E-002, 3.4575293E-002, 2.2749736E+000, 3.6170960E-004, 1.0000000E+000, 3.9000000E+001, 5.5723187E-001, 9.3310238E-009
 1.8000000E-002, 3.3743416E-002, 3.8897230E-002, 2.2750210E+000, 3.0778185E-004, 1.0000000E+000, 3.9000000E+001, 5.5927758E-001, 9.4433135E-009
 2.0000000E-002, 3.7492241E-002, 4.3219020E-002, 2.2750828E+000, 9.0099052E-005, 1.0000000E+000, 3.8000000E+001, 5.5913592E-001, 6.8194414E-009
 2.2000000E-002, 4.1240897E-002, 4.7540826E-002, 2.2751590E+000, 7.0732914E-005, 1.0000000E+000, 3.9000000E+001, 5.7074708E-001, 8.0117421E-009
 2.4000000E-002, 4.4989367E-002, 5.1862713E-002, 2.2752466E+000, 9.9909342E-005, 1.0000000E+000, 3.9000000E+001, 5.5408991E-001, 3.0863373E-009
 2.6000000E-002, 4.8737632E-002, 5.6184629E-002, 2.2753432E+000, 5.8782173E-005, 1.0000000E+000, 4.0000000E+001, 5.6351825E-001, 2.9902049E-009
 2.8000000E-002, 5.2485700E-002, 6.0506521E-002, 2.2754480E+000, 1.1696902E-005, 1.0000000E+000, 4.0000000E+001, 5.6443951E-001, 3.1451737E-009
 3.0000000E-002, 5.6233558E-002, 6.4828342E-002, 2.2755615E+000, 3.5150437E-005, 1.0000000E+000, 3.9000000E+001, 5.6621885E-001, 6.8986631E-009
 3.2000000E-002, 5.9981206E-002, 6.9150094E-002, 2.2756845E+000, 3.5922040E-005, 1.0000000E+000, 3.9000000E+001, 5.6718078E-001, 7.8851984E-009
 3.4000000E-002, 6.3728627E-002, 7.3471778E-002, 2.2758175E+000, 2.7324833E-005, 1.0000000E+000, 4.0000000E+001, 5.6311532E-001, 3.5439420E-009
 3.6000000E-002, 6.7475817E-002, 7.7793408E-002, 2.2759607E+000, 2.0985968E-005, 1.0000000E+000, 4.0000000E+001, 5.6332595E-001, 3.8121596E-009
 3.8000000E-002, 7.1222764E-002, 8.2114978E-002, 2.2761138E+000, 2.0802936E-005, 1.0000000E+000, 4.0000000E+001, 5.6303098E-001, 3.9567126E-009
 4.0000000E-002, 7.4969469E-002, 8.6436491E-002, 2.2762768E+000, 2.4860229E-005, 1.0000000E+000, 4.0000000E+001, 5.6248694E-001, 4.0294783E-009
 4.2000000E-002, 7.8715926E-002, 9.0757937E-002, 2.2764499E+000, 2.9790271E-005, 1.0000000E+000, 4.0000000E+001, 5.6179846E-001, 4.0558839E-009
 4.4000000E-002, 8.2462140E-002, 9.5079316E-002, 2.2766331E+000, 3.3608889E-005, 1.0000000E+000, 4.0000000E+001, 5.6109333E-001, 4.0688093E-009
 4.6000000E-002, 8.6208107E-002, 9.9400627E-002, 2.2768266E+000, 3.6158820E-005, 1.0000000E+000, 4.0000000E+001, 5.6049638E-001, 4.1036835E-009
 4.8000000E-002, 8.9953835E-002, 1.0372187E-001, 2.2770304E+000, 3.8205019E-005, 1.0000000E+000, 4.0000000E+001, 5.6025800E-001, 4.2383470E-009
 5.0000000E-002, 9.3699324E-002, 1.0804306E-001, 2.2772449E+000, 4.0471327E-005, 1.0000000E+000, 4.0000000E+001, 5.6046182E-001, 4.5121795E-009
 5.2000000E-002, 9.7081807E-002, 1.1194551E-001, 2.0573989E+000, 5.3404383E-004, 1.0000000E+000, 4.1000000E+001, 5.6732080E-001, 8.4356746E-009
 5.4000000E-002, 1.0046406E-001, 1.1584846E-001, 2.0576367E+000, 4.4016927E-004, 1.0000000E+000, 4.0000000E+001, 5.5523352E-001, 5.7944844E-009
 5.6000000E-002, 1.0384610E-001, 1.1975157E-001, 2.0578704E+000, 8.7619990E-005, 1.0000000E+000, 4.0000000E+001, 5.5965577E-001, 4.5553076E-009
 5.8000000E-002, 1.0722798E-001, 1.2365458E-001, 2.0581055E+000, 1.6380467E-004, 1.0000000E+000, 4.0000000E+001, 5.6146693E-001, 5.8876332E-009
 6.0000000E-002, 1.1060975E-001, 1.2755741E-001, 2.0583470E+000, 2.0631063E-004, 1.0000000E+000, 4.0000000E+001, 5.6070689E-001, 6.4060224E-009
 6.2000000E-002, 1.1399140E-001, 1.3146015E-001, 2.0585990E+000, 1.3067842E-004, 1.0000000E+000, 4.0000000E+001, 5.6131479E-001, 6.2170674E-009
 6.4000000E-002, 1.1737295E-001, 1.3536289E-001, 2.0588625E+000, 7.1292563E-005, 1.0000000E+000, 4.0000000E+001, 5.5839972E-001, 4.7937038E-009
 6.6000000E-002, 1.2075441E-001, 1.3926569E-001, 2.0591369E+000, 5.2788349E-005, 1.0000000E+000, 4.0000000E+001, 5.6212287E-001, 6.3644636E-009
 6.8000000E-002, 1.2413578E-001, 1.4316856E-001, 2.0594213E+000, 6.3086047E-005, 1.0000000E+000, 4.0000000E+001, 5.6187803E-001, 6.5031908E-009
 7.0000000E-002, 1.2751710E-001, 1.4707151E-001, 2.0597151E+000, 8.4064828E-005, 1.0000000E+000, 4.0000000E+001, 5.5982743E-001, 5.8988505E-009
 7.2000000E-002, 1.3089840E-001, 1.5097453E-001, 2.0600186E+000, 1.0172988E-004, 1.0000000E+000, 4.0000000E+001, 5.5617116E-001, 4.7654963E-009
 7.4000000E-002, 1.3427971E-001, 1.5487764E-001, 2.0603323E+000, 1.1237639E-004, 1.0000000E+000, 4.0000000E+001, 5.5486958E-001, 4.5214841E-009
 7.6000000E-002, 1.3766104E-001, 1.5878086E-001, 2.0606564E+000, 1.1896740E-004, 1.0000000E+000, 4.0000000E+001, 5.5551736E-001, 4.9091338E-009
 7.8000000E-002, 1.4104244E-001, 1.6268422E-001, 2.0609913E+000, 1.2559215E-004, 1.0000000E+000, 4.0000000E+001, 5.5635005E-001, 5.3964937E-009
 8.0000000E-002, 1.4442392E-001, 1.6658777E-001, 2.0613372E+000, 1.3438356E-004, 1.0000000E+000, 4.0000000E+001, 5.5656765E-001, 5.6839056E-009
 8.2000000E-002, 1.4780553E-001, 1.7049151E-001, 2.0616940E+000, 1.4533037E-004, 1.0000000E+000, 4.0000000E+001, 5.5625652E-001, 5.7721453E-009
 8.4000000E-002, 1.5118728E-001, 1.7439549E-001, 2.0620619E+000, 1.5747749E-004, 1.0000000E+000, 4.0000000E+001, 5.5579850E-001, 5.8034577E-009
 8.6000000E-002, 1.5456923E-001, 1.7829974E-001, 2.0624412E+000, 1.7002621E-004, 1.0000000E+000, 4.0000000E+001, 5.5548676E-001, 5.8951820E-009
 8.8000000E-002, 1.5795141E-001, 1.8220429E-001, 2.0628320E+000, 1.8273157E-004, 1.0000000E+000, 4.0000000E+001, 5.5537922E-001, 6.0739413E-009
 9.0000000E-002, 1.6133385E-001, 1.8610919E-001, 2.0632345E+000, 1.9574687E-004, 1.0000000E+000, 4.0000000E+001, 5.5539795E-001, 6.3131199E-009
 9.2000000E-002, 1.6471660E-001, 1.9001447E-001, 2.0636490E+000, 2.0931431E-004, 1.0000000E+000, 4.0000000E+001, 5.5545792E-001, 6.5807454E-009
 9.4000000E-002, 1.6809968E-001, 1.9392018E-001, 2.0640756E+000, 2.2357266E-004, 1.0000000E+000, 4.0000000E+001, 5.5551454E-001, 6.8586957E-009
 9.6000000E-002, 1.7148315E-001, 1.9782636E-001, 2.0645145E+000, 2.3853265E-004, 1.0000000E+000, 4.0000000E+001, 5.5555802E-001, 7.1425386E-009
 9.8000000E-002, 1.7486705E-001, 2.0173307E-001, 2.0649659E+000, 2.5414171E-004, 1.0000000E+000, 4.0000000E+001, 5.5559190E-001, 7.4336921E-009
 1.0000000E-001, 1.7825142E-001, 2.0564036E-001, 2.0654300E+000, 2.7034941E-004, 1.0000000E+000, 4.0000000E+001, 5.5562072E-001, 7.7343954E-009
 1.0200000E-001, 1.8091076E-001, 2.0871093E-001, 1.6259351E+000, 9.6302058E-004, 1.0000000E+000, 4.2000000E+001, 5.5499969E-001, 4.0203895E-009
 1.0400000E-001, 1.8357065E-001, 2.1178328E-001, 1.6263829E+000, 7.7831504E-004, 1.0000000E+000, 4.1000000E+001, 5.4557781E-001, 2.8509808E-009
 1.0600000E-001, 1.8623112E-001, 2.1485678E-001, 1.6268136E+000, 1.5288376E-004, 1.0000000E+000, 4.1000000E+001, 5.5930317E-001, 4.7857046E-009
 1.0800000E-001, 1.8889231E-001, 2.1793094E-001, 1.6272379E+000, 5.3816593E-004, 1.0000000E+000, 4.1000000E+001, 5.5678796E-001, 5.4147445E-009
 1.1000000E-001, 1.9155429E-001, 2.2100564E-001, 1.6276661E+000, 6.3303309E-004, 1.0000000E+000, 4.1000000E+001, 5.5558581E-001, 5.7257027E-009
 1.1200000E-001, 1.9421708E-001, 2.2408108E-001, 1.6281059E+000, 5.1171910E-004, 1.0000000E+000, 4.1000000E+001, 5.5601106E-001, 5.4379820E-009
 1.1400000E-001, 1.9688069E-001, 2.2715748E-001, 1.6285593E+000, 3.7314340E-004, 1.0000000E+000, 4.0000000E+001, 5.5497775E-001, 8.2998945E-009
 1.1600000E-001, 1.9954512E-001, 2.3023500E-001, 1.6290249E+000, 3.3470078E-004, 1.0000000E+000, 4.0000000E+001, 5.5713759E-001, 9.5863527E-009
 1.1800000E-001, 2.0221041E-001, 2.3331369E-001, 1.6295006E+000, 3.5506181E-004, 1.0000000E+000, 4.1000000E+001, 5.4875849E-001, 2.9782524E-009
 1.2000000E-001, 2.0487659E-001, 2.3639358E-001, 1.6299852E+000, 4.0021531E-004, 1.0000000E+000, 4.1000000E+001, 5.4897553E-001, 3.1973789E-009
 1.2200000E-001, 2.0754369E-001, 2.3947468E-001, 1.6304789E+000, 4.4488920E-004, 1.0000000E+000, 4.0000000E+001, 5.5457490E-001, 9.1913455E-009
 1.2400000E-001, 2.1021175E-001, 2.4255706E-001, 1.6309823E+000, 4.6822764E-004, 1.0000000E+000, 4.0000000E+001, 5.5437351E-001, 9.4079926E-009
 1.2600000E-001, 2.1288080E-001, 2.4564077E-001, 1.6314959E+000, 4.7836261E-004, 1.0000000E+000, 4.0000000E+001, 5.5469488E-001, 9.9228573E-009
 1.2800000E-001, 2.1555086E-001, 2.4872591E-001, 1.6320200E+000, 4.8692189E-004, 1.0000000E+000, 4.1000000E+001, 5.4804158E-001, 3.4555220E-009
 1.3000000E-001, 2.1822194E-001, 2.5181253E-001, 1.6325544E+000, 5.0002544E-004, 1.0000000E+000, 4.1000000E+001, 5.4924213E-001, 3.9006493E-009
 1.3200000E-001, 2.2089409E-001, 2.5490071E-001, 1.6330990E+000, 5.1760778E-004, 1.0000000E+000, 4.1000000E+001, 5.4970154E-001, 4.1739469E-009
 1.3400000E-001, 2.2356731E-001, 2.5799051E-001, 1.6336537E+000, 5.3683451E-004, 1.0000000E+000, 4.1000000E+001, 5.4993693E-001, 4.3946780E-009
 1.3600000E-001, 2.2624164E-001, 2.6108200E-001, 1.6342185E+000, 5.5528692E-004, 1.0000000E+000, 4.1000000E+001, 5.5023161E-001, 4.6448272E-009
 1.3800000E-001, 2.2891709E-001, 2.6417523E-001, 1.6347933E+000, 5.7213095E-004, 1.0000000E+000, 4.1000000E+001, 5.5063538E-001, 4.9445663E-009
 1.4000000E-001, 2.3159369E-001, 2.6727027E-001, 1.6353781E+000, 5.8768599E-004, 1.0000000E+000, 4.1000000E+001, 5.5106048E-001, 5.2677936E-009
 1.4200000E-001, 2.3427144E-001, 2.7036718E-001, 1.6359727E+000, 6.0254016E-004, 1.0000000E+000, 4.1000000E+001, 5.5142730E-001, 5.5847970E-009
 1.4400000E-001, 2.3695037E-001, 2.7346603E-001, 1.6365770E+000, 6.1699524E-004, 1.0000000E+000, 4.1000000E+001, 5.5170937E-001, 5.8811976E-009
 1.4600000E-001, 2.3963049E-001, 2.7656688E-001, 1.6371909E+000, 6.3099231E-004, 1.0000000E+000, 4.1000000E+001, 5.5191176E-001, 6.1540649E-009
 1.4800000E-001, 2.4231182E-001, 2.7966979E-001, 1.6378141E+000, 6.4429640E-004, 1.0000000E+000, 4.1000000E+001, 5.5204600E-001, 6.4038025E-009
 1.5000000E-001, 2.4499437E-001, 2.8277481E-001, 1.6384464E+000, 6.5668613E-004, 1.0000000E+000, 4.1000000E+001, 5.5211807E-001, 6.6291642E-009
 1.5200000E-001, 2.4671074E-001, 2.8476550E-001, 1.0526363E+000, 1.2570192E-003, 1.0000000E+000, 4.2000000E+001, 5.5395184E-001, 5.7309573E-009
 1.5400000E-001, 2.4842828E-001, 2.8675977E-001, 1.0531744E+000, 1.0650328E-003, 1.0000000E+000, 4.1000000E+001, 5.4382967E-001, 4.0657749E-009
