s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 3.7492676E-003, 4.3215126E-003, 2.2739923E+000, 8.3234024E-006, 1.1000000E+001, 3.6000000E+001, 5.8539714E-001, 7.2745918E-009
 4.0000000E-003, 7.4987905E-003, 8.6433830E-003, 2.2748066E+000, 6.2003190E-006, 1.0000000E+000, 3.8000000E+001, 5.9017994E-001, 6.4315792E-009
 6.0000000E-003, 1.1248223E-002, 1.2965222E-002, 2.2748095E+000, 3.8630900E-006, 1.0000000E+000, 3.8000000E+001, 5.8266277E-001, 6.1530964E-009
 8.0000000E-003, 1.4997669E-002, 1.7287161E-002, 2.2748214E+000, 3.8828968E-006, 1.0000000E+000, 3.7000000E+001, 5.7303783E-001, 7.9555038E-009
 1.0000000E-002, 1.8747006E-002, 2.1609081E-002, 2.2748426E+000, 4.9190626E-006, 1.0000000E+000, 3.8000000E+001, 5.6349783E-001, 3.0900866E-009
 1.2000000E-002, 2.2496298E-002, 2.5931061E-002, 2.2748728E+000, 5.8084231E-006, 1.0000000E+000, 3.8000000E+001, 5.7406694E-001, 7.6394407E-009
 1.4000000E-002, 2.6245466E-002, 3.0253022E-002, 2.2749120E+000, 6.3015732E-006, 1.0000000E+000, 3.9000000E+001, 5.7325743E-001, 4.8746651E-009
 1.6000000E-002, 2.9994539E-002, 3.4575007E-002, 2.2749605E+000, 7.4755530E-006, 1.0000000E+000, 3.9000000E+001, 5.7501984E-001, 6.3526045E-009
 1.8000000E-002, 3.3743468E-002, 3.8896974E-002, 2.2750181E+000, 8.8403705E-006, 1.0000000E+000, 3.9000000E+001, 5.7508085E-001, 7.2409823E-009
 2.0000000E-002, 3.7492264E-002, 4.3218935E-002, 2.2750851E+000, 4.1201863E-006, 2.0000000E+000, 3.6000000E+001, 5.8372794E-001, 3.3210981E-009
 2.2000000E-002, 4.1240892E-002, 4.7540874E-002, 2.2751614E+000, 8.0552194E-006, 1.0000000E+000, 3.9000000E+001, 5.7564688E-001, 9.2287915E-009
 2.4000000E-002, 4.4989354E-002, 5.1862792E-002, 2.2752470E+000, 4.6719213E-006, 2.0000000E+000, 3.6000000E+001, 5.8295392E-001, 3.5937056E-009
 2.6000000E-002, 4.8737624E-002, 5.6184672E-002, 2.2753420E+000, 4.0556887E-006, 2.0000000E+000, 3.5000000E+001, 5.9341764E-001, 9.8195563E-009
 2.8000000E-002, 5.2485701E-002, 6.0506519E-002, 2.2754465E+000, 4.4305224E-006, 2.0000000E+000, 3.6000000E+001, 5.8250493E-001, 3.2708355E-009
 3.0000000E-002, 5.6233565E-002, 6.4828317E-002, 2.2755605E+000, 4.9876879E-006, 2.0000000E+000, 3.6000000E+001, 5.8264483E-001, 3.6665393E-009
 3.2000000E-002, 5.9981214E-002, 6.9150069E-002, 2.2756842E+000, 5.5122163E-006, 2.0000000E+000, 3.6000000E+001, 5.8267168E-001, 4.0224642E-009
 3.4000000E-002, 6.3728633E-002, 7.3471762E-002, 2.2758174E+000, 5.4355133E-006, 2.0000000E+000, 3.6000000E+001, 5.8190275E-001, 3.8257253E-009
 3.6000000E-002, 6.7475821E-002, 7.7793400E-002, 2.2759605E+000, 6.1776146E-006, 2.0000000E+000, 3.6000000E+001, 5.8187082E-001, 4.3222481E-009
 3.8000000E-002, 7.1222767E-002, 8.2114972E-002, 2.2761134E+000, 6.9789023E-006, 2.0000000E+000, 3.6000000E+001, 5.8202361E-001, 4.9005647E-009
 4.0000000E-002, 7.4969472E-002, 8.6436483E-002, 2.2762764E+000, 7.6520714E-006, 2.0000000E+000, 3.6000000E+001, 5.8186743E-001, 5.3392762E-009
 4.2000000E-002, 7.8715930E-002, 9.0757925E-002, 2.2764494E+000, 8.2828063E-006, 2.0000000E+000, 3.6000000E+001, 5.8154371E-001, 5.7170246E-009
 4.4000000E-002, 8.2462144E-002, 9.5079302E-002, 2.2766325E+000, 8.9440185E-006, 2.0000000E+000, 3.6000000E+001, 5.8115950E-001, 6.1036086E-009
 4.6000000E-002, 8.6208112E-002, 9.9400612E-002, 2.2768260E+000, 9.6509183E-006, 2.0000000E+000, 3.6000000E+001, 5.8074226E-001, 6.5149564E-009
 4.8000000E-002, 8.9953839E-002, 1.0372186E-001, 2.2770299E+000, 4.7598085E-006, 3.0000000E+000, 3.6000000E+001, 5.8391263E-001, 3.7788470E-009
 5.0000000E-002, 9.3699328E-002, 1.0804304E-001, 2.2772444E+000, 9.3919454E-006, 2.0000000E+000, 3.6000000E+001, 5.7859362E-001, 5.9009182E-009
 5.2000000E-002, 9.7081760E-002, 1.1194593E-001, 2.0574184E+000, 9.2664113E-006, 7.0000000E+000, 3.6000000E+001, 5.8527198E-001, 7.9186311E-009
 5.4000000E-002, 1.0046401E-001, 1.1584881E-001, 2.0576402E+000, 6.4933326E-006, 2.0000000E+000, 3.5000000E+001, 5.7754171E-001, 7.8250764E-009
 5.6000000E-002, 1.0384608E-001, 1.1975165E-001, 2.0578661E+000, 5.9989798E-006, 3.0000000E+000, 3.6000000E+001, 5.8131508E-001, 4.5657997E-009
 5.8000000E-002, 1.0722800E-001, 1.2365446E-001, 2.0581015E+000, 5.8460005E-006, 3.0000000E+000, 3.6000000E+001, 5.8068594E-001, 4.3949883E-009
 6.0000000E-002, 1.1060978E-001, 1.2755726E-001, 2.0583461E+000, 5.4386045E-006, 3.0000000E+000, 3.6000000E+001, 5.7927645E-001, 3.8723541E-009
 6.2000000E-002, 1.1399142E-001, 1.3146005E-001, 2.0586002E+000, 6.2119949E-006, 3.0000000E+000, 3.6000000E+001, 5.7860347E-001, 4.1415644E-009
 6.4000000E-002, 1.1737296E-001, 1.3536286E-001, 2.0588639E+000, 7.0635869E-006, 3.0000000E+000, 3.6000000E+001, 5.7795108E-001, 4.4055006E-009
 6.6000000E-002, 1.2075440E-001, 1.3926569E-001, 2.0591374E+000, 7.8661196E-006, 3.0000000E+000, 3.6000000E+001, 5.7705888E-001, 4.5388476E-009
 6.8000000E-002, 1.2413578E-001, 1.4316856E-001, 2.0594207E+000, 8.7008636E-006, 3.0000000E+000, 3.6000000E+001, 5.7590907E-001, 4.5817374E-009
 7.0000000E-002, 1.2751710E-001, 1.4707149E-001, 2.0597140E+000, 9.5957808E-006, 3.0000000E+000, 3.6000000E+001, 5.7454287E-001, 4.5580348E-009
 7.2000000E-002, 1.3089840E-001, 1.5097450E-001, 2.0600174E+000, 5.3894425E-006, 4.0000000E+000, 3.5000000E+001, 5.8542434E-001, 8.1238843E-009
 7.4000000E-002, 1.3427971E-001, 1.5487760E-001, 2.0603313E+000, 5.3241337E-006, 4.0000000E+000, 3.5000000E+001, 5.8540274E-001, 7.9263802E-009
 7.6000000E-002, 1.3766104E-001, 1.5878082E-001, 2.0606555E+000, 5.7519739E-006, 4.0000000E+000, 3.5000000E+001, 5.8565678E-001, 8.6022765E-009
 7.8000000E-002, 1.4104243E-001, 1.6268419E-001, 2.0609904E+000, 6.4521865E-006, 4.0000000E+000, 3.5000000E+001, 5.8589068E-001, 9.6895234E-009
 8.0000000E-002, 1.4442392E-001, 1.6658774E-001, 2.0613361E+000, 7.0378947E-006, 4.0000000E+000, 3.6000000E+001, 5.7608944E-001, 3.3439602E-009
 8.2000000E-002, 1.4780552E-001, 1.7049148E-001, 2.0616929E+000, 7.6190467E-006, 4.0000000E+000, 3.6000000E+001, 5.7577247E-001, 3.5202811E-009
 8.4000000E-002, 1.5118728E-001, 1.7439546E-001, 2.0620607E+000, 8.2336256E-006, 4.0000000E+000, 3.6000000E+001, 5.7540857E-001, 3.6911393E-009
 8.6000000E-002, 1.5456923E-001, 1.7829971E-001, 2.0624400E+000, 8.8818149E-006, 4.0000000E+000, 3.6000000E+001, 5.7501801E-001, 3.8593792E-009
 8.8000000E-002, 1.5795140E-001, 1.8220426E-001, 2.0628308E+000, 9.5627166E-006, 4.0000000E+000, 3.6000000E+001, 5.7460987E-001, 4.0254157E-009
 9.0000000E-002, 1.6133384E-001, 1.8610916E-001, 2.0632333E+000, 5.3228455E-006, 5.0000000E+000, 3.5000000E+001, 5.8620865E-001, 7.7422884E-009
 9.2000000E-002, 1.6471658E-001, 1.9001444E-001, 2.0636477E+000, 5.2974687E-006, 5.0000000E+000, 3.5000000E+001, 5.8564767E-001, 7.4256776E-009
 9.4000000E-002, 1.6809967E-001, 1.9392015E-001, 2.0640742E+000, 5.8426225E-006, 5.0000000E+000, 3.5000000E+001, 5.8538660E-001, 8.0318853E-009
 9.6000000E-002, 1.7148314E-001, 1.9782633E-001, 2.0645131E+000, 6.2634766E-006, 5.0000000E+000, 3.5000000E+001, 5.8503813E-001, 8.4002477E-009
 9.8000000E-002, 1.7486703E-001, 2.0173304E-001, 2.0649645E+000, 6.6794524E-006, 5.0000000E+000, 3.5000000E+001, 5.8465806E-001, 8.7242632E-009
 1.0000000E-001, 1.7825140E-001, 2.0564033E-001, 2.0654286E+000, 7.1146259E-006, 5.0000000E+000, 3.5000000E+001, 5.8427416E-001, 9.0507332E-009
 1.0200000E-001, 1.8091063E-001, 2.0871179E-001, 1.6259742E+000, 9.2252114E-006, 8.0000000E+000, 3.6000000E+001, 5.8593794E-001, 8.4385566E-009
 1.0400000E-001, 1.8357050E-001, 2.1178399E-001, 1.6263892E+000, 6.9220447E-006, 5.0000000E+000, 3.5000000E+001, 5.8034560E-001, 6.8119837E-009
 1.0600000E-001, 1.8623105E-001, 2.1485694E-001, 1.6268046E+000, 8.3199835E-006, 5.0000000E+000, 3.5000000E+001, 5.8272349E-001, 9.5289429E-009
 1.0800000E-001, 1.8889231E-001, 2.1793070E-001, 1.6272296E+000, 8.4267519E-006, 5.0000000E+000, 3.5000000E+001, 5.8169301E-001, 9.0302510E-009
 1.1000000E-001, 1.9155431E-001, 2.2100534E-001, 1.6276642E+000, 8.7952770E-006, 5.0000000E+000, 3.5000000E+001, 5.8120812E-001, 9.1363437E-009
 1.1200000E-001, 1.9421708E-001, 2.2408090E-001, 1.6281084E+000, 9.2137375E-006, 5.0000000E+000, 3.5000000E+001, 5.8083615E-001, 9.3464224E-009
 1.1400000E-001, 1.9688066E-001, 2.2715744E-001, 1.6285623E+000, 9.6364813E-006, 5.0000000E+000, 3.5000000E+001, 5.8045419E-001, 9.5412426E-009
 1.1600000E-001, 1.9954507E-001, 2.3023503E-001, 1.6290261E+000, 5.2923150E-006, 6.0000000E+000, 3.5000000E+001, 5.8177631E-001, 5.6325051E-009
 1.1800000E-001, 2.0221036E-001, 2.3331371E-001, 1.6294997E+000, 5.3027338E-006, 6.0000000E+000, 3.5000000E+001, 5.8121771E-001, 5.4569222E-009
 1.2000000E-001, 2.0487654E-001, 2.3639357E-001, 1.6299833E+000, 5.6238007E-006, 6.0000000E+000, 3.5000000E+001, 5.8098551E-001, 5.7029258E-009
 1.2200000E-001, 2.0754365E-001, 2.3947465E-001, 1.6304770E+000, 5.8565907E-006, 6.0000000E+000, 3.5000000E+001, 5.8066189E-001, 5.8221712E-009
 1.2400000E-001, 2.1021171E-001, 2.4255702E-001, 1.6309808E+000, 6.0847755E-006, 6.0000000E+000, 3.5000000E+001, 5.8032495E-001, 5.9258278E-009
 1.2600000E-001, 2.1288075E-001, 2.4564074E-001, 1.6314947E+000, 6.3156551E-006, 6.0000000E+000, 3.5000000E+001, 5.7999180E-001, 6.0272619E-009
 1.2800000E-001, 2.1555081E-001, 2.4872589E-001, 1.6320189E+000, 6.5479094E-006, 6.0000000E+000, 3.5000000E+001, 5.7966103E-001, 6.1248755E-009
 1.3000000E-001, 2.1822189E-001, 2.5181252E-001, 1.6325532E+000, 6.7808420E-006, 6.0000000E+000, 3.5000000E+001, 5.7933237E-001, 6.2181196E-009
 1.3200000E-001, 2.2089404E-001, 2.5490070E-001, 1.6330977E+000, 7.0138270E-006, 6.0000000E+000, 3.5000000E+001, 5.7900598E-001, 6.3067117E-009
 1.3400000E-001, 2.2356726E-001, 2.5799050E-001, 1.6336523E+000, 7.2461916E-006, 6.0000000E+000, 3.5000000E+001, 5.7868106E-001, 6.3899879E-009
 1.3600000E-001, 2.2624159E-001, 2.6108198E-001, 1.6342171E+000, 7.4772203E-006, 6.0000000E+000, 3.5000000E+001, 5.7835832E-001, 6.4678679E-009
 1.3800000E-001, 2.2891704E-001, 2.6417521E-001, 1.6347920E+000, 7.7061588E-006, 6.0000000E+000, 3.5000000E+001, 5.7803693E-001, 6.5396675E-009
 1.4000000E-001, 2.3159363E-001, 2.6727026E-001, 1.6353768E+000, 7.9322178E-006, 6.0000000E+000, 3.5000000E+001, 5.7771650E-001, 6.6048813E-009
 1.4200000E-001, 2.3427138E-001, 2.7036717E-001, 1.6359714E+000, 8.1545773E-006, 6.0000000E+000, 3.5000000E+001, 5.7739616E-001, 6.6628028E-009
 1.4400000E-001, 2.3695031E-001, 2.7346603E-001, 1.6365757E+000, 8.3723928E-006, 6.0000000E+000, 3.5000000E+001, 5.7707534E-001, 6.7128636E-009
 1.4600000E-001, 2.3963044E-001, 2.7656688E-001, 1.6371896E+000, 8.5848011E-006, 6.0000000E+000, 3.5000000E+001, 5.7675310E-001, 6.7543599E-009
 1.4800000E-001, 2.4231177E-001, 2.7966979E-001, 1.6378128E+000, 8.7909299E-006, 6.0000000E+000, 3.5000000E+001, 5.7642743E-001, 6.7861680E-009
 1.5000000E-001, 2.4499432E-001, 2.8277481E-001, 1.6384451E+000, 8.9899057E-006, 6.0000000E+000, 3.5000000E+001, 5.7609677E-001, 6.8073775E-009
 1.5200000E-001, 2.4671054E-001, 2.8476669E-001, 1.0526893E+000, 6.3144224E-006, 9.0000000E+000, 3.6000000E+001, 5.8649797E-001, 6.0407229E-009
 1.5400000E-001, 2.4842806E-001, 2.8676076E-001, 1.0531832E+000, 8.1977891E-006, 6.0000000E+000, 3.5000000E+001, 5.7137358E-001, 4.6975665E-009
