s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 3.7492691E-003, 4.3215055E-003, 2.2739920E+000, 3.4694470E-018, 1.0000000E+000, 4.1000000E+001, 5.2169574E-001, 2.5752419E-009
 4.0000000E-003, 7.4987940E-003, 8.6433749E-003, 2.2748067E+000, 0.0000000E+000, 1.0000000E+000, 3.5000000E+001, 5.7036982E-001, 8.8403017E-009
 6.0000000E-003, 1.1248226E-002, 1.2965217E-002, 2.2748095E+000, 3.4694470E-018, 1.0000000E+000, 3.5000000E+001, 5.4637755E-001, 3.2385606E-009
 8.0000000E-003, 1.4997671E-002, 1.7287159E-002, 2.2748215E+000, 0.0000000E+000, 1.0000000E+000, 3.5000000E+001, 5.4138969E-001, 3.2786145E-009
 1.0000000E-002, 1.8747007E-002, 2.1609078E-002, 2.2748425E+000, 3.4694470E-018, 1.0000000E+000, 3.5000000E+001, 5.4492878E-001, 5.2859879E-009
 1.2000000E-002, 2.2496300E-002, 2.5931057E-002, 2.2748727E+000, 6.9388939E-018, 1.0000000E+000, 3.5000000E+001, 5.4259331E-001, 5.5541166E-009
 1.4000000E-002, 2.6245468E-002, 3.0253017E-002, 2.2749120E+000, 6.9388939E-018, 1.0000000E+000, 3.5000000E+001, 5.4501128E-001, 7.6657832E-009
 1.6000000E-002, 2.9994541E-002, 3.4575002E-002, 2.2749605E+000, 0.0000000E+000, 1.0000000E+000, 3.5000000E+001, 5.4425496E-001, 8.4248744E-009
 1.8000000E-002, 3.3743471E-002, 3.8896967E-002, 2.2750182E+000, 6.9388939E-018, 1.0000000E+000, 3.6000000E+001, 5.3731725E-001, 3.2750955E-009
 2.0000000E-002, 3.7492265E-002, 4.3218931E-002, 2.2750851E+000, 0.0000000E+000, 1.0000000E+000, 3.6000000E+001, 5.3740688E-001, 3.6841088E-009
 2.2000000E-002, 4.1240894E-002, 4.7540869E-002, 2.2751614E+000, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 5.3764631E-001, 4.1406192E-009
 2.4000000E-002, 4.4989355E-002, 5.1862788E-002, 2.2752469E+000, 1.3877788E-017, 1.0000000E+000, 3.6000000E+001, 5.3781824E-001, 4.5918667E-009
 2.6000000E-002, 4.8737626E-002, 5.6184669E-002, 2.2753419E+000, 1.3877788E-017, 1.0000000E+000, 3.6000000E+001, 5.3800447E-001, 5.0599774E-009
 2.8000000E-002, 5.2485702E-002, 6.0506516E-002, 2.2754464E+000, 0.0000000E+000, 1.0000000E+000, 3.6000000E+001, 5.3811463E-001, 5.5135810E-009
 3.0000000E-002, 5.6233566E-002, 6.4828313E-002, 2.2755604E+000, 1.3877788E-017, 1.0000000E+000, 3.6000000E+001, 5.3756812E-001, 5.7197359E-009
 3.2000000E-002, 5.9981215E-002, 6.9150064E-002, 2.2756840E+000, 1.3877788E-017, 1.0000000E+000, 3.5000000E+001, 5.2975762E-001, 6.8292647E-009
 3.4000000E-002, 6.3728634E-002, 7.3471757E-002, 2.2758174E+000, 0.0000000E+000, 1.0000000E+000, 3.6000000E+001, 5.3856323E-001, 6.9893206E-009
 3.6000000E-002, 6.7475822E-002, 7.7793395E-002, 2.2759605E+000, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 5.3918729E-001, 7.7507966E-009
 3.8000000E-002, 7.1222768E-002, 8.2114967E-002, 2.2761134E+000, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 5.3956901E-001, 8.4326552E-009
 4.0000000E-002, 7.4969474E-002, 8.6436477E-002, 2.2762764E+000, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 5.3992958E-001, 9.1383411E-009
 4.2000000E-002, 7.8715932E-002, 9.0757919E-002, 2.2764494E+000, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 5.4029246E-001, 9.8825401E-009
 4.4000000E-002, 8.2462146E-002, 9.5079296E-002, 2.2766326E+000, 1.3877788E-017, 1.0000000E+000, 3.7000000E+001, 5.3216778E-001, 3.2112506E-009
 4.6000000E-002, 8.6208113E-002, 9.9400606E-002, 2.2768260E+000, 1.3877788E-017, 1.0000000E+000, 3.7000000E+001, 5.3286076E-001, 3.5439195E-009
 4.8000000E-002, 8.9953840E-002, 1.0372185E-001, 2.2770299E+000, 1.3877788E-017, 1.0000000E+000, 3.7000000E+001, 5.3353140E-001, 3.8987641E-009
 5.0000000E-002, 9.3699329E-002, 1.0804303E-001, 2.2772443E+000, 1.3877788E-017, 1.0000000E+000, 3.7000000E+001, 5.3417089E-001, 4.2737859E-009
 5.2000000E-002, 9.7081758E-002, 1.1194594E-001, 2.0574188E+000, 2.7755576E-017, 1.0000000E+000, 3.9000000E+001, 5.4509527E-001, 5.1775264E-009
 5.4000000E-002, 1.0046401E-001, 1.1584881E-001, 2.0576398E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.3585810E-001, 4.7622561E-009
 5.6000000E-002, 1.0384608E-001, 1.1975164E-001, 2.0578660E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.3632607E-001, 5.1247175E-009
 5.8000000E-002, 1.0722800E-001, 1.2365445E-001, 2.0581014E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.3632694E-001, 5.3358951E-009
 6.0000000E-002, 1.1060978E-001, 1.2755725E-001, 2.0583461E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.3325108E-001, 4.4874841E-009
 6.2000000E-002, 1.1399142E-001, 1.3146005E-001, 2.0586002E+000, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 5.3724692E-001, 6.1504591E-009
 6.4000000E-002, 1.1737296E-001, 1.3536286E-001, 2.0588639E+000, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 5.3821414E-001, 6.8312485E-009
 6.6000000E-002, 1.2075440E-001, 1.3926569E-001, 2.0591374E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.3882120E-001, 7.3971884E-009
 6.8000000E-002, 1.2413578E-001, 1.4316856E-001, 2.0594207E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.3933981E-001, 7.9571157E-009
 7.0000000E-002, 1.2751710E-001, 1.4707149E-001, 2.0597140E+000, 0.0000000E+000, 1.0000000E+000, 3.7000000E+001, 5.3982318E-001, 8.5344247E-009
 7.2000000E-002, 1.3089840E-001, 1.5097449E-001, 2.0600174E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.4028165E-001, 9.1336871E-009
 7.4000000E-002, 1.3427971E-001, 1.5487760E-001, 2.0603312E+000, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 5.4072338E-001, 9.7595518E-009
 7.6000000E-002, 1.3766104E-001, 1.5878082E-001, 2.0606555E+000, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 5.3074022E-001, 2.6937125E-009
 7.8000000E-002, 1.4104243E-001, 1.6268419E-001, 2.0609904E+000, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 5.3109304E-001, 2.8618896E-009
 8.0000000E-002, 1.4442391E-001, 1.6658773E-001, 2.0613361E+000, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 5.3145074E-001, 3.0406193E-009
 8.2000000E-002, 1.4780552E-001, 1.7049148E-001, 2.0616929E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3181464E-001, 3.2309847E-009
 8.4000000E-002, 1.5118728E-001, 1.7439546E-001, 2.0620607E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3218258E-001, 3.4333627E-009
 8.6000000E-002, 1.5456922E-001, 1.7829971E-001, 2.0624400E+000, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 5.3255360E-001, 3.6484073E-009
 8.8000000E-002, 1.5795140E-001, 1.8220426E-001, 2.0628308E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3292570E-001, 3.8765109E-009
 9.0000000E-002, 1.6133384E-001, 1.8610915E-001, 2.0632333E+000, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 5.3329698E-001, 4.1180564E-009
 9.2000000E-002, 1.6471658E-001, 1.9001444E-001, 2.0636477E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3366492E-001, 4.3731826E-009
 9.4000000E-002, 1.6809967E-001, 1.9392014E-001, 2.0640742E+000, 0.0000000E+000, 1.0000000E+000, 3.8000000E+001, 5.3402735E-001, 4.6420425E-009
 9.6000000E-002, 1.7148314E-001, 1.9782633E-001, 2.0645131E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3438173E-001, 4.9245598E-009
 9.8000000E-002, 1.7486703E-001, 2.0173304E-001, 2.0649645E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3472531E-001, 5.2204337E-009
 1.0000000E-001, 1.7825140E-001, 2.0564033E-001, 2.0654286E+000, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 5.3505556E-001, 5.5292613E-009
 1.0200000E-001, 1.8091063E-001, 2.0871180E-001, 1.6259746E+000, 2.2204460E-016, 1.0000000E+000, 4.0000000E+001, 5.3762060E-001, 3.4928562E-009
 1.0400000E-001, 1.8357050E-001, 2.1178399E-001, 1.6263889E+000, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.3635062E-001, 5.5398481E-009
 1.0600000E-001, 1.8623105E-001, 2.1485694E-001, 1.6268046E+000, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 5.3660231E-001, 5.8171805E-009
 1.0800000E-001, 1.8889230E-001, 2.1793070E-001, 1.6272296E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3682343E-001, 6.0972939E-009
 1.1000000E-001, 1.9155430E-001, 2.2100534E-001, 1.6276642E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3701283E-001, 6.3787926E-009
 1.1200000E-001, 1.9421708E-001, 2.2408090E-001, 1.6281084E+000, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 5.3716962E-001, 6.6602075E-009
 1.1400000E-001, 1.9688066E-001, 2.2715744E-001, 1.6285623E+000, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.3729298E-001, 6.9399173E-009
 1.1600000E-001, 1.9954507E-001, 2.3023503E-001, 1.6290260E+000, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 5.3738240E-001, 7.2163045E-009
 1.1800000E-001, 2.0221036E-001, 2.3331371E-001, 1.6294997E+000, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 5.3743754E-001, 7.4876893E-009
 1.2000000E-001, 2.0487654E-001, 2.3639357E-001, 1.6299833E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3745814E-001, 7.7523082E-009
 1.2200000E-001, 2.0754365E-001, 2.3947465E-001, 1.6304770E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3744406E-001, 8.0083801E-009
 1.2400000E-001, 2.1021171E-001, 2.4255702E-001, 1.6309808E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3739529E-001, 8.2541017E-009
 1.2600000E-001, 2.1288075E-001, 2.4564074E-001, 1.6314947E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3731184E-001, 8.4876572E-009
 1.2800000E-001, 2.1555081E-001, 2.4872589E-001, 1.6320189E+000, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 5.3719374E-001, 8.7072029E-009
 1.3000000E-001, 2.1822189E-001, 2.5181252E-001, 1.6325532E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3704102E-001, 8.9109161E-009
 1.3200000E-001, 2.2089404E-001, 2.5490070E-001, 1.6330977E+000, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.3685381E-001, 9.0970519E-009
 1.3400000E-001, 2.2356726E-001, 2.5799050E-001, 1.6336523E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3663214E-001, 9.2638886E-009
 1.3600000E-001, 2.2624159E-001, 2.6108198E-001, 1.6342171E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3637624E-001, 9.4099120E-009
 1.3800000E-001, 2.2891704E-001, 2.6417521E-001, 1.6347920E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3608600E-001, 9.5335138E-009
 1.4000000E-001, 2.3159363E-001, 2.6727026E-001, 1.6353767E+000, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.3576203E-001, 9.6337116E-009
 1.4200000E-001, 2.3427138E-001, 2.7036717E-001, 1.6359714E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3540473E-001, 9.7095873E-009
 1.4400000E-001, 2.3695031E-001, 2.7346603E-001, 1.6365757E+000, 0.0000000E+000, 1.0000000E+000, 3.8000000E+001, 5.3501490E-001, 9.7606802E-009
 1.4600000E-001, 2.3963043E-001, 2.7656688E-001, 1.6371896E+000, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.3459381E-001, 9.7870689E-009
 1.4800000E-001, 2.4231176E-001, 2.7966979E-001, 1.6378128E+000, 0.0000000E+000, 1.0000000E+000, 3.8000000E+001, 5.3414333E-001, 9.7894750E-009
 1.5000000E-001, 2.4499432E-001, 2.8277481E-001, 1.6384451E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3366610E-001, 9.7693593E-009
 1.5200000E-001, 2.4671054E-001, 2.8476670E-001, 1.0526896E+000, 1.1102230E-016, 1.0000000E+000, 4.0000000E+001, 5.3603109E-001, 4.6871144E-009
 1.5400000E-001, 2.4842806E-001, 2.8676076E-001, 1.0531829E+000, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.3188646E-001, 8.1365755E-009
