s,C,g/g,1/s
Time,Temp,Mass,MLR
0,23.01411,1,8.45E-05
6,24.01411,0.9994928,8.45E-05
12,25.01411,0.9994623,5.08E-06
18,26.01411,0.9993747,1.46E-05
24,27.01411,0.9993479,4.47E-06
30,28.01411,0.9992891,9.80E-06
36,29.01411,0.9993246,-5.92E-06
42,30.01411,0.9993081,2.75E-06
48,31.01411,0.9991664,2.36E-05
54,32.01411,0.999097,1.16E-05
60,33.01411,0.9990379,9.85E-06
66,34.01411,0.9989935,7.40E-06
72,35.01411,0.9989244,1.15E-05
78,36.01411,0.9988626,1.03E-05
84,37.01411,0.9987417,2.01E-05
90,38.01411,0.9986266,1.92E-05
96,39.01411,0.9984846,2.37E-05
102,40.01411,0.9983383,2.44E-05
108,41.01411,0.9982218,1.94E-05
114,42.01411,0.9980836,2.30E-05
120,43.01411,0.9979817,1.70E-05
126,44.01411,0.9978191,2.71E-05
132,45.01411,0.9976838,2.26E-05
138,46.01411,0.9974943,3.16E-05
144,47.01411,0.9973271,2.79E-05
150,48.01411,0.997168,2.65E-05
156,49.01411,0.997013,2.58E-05
162,50.01411,0.9968596,2.56E-05
168,51.01411,0.9966409,3.64E-05
174,52.01411,0.9963933,4.13E-05
180,53.01411,0.9961186,4.58E-05
186,54.01411,0.995917,3.36E-05
192,55.01411,0.9957107,3.44E-05
198,56.01411,0.9954435,4.45E-05
204,57.01411,0.9950957,5.80E-05
210,58.01411,0.9947697,5.43E-05
216,59.01411,0.9945007,4.48E-05
222,60.01411,0.9942227,4.63E-05
228,61.01411,0.9938516,6.19E-05
234,62.01411,0.9935205,5.52E-05
240,63.01411,0.9931595,6.02E-05
246,64.01411,0.9928393,5.34E-05
252,65.01411,0.9925233,5.27E-05
258,66.01411,0.9921585,6.08E-05
264,67.01411,0.9917157,7.38E-05
270,68.01411,0.9912821,7.23E-05
276,69.01411,0.990887,6.58E-05
282,70.01411,0.9904637,7.06E-05
288,71.01411,0.9900471,6.94E-05
294,72.01411,0.9896221,7.08E-05
300,73.01411,0.989133,8.15E-05
306,74.01411,0.9886552,7.96E-05
312,75.01411,0.9881828,7.87E-05
318,76.01411,0.9877493,7.23E-05
324,77.01411,0.9872898,7.66E-05
330,78.01411,0.9867798,8.50E-05
336,79.01411,0.9863029,7.95E-05
342,80.01411,0.98581,8.21E-05
348,81.01411,0.9853471,7.72E-05
354,82.01411,0.984861,8.10E-05
360,83.01411,0.9843899,7.85E-05
366,84.01411,0.983923,7.78E-05
372,85.01411,0.9834762,7.45E-05
378,86.01411,0.9830083,7.80E-05
384,87.01411,0.9825416,7.78E-05
390,88.01411,0.9820411,8.34E-05
396,89.01411,0.9816014,7.33E-05
402,90.01411,0.9811769,7.08E-05
408,91.01411,0.9807858,6.52E-05
414,92.01411,0.9803808,6.75E-05
420,93.01411,0.9799708,6.83E-05
426,94.01411,0.9795756,6.59E-05
432,95.01411,0.9792016,6.23E-05
438,96.01411,0.978871,5.51E-05
444,97.01411,0.9785168,5.90E-05
450,98.01411,0.9782136,5.05E-05
456,99.01411,0.9778961,5.29E-05
462,100.01411,0.9776098,4.77E-05
468,101.01411,0.9773288,4.68E-05
474,102.01411,0.9770789,4.16E-05
480,103.01411,0.9768463,3.88E-05
486,104.01411,0.9766062,4.00E-05
492,105.01411,0.9764058,3.34E-05
498,106.01411,0.9761719,3.90E-05
504,107.01411,0.9760289,2.38E-05
510,108.01411,0.9758542,2.91E-05
516,109.01411,0.9757188,2.26E-05
522,110.01411,0.9755269,3.20E-05
528,111.01411,0.9753763,2.51E-05
534,112.01411,0.9752525,2.06E-05
540,113.01411,0.975133,1.99E-05
546,114.01411,0.9750103,2.05E-05
552,115.01411,0.974918,1.54E-05
558,116.01411,0.9748542,1.06E-05
564,117.01411,0.9747915,1.04E-05
570,118.01411,0.9747113,1.34E-05
576,119.01411,0.9746331,1.30E-05
582,120.01411,0.9745678,1.09E-05
588,121.01411,0.9744798,1.47E-05
594,122.01411,0.9743949,1.41E-05
600,123.01411,0.9743176,1.29E-05
