Time (s),T (C) ,Mass (-),MLR (1/s)
1.00E-02,2.00E+01,1.00E+00,4.23E-18
6.00E+00,2.10E+01,1.00E+00,5.26E-18
1.20E+01,2.20E+01,1.00E+00,6.53E-18
1.80E+01,2.30E+01,1.00E+00,8.09E-18
2.40E+01,2.40E+01,1.00E+00,1.00E-17
3.00E+01,2.50E+01,1.00E+00,1.24E-17
3.60E+01,2.60E+01,1.00E+00,1.53E-17
4.20E+01,2.70E+01,1.00E+00,1.88E-17
4.80E+01,2.80E+01,1.00E+00,2.32E-17
5.40E+01,2.90E+01,1.00E+00,2.85E-17
6.00E+01,3.00E+01,1.00E+00,3.49E-17
6.60E+01,3.10E+01,1.00E+00,4.28E-17
7.20E+01,3.20E+01,1.00E+00,5.24E-17
7.80E+01,3.30E+01,1.00E+00,6.41E-17
8.40E+01,3.40E+01,1.00E+00,7.82E-17
9.00E+01,3.50E+01,1.00E+00,9.54E-17
9.60E+01,3.60E+01,1.00E+00,1.16E-16
1.02E+02,3.70E+01,1.00E+00,1.41E-16
1.08E+02,3.80E+01,1.00E+00,1.72E-16
1.14E+02,3.90E+01,1.00E+00,2.08E-16
1.20E+02,4.00E+01,1.00E+00,2.52E-16
1.26E+02,4.10E+01,1.00E+00,3.05E-16
1.32E+02,4.20E+01,1.00E+00,3.69E-16
1.38E+02,4.30E+01,1.00E+00,4.45E-16
1.44E+02,4.40E+01,1.00E+00,5.37E-16
1.50E+02,4.50E+01,1.00E+00,6.47E-16
1.56E+02,4.60E+01,1.00E+00,7.78E-16
1.62E+02,4.70E+01,1.00E+00,9.35E-16
1.68E+02,4.80E+01,1.00E+00,1.12E-15
1.74E+02,4.90E+01,1.00E+00,1.34E-15
1.80E+02,5.00E+01,1.00E+00,1.61E-15
1.86E+02,5.10E+01,1.00E+00,1.93E-15
1.92E+02,5.20E+01,1.00E+00,2.30E-15
1.98E+02,5.30E+01,1.00E+00,2.75E-15
2.04E+02,5.40E+01,1.00E+00,3.27E-15
2.10E+02,5.50E+01,1.00E+00,3.90E-15
2.16E+02,5.60E+01,1.00E+00,4.64E-15
2.22E+02,5.70E+01,1.00E+00,5.51E-15
2.28E+02,5.80E+01,1.00E+00,6.55E-15
2.34E+02,5.90E+01,1.00E+00,7.76E-15
2.40E+02,6.00E+01,1.00E+00,9.20E-15
2.46E+02,6.10E+01,1.00E+00,1.09E-14
2.52E+02,6.20E+01,1.00E+00,1.29E-14
2.58E+02,6.30E+01,1.00E+00,1.52E-14
2.64E+02,6.40E+01,1.00E+00,1.79E-14
2.70E+02,6.50E+01,1.00E+00,2.12E-14
2.76E+02,6.60E+01,1.00E+00,2.49E-14
2.82E+02,6.70E+01,1.00E+00,2.93E-14
2.88E+02,6.80E+01,1.00E+00,3.45E-14
2.94E+02,6.90E+01,1.00E+00,4.05E-14
3.00E+02,7.00E+01,1.00E+00,4.75E-14
3.06E+02,7.10E+01,1.00E+00,5.57E-14
3.12E+02,7.20E+01,1.00E+00,6.52E-14
3.18E+02,7.30E+01,1.00E+00,7.63E-14
3.24E+02,7.40E+01,1.00E+00,8.92E-14
3.30E+02,7.50E+01,1.00E+00,1.04E-13
3.36E+02,7.60E+01,1.00E+00,1.22E-13
3.42E+02,7.70E+01,1.00E+00,1.42E-13
