s,kW/m2,(kg/m2/s)
Time,HRRPUA,MLRPUA
0,0.776914542,0.008690884
1,0.699981193,0.006171767
2,1.604291967,0.001652454
3,2.164859507,0
4,2.300470008,0
5,2.067068953,0
6,1.764012078,0
7,1.694131544,0.001981954
8,1.811014073,0.002653507
9,2.123907159,0.000709798
10,2.280115075,0.000401345
11,1.963161808,0.001406109
12,1.697807236,0.001504308
13,1.716657527,0
14,1.835148325,0
15,2.335473822,0.001123621
16,2.244667626,0.004779098
17,2.623773017,0.005313502
18,1.94920999,0.002512723
19,1.686260019,0
20,1.918179633,0.000470755
21,2.237419029,0.000399158
22,2.172539116,0
23,1.924596242,0
24,1.713453691,0.002640262
25,1.736783927,0.004398872
26,1.932295211,0.002379836
27,1.435720596,0.000911051
28,1.016851046,0.000393257
29,1.569991661,0.000230936
30,1.597776195,0
31,1.692074568,0.000377328
32,1.939115131,0
33,2.186714746,0
34,1.969390026,0
35,2.480807997,0.001750537
36,2.681068393,0.002576791
37,2.833164381,0.000200647
38,3.007117703,3.00214E-05
39,3.706531828,0.002819347
40,2.140067545,0.002763883
41,1.469385921,0
42,2.411528071,0
43,4.162680115,0
44,12.19392537,0.0023381
45,27.90146815,0.004471892
46,49.76472504,0.006399145
47,76.56804172,0.00770131
48,95.06574462,0.00859639
49,109.6292759,0.009862717
50,121.0917915,0.011557887
51,134.15216,0.010840375
52,142.8814589,0.010290919
53,149.3804426,0.011347056
54,152.0418299,0.011381131
55,154.3167598,0.009508154
56,158.127159,0.009247521
57,161.3973435,0.012619444
58,159.7915669,0.015455568
59,157.5002892,0.014828887
60,160.2221045,0.012843213
61,157.8625947,0.011647156
62,158.2150771,0.009520133
63,159.2678856,0.010199079
64,154.4201203,0.013141359
65,156.1482584,0.015012971
66,157.9073803,0.013870736
67,151.6418418,0.010191516
68,147.6816019,0.009637915
69,146.8888191,0.011197156
70,147.6498243,0.013626037
71,143.3296341,0.014258541
72,141.1346012,0.01081897
73,139.4110176,0.007267163
74,142.2281453,0.009092751
75,139.7381009,0.01357911
76,141.1704591,0.014304434
77,140.4634107,0.010127624
78,136.8768099,0.007645683
79,135.6364481,0.009344715
80,134.7275857,0.011334188
81,132.6329143,0.011454745
82,132.0624991,0.01174162
83,131.4961624,0.012839285
84,133.0160761,0.011289115
85,130.6280634,0.010256483
86,129.0026138,0.010078083
87,128.1460922,0.009587528
88,125.8879843,0.009089913
